stratum	panel	n	n_dm1	n_dm2	n_genes	auc_cv	auc_sd
all_tumor	HT13_full	179	110	69	13.0	0.8951251646903821	0.037944485663025454
all_tumor	TIS18_full	179	110	69	20.0	0.9665349143610014	0.03120195350667699
all_tumor	TLS12_full	179	110	69	12.0	0.9050065876152833	0.061285271274305365
all_tumor	HT13_minus_TIS_overlap	179	110	69	11.0	0.8974967061923583	0.03669088730674247
all_tumor	HT13_minus_TLS_overlap	179	110	69	10.0	0.8961791831357049	0.035442930763643486
all_tumor	HT13_unique_only	179	110	69	8.0	0.8968379446640317	0.029814196927584455
all_tumor	union_HT_TIS_TLS	179	110	69	40.0	0.9673254281949935	0.03286910651805499
all_tumor	HT13_score	179	110	69	13.0	0.8758893280632412	
all_tumor	TIS18_score	179	110	69	20.0	0.8631093544137023	
all_tumor	TLS12_score	179	110	69	12.0	0.8376811594202899	
all_tumor	HT13_residualized_on_TIS18	179	110	69		0.5811594202898551	
all_tumor	HT13_residualized_on_TLS12	179	110	69		0.7541501976284585	
all_tumor	TIS18_residualized_on_HT13	179	110	69		0.517391304347826	
all_tumor	TIS18_residualized_on_TLS12	179	110	69		0.7163372859025032	
all_tumor	TLS12_residualized_on_HT13	179	110	69		0.3404479578392622	
all_tumor	TLS12_residualized_on_TIS18	179	110	69		0.39986824769433466	
DM1_DM2_only	HT13_full	179	110	69	13.0	0.8951251646903821	0.037944485663025454
DM1_DM2_only	TIS18_full	179	110	69	20.0	0.9665349143610014	0.03120195350667699
DM1_DM2_only	TLS12_full	179	110	69	12.0	0.9050065876152833	0.061285271274305365
DM1_DM2_only	HT13_minus_TIS_overlap	179	110	69	11.0	0.8974967061923583	0.03669088730674247
DM1_DM2_only	HT13_minus_TLS_overlap	179	110	69	10.0	0.8961791831357049	0.035442930763643486
DM1_DM2_only	HT13_unique_only	179	110	69	8.0	0.8968379446640317	0.029814196927584455
DM1_DM2_only	union_HT_TIS_TLS	179	110	69	40.0	0.9673254281949935	0.03286910651805499
DM1_DM2_only	HT13_score	179	110	69	13.0	0.8758893280632412	
DM1_DM2_only	TIS18_score	179	110	69	20.0	0.8631093544137023	
DM1_DM2_only	TLS12_score	179	110	69	12.0	0.8376811594202899	
DM1_DM2_only	HT13_residualized_on_TIS18	179	110	69		0.5811594202898551	
DM1_DM2_only	HT13_residualized_on_TLS12	179	110	69		0.7541501976284585	
DM1_DM2_only	TIS18_residualized_on_HT13	179	110	69		0.517391304347826	
DM1_DM2_only	TIS18_residualized_on_TLS12	179	110	69		0.7163372859025032	
DM1_DM2_only	TLS12_residualized_on_HT13	179	110	69		0.3404479578392622	
DM1_DM2_only	TLS12_residualized_on_TIS18	179	110	69		0.39986824769433466	
