stratifier	stratum	N_patients	Recurrence_No	Recurrence_Yes	DistantMet_No	DistantMet_Yes	OS_Alive	OS_Dead	DSS_Alive	DSS_Dead	DFI_No	DFI_Yes	BRAFV600E_No	BRAFV600E_Yes	source_table	cohort	notes
SHMT2_expression	Low	184	161	23	178	6	NA	NA	NA	NA	NA	NA	NA	NA	Lee2024_MOESM1_ST1	Korean_Lee2024_n369	Group-stratified totals only; no per-sample time-to-event; no OS/DSS/DFI; no BRAF/TERT mutation column reported for Korean cohort
SHMT2_expression	High	185	155	30	169	16	NA	NA	NA	NA	NA	NA	NA	NA	Lee2024_MOESM1_ST1	Korean_Lee2024_n369	Same as above
MTHFD2_expression	Low	184	160	24	179	5	NA	NA	NA	NA	NA	NA	NA	NA	Lee2024_MOESM1_ST2	Korean_Lee2024_n369	Group-stratified totals only; no time-to-event
MTHFD2_expression	High	185	156	29	168	17	NA	NA	NA	NA	NA	NA	NA	NA	Lee2024_MOESM1_ST2	Korean_Lee2024_n369	Same as above
TDS_score	TDS_lt_0	231	200	31	214	17	NA	NA	NA	NA	NA	NA	NA	NA	Lee2024_MOESM1_ST3	Korean_Lee2024_n369	Group-stratified totals only; no time-to-event
TDS_score	TDS_gt_0	138	116	22	133	5	NA	NA	NA	NA	NA	NA	NA	NA	Lee2024_MOESM1_ST3	Korean_Lee2024_n369	Same as above
SHMT2_expression	Low	250	NA	NA	NA	NA	243	7	248	2	239	11	150	100	Lee2024_MOESM1_ST4	TCGA_THCA_n500	TCGA re-analysis (not new data); we already ingest TCGA OS/DSS/DFI directly via h6_merged_clinical.tsv
SHMT2_expression	High	250	NA	NA	NA	NA	241	9	245	5	235	15	118	132	Lee2024_MOESM1_ST4	TCGA_THCA_n500	Same; TCGA path supersedes
MTHFD2_expression	Low	250	NA	NA	NA	NA	243	7	247	3	238	12	159	91	Lee2024_MOESM1_ST5	TCGA_THCA_n500	TCGA re-analysis; redundant with TCGA path
MTHFD2_expression	High	250	NA	NA	NA	NA	241	9	246	4	236	14	109	141	Lee2024_MOESM1_ST5	TCGA_THCA_n500	Same; TCGA path supersedes
