combo	blocks	n_features	pooled_auc	boot_mean_auc	boot_lo95	boot_hi95	fold1_auc	fold2_auc	fold3_auc	fold4_auc	fold5_auc	fold_mean	fold_std
img_prob_plus_rna_nonleak	img_prob,rna_nonleak	23	0.9948717948717949	0.9950846153846156	0.976923076923077	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
rna_nonleak_only	rna_nonleak	22	0.9923076923076923	0.9925512820512821	0.9692307692307692	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
rna_leak_plus_meth_TAUTOLOGY	rna_leak,meth	17	0.9871794871794872	0.9868461538461539	0.9564102564102565	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
img_prob_plus_rna_mapk	img_prob,rna_mapk	10	0.9769230769230769	0.9768153846153848	0.9307692307692308	1.0	1.0	1.0	1.0	1.0	0.8	0.96	0.07999999999999999
rna_mapk_only	rna_mapk	9	0.9743589743589743	0.9741333333333333	0.9256410256410257	1.0	1.0	1.0	1.0	1.0	0.8	0.96	0.07999999999999999
rna_leak_only_TAUTOLOGY	rna_leak	8	0.958974358974359	0.9575666666666667	0.8819871794871794	1.0	1.0	1.0	0.9	0.9	1.0	0.96	0.04898979485566355
rna_ht_only	rna_ht	13	0.9256410256410257	0.9263589743589746	0.7896153846153846	1.0	1.0	0.7777777777777779	1.0	1.0	1.0	0.9555555555555555	0.08888888888888884
img_prob_plus_rna_ht	img_prob,rna_ht	14	0.917948717948718	0.9184743589743591	0.7896794871794871	0.9974358974358974	1.0	0.7777777777777779	1.0	0.9	1.0	0.9355555555555555	0.08788319970348968
meth_only_TAUTOLOGY	meth	9	0.917948717948718	0.9176000000000001	0.8025641025641025	0.9923076923076923	0.95	0.8333333333333334	1.0	0.9	1.0	0.9366666666666668	0.0635959467611297
all_three_LEAK	img_emb,rna_nonleak,rna_leak,meth	551	0.9051282051282051	0.9047538461538464	0.7974358974358975	0.982051282051282	1.0	1.0	1.0	1.0	1.0	1.0	0.0
image_emb_plus_rna_nonleak	img_emb,rna_nonleak	534	0.7384615384615385	0.7370564102564103	0.5691025641025641	0.8769230769230769	0.9	1.0	1.0	1.0	0.9	0.96	0.04898979485566354
image_emb_plus_meth_LEAK	img_emb,meth	521	0.6205128205128205	0.6197948717948717	0.4435897435897437	0.7821153846153845	0.6	0.8333333333333334	0.2	0.8	0.8	0.6466666666666667	0.23814094799322336
image_only_loaded	img_prob	1	0.5641025641025641	0.5632025641025641	0.3769230769230769	0.7384615384615385	0.49999999999999994	0.6666666666666667	1.0	0.55	1.0	0.7433333333333334	0.21643577440997236
image_emb_only	img_emb	512	0.4512820512820513	0.45015641025641023	0.2743589743589744	0.6436538461538462	0.35	0.2777777777777778	0.2	0.75	0.6	0.43555555555555553	0.20669653308685043
