target	mode	n	pooled_rho	sample_centered_rho	sample_centered_p	median_sample_rho	samples_rho_gt_0_2	class
actual_DM1_low_RAI	raw_smoothed	15489	0.6256736065926544	0.6443833306505673	0.0	0.5860013839058571	4	actual_dm1
loo_drop_DIO1	raw_smoothed	15489	0.6385830037139121	0.6523043145547982	0.0	0.5753088820964488	4	panel_loo
loo_drop_FOXE1	raw_smoothed	15489	0.6302967509533207	0.6337194339249622	0.0	0.577421001063011	4	panel_loo
loo_drop_NKX2-1	raw_smoothed	15489	0.633720819837779	0.6405568709072955	0.0	0.5771434181112335	4	panel_loo
loo_drop_PAX8	raw_smoothed	15489	0.6306038684941526	0.6432697221762325	0.0	0.5796426521540434	4	panel_loo
loo_drop_SLC5A5	raw_smoothed	15489	0.6455655445845919	0.6541566340671201	0.0	0.5945006799242416	4	panel_loo
loo_drop_TG	raw_smoothed	15489	0.6146682780158155	0.6330308260968999	0.0	0.6048065339912763	4	panel_loo
loo_drop_TPO	raw_smoothed	15489	0.5801685520648602	0.6352302581712397	0.0	0.5842909466894288	4	panel_loo
loo_drop_TSHR	raw_smoothed	15489	0.596074496944668	0.6275702004045612	0.0	0.5677505336500048	4	panel_loo
null_random_matched_001	raw_smoothed	15489	0.5688475291370704	0.6107809689456619	0.0	0.5297511368973356	4	random_matched
null_random_matched_002	raw_smoothed	15489	0.5106318568063042	0.5266835210379386	0.0	0.4464905394661818	4	random_matched
null_random_matched_003	raw_smoothed	15489	0.5120089746778803	0.5631926856464198	0.0	0.3746718586027899	4	random_matched
null_random_matched_004	raw_smoothed	15489	0.6531169393027009	0.6081736345795483	0.0	0.5137231098048913	4	random_matched
null_random_matched_005	raw_smoothed	15489	0.2851127097580488	0.46316554799369236	0.0	0.3515420861004232	3	random_matched
null_random_matched_006	raw_smoothed	15489	0.6049044004285979	0.4594501924341971	0.0	0.3179240752744217	3	random_matched
null_random_matched_007	raw_smoothed	15489	0.5575008186039303	0.5667050590831172	0.0	0.428885519107363	4	random_matched
null_random_matched_008	raw_smoothed	15489	0.6901753792320544	0.6157843221615633	0.0	0.538016432041283	4	random_matched
