evidence	quantile	group	n	tp	fp	fn	tn	precision	recall	jaccard	fisher_odds_ratio	fisher_p_greater
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980860_N-1	200	21	19	19	141	0.525	0.525	0.3559322033898305	8.202216066481995	1.4748467833066872e-07
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980861_N-2	200	22	18	18	142	0.55	0.55	0.3793103448275862	9.641975308641975	1.6731660227594578e-08
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980862_N-3	200	9	31	31	129	0.225	0.225	0.1267605633802817	1.2081165452653486	0.40281118844262165
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980863_N-4	200	20	20	20	140	0.5	0.5	0.3333333333333333	7.0	1.115383894838675e-06
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980864_PTC-1	200	11	29	29	131	0.275	0.275	0.15942028985507245	1.713436385255648	0.13543987257630194
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980865_PTC-2	200	28	12	12	148	0.7	0.7	0.5384615384615384	28.77777777777778	1.0851884607260008e-15
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980866_PTC-3	200	20	20	20	140	0.5	0.5	0.3333333333333333	7.0	1.115383894838675e-06
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980867_PTC-4	200	19	21	21	139	0.475	0.475	0.3114754098360656	5.988662131519274	7.260775745683156e-06
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980868_LPTC-1	200	26	14	14	146	0.65	0.65	0.48148148148148145	19.367346938775512	5.478182289437153e-13
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980869_LPTC-2	200	11	29	29	131	0.275	0.275	0.15942028985507245	1.713436385255648	0.13543987257630194
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980870_LPTC-3	200	16	24	24	136	0.4	0.4	0.25	3.7777777777777777	0.0008349248704310674
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980871_LPTC-4	200	24	16	16	144	0.6	0.6	0.42857142857142855	13.5	1.3380443303855979e-10
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980872_ATC-1	200	10	30	30	130	0.25	0.25	0.14285714285714285	1.4444444444444444	0.24908155083704206
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980873_ATC-2	200	9	31	31	129	0.225	0.225	0.1267605633802817	1.2081165452653486	0.40281118844262165
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980874_ATC-3	200	8	32	32	128	0.2	0.2	0.1111111111111111	1.0	0.5771081701419166
GSE250521 UNI DM1/RAI smoothed	0.8	GSM7980875_ATC-4	200	28	12	12	148	0.7	0.7	0.5384615384615384	28.77777777777778	1.0851884607260008e-15
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980860_N-1	200	9	11	11	169	0.45	0.45	0.2903225806451613	12.570247933884298	1.3193199074447245e-05
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980861_N-2	200	8	12	12	168	0.4	0.4	0.25	9.333333333333334	0.00014281039528571095
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980862_N-3	200	4	16	16	164	0.2	0.2	0.1111111111111111	2.5625	0.12224175671655779
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980863_N-4	200	7	13	13	167	0.35	0.35	0.21212121212121213	6.9171597633136095	0.0011736122397113813
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980864_PTC-1	200	3	17	17	163	0.15	0.15	0.08108108108108109	1.6920415224913494	0.3213230378855668
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980865_PTC-2	200	11	9	9	171	0.55	0.55	0.3793103448275862	23.22222222222222	4.831000792661335e-08
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980866_PTC-3	200	12	8	8	172	0.6	0.6	0.42857142857142855	32.25	1.8752106037212696e-09
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980867_PTC-4	200	10	10	10	170	0.5	0.5	0.3333333333333333	17.0	9.217485455702138e-07
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980868_LPTC-1	200	12	8	8	172	0.6	0.6	0.42857142857142855	32.25	1.8752106037212696e-09
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980869_LPTC-2	200	0	20	20	160	0.0	0.0	0.0	0.0	1.0
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980870_LPTC-3	200	2	18	18	162	0.1	0.1	0.05263157894736842	1.0	0.6217883048350898
GSE250521 UNI DM1/RAI smoothed	0.9	GSM7980871_LPTC-4	200	7	13	13	167	0.35	0.35	0.21212121212121213	6.9171597633136095	0.0011736122397113813
