evidence	group	n	n_blocks	sample_rho	block_centered_rho	top10_precision	top10_precision_lift	top10_or
GSE250521 UNI DM1/RAI smoothed	GSM7980860_N-1	200	4	0.559762994074852	0.3532558313957849	0.45	4.5	12.570247933884298
GSE250521 UNI DM1/RAI smoothed	GSM7980861_N-2	200	4	0.407252681317033	0.4330203255081378	0.4	4.0	9.333333333333334
GSE250521 UNI DM1/RAI smoothed	GSM7980862_N-3	200	4	0.2627495687392185	0.238439960999025	0.2	2.0	2.5625
GSE250521 UNI DM1/RAI smoothed	GSM7980863_N-4	200	4	0.32141903547588696	0.3177274431860797	0.35	3.4999999999999996	6.9171597633136095
GSE250521 UNI DM1/RAI smoothed	GSM7980864_PTC-1	200	4	0.46595664891622296	0.48468761719042985	0.15	1.4999999999999998	1.6920415224913494
GSE250521 UNI DM1/RAI smoothed	GSM7980865_PTC-2	200	4	0.6056596414910373	0.6228560714017851	0.55	5.5	23.22222222222222
GSE250521 UNI DM1/RAI smoothed	GSM7980866_PTC-3	200	4	0.19222080552013804	0.2646516162904073	0.6	5.999999999999999	32.25
GSE250521 UNI DM1/RAI smoothed	GSM7980867_PTC-4	200	4	0.33824495612390315	0.41700592514812873	0.5	5.0	17.0
GSE250521 UNI DM1/RAI smoothed	GSM7980868_LPTC-1	200	4	0.48153003825095636	0.2625095627390685	0.6	5.999999999999999	32.25
GSE250521 UNI DM1/RAI smoothed	GSM7980869_LPTC-2	200	4	0.6565364134103354	0.5145728643216081	0.0	0.0	0.0
GSE250521 UNI DM1/RAI smoothed	GSM7980870_LPTC-3	200	4	0.5241851046276158	0.49349883747093687	0.1	1.0	1.0
GSE250521 UNI DM1/RAI smoothed	GSM7980871_LPTC-4	200	4	0.3146013650341259	0.43175429385734654	0.35	3.4999999999999996	6.9171597633136095
GSE250521 UNI DM1/RAI smoothed	GSM7980872_ATC-1	200	4	0.029800720418614545	0.049125388900251	0.3	2.9999999999999996	5.081632653061225
GSE250521 UNI DM1/RAI smoothed	GSM7980873_ATC-2	200	4	-0.04880145884148528	0.005461845895034783	0.05	0.5	0.44598337950138506
GSE250521 UNI DM1/RAI smoothed	GSM7980874_ATC-3	200	4	0.08608887901107111	0.15789664878825468	0.15	1.4999999999999998	1.6920415224913494
GSE250521 UNI DM1/RAI smoothed	GSM7980875_ATC-4	200	4	0.5312517812945324	0.4832985824645617	0.85	8.5	334.3333333333333
GSE230424 H&E DM1/low-RAI smoothed	P1	3647	10	0.5637927951016224	0.4385953556424813	0.2958904109589041	2.9564721336085573	4.946327726384957
GSE230424 H&E DM1/low-RAI smoothed	P2	3154	9	0.6082101387944902	0.4187116695069639	0.31329113924050633	3.126962826470117	5.510395209072183
GSE230424 H&E DM1/low-RAI smoothed	P3	4062	12	0.7871288854088992	0.6894492185627096	0.3194103194103194	3.187824858586529	5.723259784436133
GSE230424 H&E DM1/low-RAI smoothed	P4	4626	12	0.4450304817907144	0.38371571560091927	0.38660907127429806	3.8627506775699842	8.60867139456457
GSE230424 H&E DM1/low-RAI coord+QC residual	P1	3647	10	0.16673037796152232	0.1661353098035318	0.2	1.998356164383562	2.559931506849315
GSE230424 H&E DM1/low-RAI coord+QC residual	P2	3154	9	0.36018615270334087	0.35324717511252673	0.11392405063291139	1.1370773914436787	1.174591836734694
GSE230424 H&E DM1/low-RAI coord+QC residual	P3	4062	12	0.16031598736188896	0.08390969407613567	0.044226044226044224	0.4413911342658271	0.388498622134403
GSE230424 H&E DM1/low-RAI coord+QC residual	P4	4626	12	0.222633700457161	0.2018933636661287	0.27213822894168466	2.719031203205687	4.244785108612385
