target	evaluation	stage	n_spots	pooled_within_stage_rho	pooled_within_stage_p	slide_centered_within_stage_rho	slide_centered_within_stage_p	median_slide_rho	slides_rho_gt_0_2
DM1_like_score	existing_loso	PT	800	0.24616184556538373	1.658485318130353e-12	0.40181500283594196	2.1427080868640065e-32	0.36433585839646	4
DM1_like_score	existing_loso	PTC	800	0.4867573933709272	8.022681756967402e-49	0.46506440635063495	3.5519857418131607e-44	0.4021008025200631	3
DM1_like_score	existing_loso	LPTC	800	0.4710749157420559	1.9787099386867334e-45	0.5319356123993944	1.2203291761954326e-59	0.5028575714392861	4
DM1_like_score	existing_loso	ATC	800	0.19077210894313718	5.405570868484639e-08	0.23832739653336732	8.549905808290695e-12	0.05794479971484283	1
TDS_like_score	existing_loso	PT	800	0.2226298556716495	1.9256924104798114e-10	0.3786356541182096	1.134838354994745e-28	0.3379021975549389	4
TDS_like_score	existing_loso	PTC	800	0.4698639361342592	3.556836937079412e-45	0.42556139008944577	1.577642311837353e-36	0.3256124704874992	3
TDS_like_score	existing_loso	LPTC	800	0.465447144050892	2.960433179076947e-44	0.5097210259882498	4.060558922437853e-54	0.4908232312105161	4
TDS_like_score	existing_loso	ATC	800	0.24681051783033003	1.4441597058446496e-12	0.22650811168808607	9.110694794428555e-11	0.09863405685928932	1
MAPK_output_score	existing_loso	PT	800	0.1653475894914025	2.5784817029495196e-06	0.17169486781863813	1.0343385603057466e-06	0.17518831426857434	2
MAPK_output_score	existing_loso	PTC	800	0.3198718711902853	1.7261118353804086e-20	0.2956478967658907	1.3334620799264903e-17	0.31135837885870615	4
MAPK_output_score	existing_loso	LPTC	800	0.3771924570646883	1.8926802497099696e-28	0.49078792885755995	1.0086090436554485e-49	0.49931223280582027	4
MAPK_output_score	existing_loso	ATC	800	0.22174306506352054	2.2807237295819273e-10	0.22159246712166392	2.347045285154821e-10	0.1987714692867322	2
