x	y	mpp
12288	1792	0.2517
13568	1792	0.2517
17408	1792	0.2517
17664	1792	0.2517
17920	1792	0.2517
18176	1792	0.2517
18432	1792	0.2517
11264	2048	0.2517
11520	2048	0.2517
11776	2048	0.2517
12032	2048	0.2517
12288	2048	0.2517
12544	2048	0.2517
12800	2048	0.2517
13056	2048	0.2517
13312	2048	0.2517
13568	2048	0.2517
13824	2048	0.2517
14080	2048	0.2517
14336	2048	0.2517
14592	2048	0.2517
14848	2048	0.2517
15104	2048	0.2517
15360	2048	0.2517
15616	2048	0.2517
15872	2048	0.2517
16128	2048	0.2517
16384	2048	0.2517
16640	2048	0.2517
16896	2048	0.2517
17152	2048	0.2517
17408	2048	0.2517
17664	2048	0.2517
17920	2048	0.2517
18176	2048	0.2517
9728	2304	0.2517
9984	2304	0.2517
10240	2304	0.2517
10496	2304	0.2517
10752	2304	0.2517
11008	2304	0.2517
11264	2304	0.2517
11520	2304	0.2517
11776	2304	0.2517
12032	2304	0.2517
12288	2304	0.2517
12544	2304	0.2517
12800	2304	0.2517
13056	2304	0.2517
13312	2304	0.2517
13568	2304	0.2517
13824	2304	0.2517
14080	2304	0.2517
14336	2304	0.2517
14592	2304	0.2517
14848	2304	0.2517
15104	2304	0.2517
15360	2304	0.2517
15616	2304	0.2517
15872	2304	0.2517
16128	2304	0.2517
16384	2304	0.2517
16640	2304	0.2517
16896	2304	0.2517
17152	2304	0.2517
17408	2304	0.2517
17664	2304	0.2517
17920	2304	0.2517
18176	2304	0.2517
7680	2560	0.2517
7936	2560	0.2517
8192	2560	0.2517
8448	2560	0.2517
8704	2560	0.2517
8960	2560	0.2517
9216	2560	0.2517
9472	2560	0.2517
9728	2560	0.2517
9984	2560	0.2517
10240	2560	0.2517
10496	2560	0.2517
10752	2560	0.2517
11008	2560	0.2517
11264	2560	0.2517
11520	2560	0.2517
11776	2560	0.2517
12032	2560	0.2517
12288	2560	0.2517
12544	2560	0.2517
12800	2560	0.2517
13056	2560	0.2517
13312	2560	0.2517
13568	2560	0.2517
13824	2560	0.2517
14080	2560	0.2517
14336	2560	0.2517
14592	2560	0.2517
14848	2560	0.2517
15104	2560	0.2517
15360	2560	0.2517
15616	2560	0.2517
15872	2560	0.2517
16128	2560	0.2517
16384	2560	0.2517
16640	2560	0.2517
16896	2560	0.2517
17152	2560	0.2517
17408	2560	0.2517
17664	2560	0.2517
17920	2560	0.2517
18176	2560	0.2517
18432	2560	0.2517
7168	2816	0.2517
7424	2816	0.2517
7680	2816	0.2517
7936	2816	0.2517
8192	2816	0.2517
8448	2816	0.2517
8704	2816	0.2517
8960	2816	0.2517
9216	2816	0.2517
9472	2816	0.2517
9728	2816	0.2517
9984	2816	0.2517
10240	2816	0.2517
10496	2816	0.2517
10752	2816	0.2517
11008	2816	0.2517
11264	2816	0.2517
11520	2816	0.2517
11776	2816	0.2517
12032	2816	0.2517
12288	2816	0.2517
12544	2816	0.2517
12800	2816	0.2517
13056	2816	0.2517
13312	2816	0.2517
13568	2816	0.2517
13824	2816	0.2517
14080	2816	0.2517
14336	2816	0.2517
14592	2816	0.2517
14848	2816	0.2517
15104	2816	0.2517
15360	2816	0.2517
15616	2816	0.2517
15872	2816	0.2517
16128	2816	0.2517
16384	2816	0.2517
16640	2816	0.2517
17152	2816	0.2517
17408	2816	0.2517
17664	2816	0.2517
17920	2816	0.2517
18176	2816	0.2517
6400	3072	0.2517
6656	3072	0.2517
6912	3072	0.2517
7168	3072	0.2517
7424	3072	0.2517
7680	3072	0.2517
7936	3072	0.2517
8192	3072	0.2517
8448	3072	0.2517
8704	3072	0.2517
8960	3072	0.2517
9216	3072	0.2517
9472	3072	0.2517
9728	3072	0.2517
9984	3072	0.2517
10240	3072	0.2517
10496	3072	0.2517
10752	3072	0.2517
11008	3072	0.2517
11264	3072	0.2517
11520	3072	0.2517
11776	3072	0.2517
12032	3072	0.2517
12288	3072	0.2517
12544	3072	0.2517
12800	3072	0.2517
13056	3072	0.2517
13312	3072	0.2517
13568	3072	0.2517
13824	3072	0.2517
14080	3072	0.2517
14336	3072	0.2517
14592	3072	0.2517
14848	3072	0.2517
15104	3072	0.2517
15360	3072	0.2517
15616	3072	0.2517
15872	3072	0.2517
16128	3072	0.2517
16384	3072	0.2517
16640	3072	0.2517
16896	3072	0.2517
17152	3072	0.2517
17408	3072	0.2517
17664	3072	0.2517
