x	y	mpp
26624	2816	0.2468
26880	2816	0.2468
27136	2816	0.2468
25856	3072	0.2468
26112	3072	0.2468
26368	3072	0.2468
26880	3072	0.2468
27136	3072	0.2468
27648	3072	0.2468
27904	3072	0.2468
25856	3328	0.2468
26112	3328	0.2468
27136	3328	0.2468
27392	3328	0.2468
27648	3328	0.2468
27904	3328	0.2468
28160	3328	0.2468
25344	3584	0.2468
25600	3584	0.2468
25856	3584	0.2468
26112	3584	0.2468
26368	3584	0.2468
26624	3584	0.2468
26880	3584	0.2468
27136	3584	0.2468
27392	3584	0.2468
27648	3584	0.2468
27904	3584	0.2468
28160	3584	0.2468
28416	3584	0.2468
29696	3584	0.2468
25344	3840	0.2468
25600	3840	0.2468
25856	3840	0.2468
26112	3840	0.2468
26368	3840	0.2468
26624	3840	0.2468
26880	3840	0.2468
27136	3840	0.2468
27392	3840	0.2468
27648	3840	0.2468
28416	3840	0.2468
29440	3840	0.2468
29696	3840	0.2468
29952	3840	0.2468
30208	3840	0.2468
24064	4096	0.2468
25088	4096	0.2468
25344	4096	0.2468
25600	4096	0.2468
25856	4096	0.2468
26112	4096	0.2468
26368	4096	0.2468
26624	4096	0.2468
26880	4096	0.2468
27136	4096	0.2468
27392	4096	0.2468
27648	4096	0.2468
27904	4096	0.2468
28160	4096	0.2468
28416	4096	0.2468
28672	4096	0.2468
28928	4096	0.2468
29184	4096	0.2468
29440	4096	0.2468
29696	4096	0.2468
29952	4096	0.2468
30208	4096	0.2468
30464	4096	0.2468
30720	4096	0.2468
30976	4096	0.2468
31232	4096	0.2468
31488	4096	0.2468
31744	4096	0.2468
32000	4096	0.2468
32256	4096	0.2468
32512	4096	0.2468
32768	4096	0.2468
33024	4096	0.2468
33280	4096	0.2468
33536	4096	0.2468
33792	4096	0.2468
23808	4352	0.2468
24064	4352	0.2468
24832	4352	0.2468
25088	4352	0.2468
25344	4352	0.2468
25600	4352	0.2468
25856	4352	0.2468
26112	4352	0.2468
26368	4352	0.2468
26624	4352	0.2468
26880	4352	0.2468
27136	4352	0.2468
27392	4352	0.2468
27648	4352	0.2468
27904	4352	0.2468
28160	4352	0.2468
28416	4352	0.2468
28672	4352	0.2468
28928	4352	0.2468
29184	4352	0.2468
29440	4352	0.2468
29696	4352	0.2468
29952	4352	0.2468
30208	4352	0.2468
30464	4352	0.2468
30720	4352	0.2468
30976	4352	0.2468
31232	4352	0.2468
31488	4352	0.2468
31744	4352	0.2468
32000	4352	0.2468
32256	4352	0.2468
32512	4352	0.2468
32768	4352	0.2468
33024	4352	0.2468
33280	4352	0.2468
33536	4352	0.2468
33792	4352	0.2468
34048	4352	0.2468
22784	4608	0.2468
23040	4608	0.2468
23808	4608	0.2468
24064	4608	0.2468
24320	4608	0.2468
24576	4608	0.2468
24832	4608	0.2468
25088	4608	0.2468
25344	4608	0.2468
25600	4608	0.2468
25856	4608	0.2468
26112	4608	0.2468
26368	4608	0.2468
26624	4608	0.2468
26880	4608	0.2468
27136	4608	0.2468
27392	4608	0.2468
27648	4608	0.2468
27904	4608	0.2468
28160	4608	0.2468
28416	4608	0.2468
28672	4608	0.2468
28928	4608	0.2468
29184	4608	0.2468
29440	4608	0.2468
29696	4608	0.2468
29952	4608	0.2468
30208	4608	0.2468
30464	4608	0.2468
30720	4608	0.2468
30976	4608	0.2468
31232	4608	0.2468
31488	4608	0.2468
31744	4608	0.2468
32000	4608	0.2468
32256	4608	0.2468
32512	4608	0.2468
32768	4608	0.2468
33024	4608	0.2468
33280	4608	0.2468
33536	4608	0.2468
33792	4608	0.2468
34048	4608	0.2468
34304	4608	0.2468
22528	4864	0.2468
22784	4864	0.2468
23040	4864	0.2468
23296	4864	0.2468
23552	4864	0.2468
23808	4864	0.2468
24064	4864	0.2468
24320	4864	0.2468
24576	4864	0.2468
24832	4864	0.2468
25088	4864	0.2468
25344	4864	0.2468
25600	4864	0.2468
25856	4864	0.2468
26112	4864	0.2468
26368	4864	0.2468
26624	4864	0.2468
26880	4864	0.2468
27136	4864	0.2468
27392	4864	0.2468
27648	4864	0.2468
27904	4864	0.2468
28160	4864	0.2468
28416	4864	0.2468
28672	4864	0.2468
29440	4864	0.2468
29696	4864	0.2468
29952	4864	0.2468
30208	4864	0.2468
30464	4864	0.2468
30720	4864	0.2468
30976	4864	0.2468
31232	4864	0.2468
31488	4864	0.2468
31744	4864	0.2468
