x	y	mpp
71936	0	0.2468
72192	0	0.2468
72448	0	0.2468
72704	0	0.2468
72960	0	0.2468
72192	256	0.2468
72448	256	0.2468
72704	256	0.2468
72960	256	0.2468
73216	256	0.2468
73472	256	0.2468
71168	512	0.2468
71680	512	0.2468
71936	512	0.2468
72192	512	0.2468
72448	512	0.2468
72960	512	0.2468
73216	512	0.2468
73472	512	0.2468
73728	512	0.2468
73984	512	0.2468
26624	768	0.2468
26880	768	0.2468
28160	768	0.2468
28416	768	0.2468
28672	768	0.2468
28928	768	0.2468
29184	768	0.2468
29440	768	0.2468
68608	768	0.2468
68864	768	0.2468
69120	768	0.2468
70912	768	0.2468
71168	768	0.2468
71424	768	0.2468
71680	768	0.2468
71936	768	0.2468
72192	768	0.2468
73984	768	0.2468
74240	768	0.2468
25856	1024	0.2468
26112	1024	0.2468
26624	1024	0.2468
27648	1024	0.2468
27904	1024	0.2468
28672	1024	0.2468
28928	1024	0.2468
29184	1024	0.2468
70656	1024	0.2468
70912	1024	0.2468
71168	1024	0.2468
71424	1024	0.2468
71680	1024	0.2468
71936	1024	0.2468
74240	1024	0.2468
23552	1280	0.2468
27392	1280	0.2468
27648	1280	0.2468
28672	1280	0.2468
32768	1280	0.2468
33024	1280	0.2468
33280	1280	0.2468
67840	1280	0.2468
68096	1280	0.2468
70656	1280	0.2468
70912	1280	0.2468
71168	1280	0.2468
71424	1280	0.2468
71680	1280	0.2468
71936	1280	0.2468
72192	1280	0.2468
73984	1280	0.2468
22784	1536	0.2468
23040	1536	0.2468
23296	1536	0.2468
27392	1536	0.2468
30208	1536	0.2468
34304	1536	0.2468
70144	1536	0.2468
70400	1536	0.2468
70656	1536	0.2468
70912	1536	0.2468
71168	1536	0.2468
71424	1536	0.2468
71680	1536	0.2468
71936	1536	0.2468
72192	1536	0.2468
73728	1536	0.2468
23040	1792	0.2468
28928	1792	0.2468
29184	1792	0.2468
32000	1792	0.2468
32256	1792	0.2468
34304	1792	0.2468
34560	1792	0.2468
34816	1792	0.2468
69888	1792	0.2468
70144	1792	0.2468
70400	1792	0.2468
70656	1792	0.2468
70912	1792	0.2468
71168	1792	0.2468
71424	1792	0.2468
71680	1792	0.2468
71936	1792	0.2468
72192	1792	0.2468
72448	1792	0.2468
73472	1792	0.2468
73728	1792	0.2468
73984	1792	0.2468
76032	1792	0.2468
20992	2048	0.2468
30464	2048	0.2468
31744	2048	0.2468
32256	2048	0.2468
33024	2048	0.2468
33792	2048	0.2468
34048	2048	0.2468
34560	2048	0.2468
34816	2048	0.2468
35072	2048	0.2468
35328	2048	0.2468
35584	2048	0.2468
67328	2048	0.2468
69376	2048	0.2468
69632	2048	0.2468
69888	2048	0.2468
70144	2048	0.2468
70400	2048	0.2468
70656	2048	0.2468
70912	2048	0.2468
71168	2048	0.2468
71424	2048	0.2468
71680	2048	0.2468
71936	2048	0.2468
72192	2048	0.2468
72448	2048	0.2468
72704	2048	0.2468
73472	2048	0.2468
73728	2048	0.2468
73984	2048	0.2468
74240	2048	0.2468
76288	2048	0.2468
20480	2304	0.2468
20736	2304	0.2468
20992	2304	0.2468
23296	2304	0.2468
32256	2304	0.2468
34048	2304	0.2468
34560	2304	0.2468
34816	2304	0.2468
35072	2304	0.2468
35328	2304	0.2468
35840	2304	0.2468
36096	2304	0.2468
67328	2304	0.2468
69376	2304	0.2468
69632	2304	0.2468
69888	2304	0.2468
70144	2304	0.2468
70400	2304	0.2468
70656	2304	0.2468
70912	2304	0.2468
71168	2304	0.2468
71424	2304	0.2468
71680	2304	0.2468
72448	2304	0.2468
73472	2304	0.2468
73728	2304	0.2468
73984	2304	0.2468
74240	2304	0.2468
20224	2560	0.2468
26624	2560	0.2468
27392	2560	0.2468
28672	2560	0.2468
32256	2560	0.2468
33024	2560	0.2468
33280	2560	0.2468
33536	2560	0.2468
33792	2560	0.2468
34048	2560	0.2468
34304	2560	0.2468
34560	2560	0.2468
34816	2560	0.2468
35328	2560	0.2468
35584	2560	0.2468
35840	2560	0.2468
36096	2560	0.2468
36352	2560	0.2468
36608	2560	0.2468
67328	2560	0.2468
67584	2560	0.2468
67840	2560	0.2468
68096	2560	0.2468
69632	2560	0.2468
69888	2560	0.2468
70144	2560	0.2468
70400	2560	0.2468
70656	2560	0.2468
70912	2560	0.2468
