x	y	mpp
57344	0	0.248
57600	0	0.248
57856	0	0.248
58112	0	0.248
57344	256	0.248
57600	256	0.248
57856	256	0.248
58112	256	0.248
57856	512	0.248
56832	768	0.248
58368	768	0.248
58624	768	0.248
58880	768	0.248
59136	768	0.248
59392	768	0.248
59648	768	0.248
54016	1024	0.248
54784	1024	0.248
56832	1024	0.248
57088	1024	0.248
58112	1024	0.248
58368	1024	0.248
58624	1024	0.248
58880	1024	0.248
59136	1024	0.248
59392	1024	0.248
59648	1024	0.248
59904	1024	0.248
60160	1024	0.248
53760	1280	0.248
54016	1280	0.248
56832	1280	0.248
57088	1280	0.248
57344	1280	0.248
57600	1280	0.248
57856	1280	0.248
58112	1280	0.248
58368	1280	0.248
58624	1280	0.248
58880	1280	0.248
59136	1280	0.248
59392	1280	0.248
59648	1280	0.248
59904	1280	0.248
60160	1280	0.248
60416	1280	0.248
60672	1280	0.248
55808	1536	0.248
56064	1536	0.248
56320	1536	0.248
56576	1536	0.248
57088	1536	0.248
57344	1536	0.248
57600	1536	0.248
58112	1536	0.248
58368	1536	0.248
58624	1536	0.248
58880	1536	0.248
59136	1536	0.248
59392	1536	0.248
59648	1536	0.248
59904	1536	0.248
60160	1536	0.248
60416	1536	0.248
60672	1536	0.248
60928	1536	0.248
55552	1792	0.248
55808	1792	0.248
56064	1792	0.248
56320	1792	0.248
56576	1792	0.248
56832	1792	0.248
57088	1792	0.248
57344	1792	0.248
57600	1792	0.248
58368	1792	0.248
58624	1792	0.248
58880	1792	0.248
59136	1792	0.248
59392	1792	0.248
59648	1792	0.248
59904	1792	0.248
60160	1792	0.248
60416	1792	0.248
60672	1792	0.248
60928	1792	0.248
61184	1792	0.248
52992	2048	0.248
53248	2048	0.248
53504	2048	0.248
53760	2048	0.248
55296	2048	0.248
55552	2048	0.248
55808	2048	0.248
56064	2048	0.248
56320	2048	0.248
56576	2048	0.248
56832	2048	0.248
57088	2048	0.248
57344	2048	0.248
57600	2048	0.248
57856	2048	0.248
58112	2048	0.248
58368	2048	0.248
58624	2048	0.248
58880	2048	0.248
59136	2048	0.248
59392	2048	0.248
59648	2048	0.248
59904	2048	0.248
60160	2048	0.248
60416	2048	0.248
60672	2048	0.248
60928	2048	0.248
61184	2048	0.248
52992	2304	0.248
53248	2304	0.248
53504	2304	0.248
53760	2304	0.248
55808	2304	0.248
56064	2304	0.248
56320	2304	0.248
56576	2304	0.248
56832	2304	0.248
57088	2304	0.248
57344	2304	0.248
57600	2304	0.248
57856	2304	0.248
58112	2304	0.248
58368	2304	0.248
58624	2304	0.248
58880	2304	0.248
59136	2304	0.248
59392	2304	0.248
59648	2304	0.248
59904	2304	0.248
60160	2304	0.248
60416	2304	0.248
60672	2304	0.248
60928	2304	0.248
61184	2304	0.248
61440	2304	0.248
61696	2304	0.248
52992	2560	0.248
53248	2560	0.248
53504	2560	0.248
53760	2560	0.248
55808	2560	0.248
56064	2560	0.248
56320	2560	0.248
56576	2560	0.248
56832	2560	0.248
57088	2560	0.248
57344	2560	0.248
57600	2560	0.248
57856	2560	0.248
58112	2560	0.248
58368	2560	0.248
58624	2560	0.248
58880	2560	0.248
59136	2560	0.248
59392	2560	0.248
59648	2560	0.248
59904	2560	0.248
60160	2560	0.248
60416	2560	0.248
60672	2560	0.248
60928	2560	0.248
61184	2560	0.248
61440	2560	0.248
61696	2560	0.248
61952	2560	0.248
62208	2560	0.248
52736	2816	0.248
52992	2816	0.248
53248	2816	0.248
53504	2816	0.248
53760	2816	0.248
55808	2816	0.248
56064	2816	0.248
56320	2816	0.248
56576	2816	0.248
56832	2816	0.248
57088	2816	0.248
57344	2816	0.248
57600	2816	0.248
57856	2816	0.248
58112	2816	0.248
58368	2816	0.248
58624	2816	0.248
58880	2816	0.248
59136	2816	0.248
59392	2816	0.248
59648	2816	0.248
59904	2816	0.248
60160	2816	0.248
60416	2816	0.248
60672	2816	0.248
60928	2816	0.248
61184	2816	0.248
