x	y	mpp
25600	4864	0.2468
22528	5120	0.2468
22784	5120	0.2468
23040	5120	0.2468
23296	5120	0.2468
23552	5120	0.2468
23808	5120	0.2468
24064	5120	0.2468
24320	5120	0.2468
24576	5120	0.2468
24832	5120	0.2468
25088	5120	0.2468
25344	5120	0.2468
25600	5120	0.2468
25856	5120	0.2468
26112	5120	0.2468
26368	5120	0.2468
20992	5376	0.2468
21248	5376	0.2468
21504	5376	0.2468
21760	5376	0.2468
22016	5376	0.2468
22272	5376	0.2468
22528	5376	0.2468
22784	5376	0.2468
23040	5376	0.2468
23296	5376	0.2468
23552	5376	0.2468
23808	5376	0.2468
24064	5376	0.2468
24320	5376	0.2468
24576	5376	0.2468
24832	5376	0.2468
25088	5376	0.2468
25344	5376	0.2468
25600	5376	0.2468
25856	5376	0.2468
26112	5376	0.2468
26368	5376	0.2468
26624	5376	0.2468
26880	5376	0.2468
27136	5376	0.2468
27392	5376	0.2468
27648	5376	0.2468
27904	5376	0.2468
19968	5632	0.2468
20224	5632	0.2468
20480	5632	0.2468
20736	5632	0.2468
20992	5632	0.2468
21248	5632	0.2468
21504	5632	0.2468
21760	5632	0.2468
22016	5632	0.2468
22272	5632	0.2468
22528	5632	0.2468
22784	5632	0.2468
23040	5632	0.2468
23296	5632	0.2468
23552	5632	0.2468
23808	5632	0.2468
24064	5632	0.2468
24320	5632	0.2468
24576	5632	0.2468
24832	5632	0.2468
25088	5632	0.2468
25344	5632	0.2468
25600	5632	0.2468
25856	5632	0.2468
26112	5632	0.2468
26368	5632	0.2468
26624	5632	0.2468
26880	5632	0.2468
27136	5632	0.2468
27392	5632	0.2468
27648	5632	0.2468
27904	5632	0.2468
28160	5632	0.2468
28416	5632	0.2468
28672	5632	0.2468
28928	5632	0.2468
29184	5632	0.2468
19200	5888	0.2468
19456	5888	0.2468
19712	5888	0.2468
19968	5888	0.2468
20224	5888	0.2468
20480	5888	0.2468
20736	5888	0.2468
20992	5888	0.2468
21248	5888	0.2468
22016	5888	0.2468
22272	5888	0.2468
22528	5888	0.2468
22784	5888	0.2468
23040	5888	0.2468
23296	5888	0.2468
23552	5888	0.2468
23808	5888	0.2468
24064	5888	0.2468
24320	5888	0.2468
24576	5888	0.2468
24832	5888	0.2468
25088	5888	0.2468
25344	5888	0.2468
25600	5888	0.2468
25856	5888	0.2468
26112	5888	0.2468
26368	5888	0.2468
26624	5888	0.2468
26880	5888	0.2468
27136	5888	0.2468
27392	5888	0.2468
27648	5888	0.2468
27904	5888	0.2468
28160	5888	0.2468
28416	5888	0.2468
28672	5888	0.2468
28928	5888	0.2468
29184	5888	0.2468
29440	5888	0.2468
29696	5888	0.2468
29952	5888	0.2468
18688	6144	0.2468
18944	6144	0.2468
19200	6144	0.2468
19456	6144	0.2468
19712	6144	0.2468
19968	6144	0.2468
20224	6144	0.2468
20480	6144	0.2468
20736	6144	0.2468
20992	6144	0.2468
21248	6144	0.2468
21504	6144	0.2468
21760	6144	0.2468
22016	6144	0.2468
22272	6144	0.2468
22528	6144	0.2468
22784	6144	0.2468
23040	6144	0.2468
23296	6144	0.2468
23552	6144	0.2468
23808	6144	0.2468
24064	6144	0.2468
24320	6144	0.2468
24576	6144	0.2468
24832	6144	0.2468
25088	6144	0.2468
25344	6144	0.2468
25600	6144	0.2468
25856	6144	0.2468
26112	6144	0.2468
26368	6144	0.2468
26624	6144	0.2468
26880	6144	0.2468
27136	6144	0.2468
27392	6144	0.2468
27648	6144	0.2468
27904	6144	0.2468
28160	6144	0.2468
28416	6144	0.2468
28672	6144	0.2468
28928	6144	0.2468
29184	6144	0.2468
29440	6144	0.2468
29696	6144	0.2468
29952	6144	0.2468
30208	6144	0.2468
30464	6144	0.2468
30720	6144	0.2468
17920	6400	0.2468
18176	6400	0.2468
18432	6400	0.2468
18688	6400	0.2468
18944	6400	0.2468
19200	6400	0.2468
19456	6400	0.2468
19712	6400	0.2468
19968	6400	0.2468
20224	6400	0.2468
20480	6400	0.2468
20736	6400	0.2468
20992	6400	0.2468
21248	6400	0.2468
21504	6400	0.2468
21760	6400	0.2468
22016	6400	0.2468
22272	6400	0.2468
22528	6400	0.2468
22784	6400	0.2468
23040	6400	0.2468
23296	6400	0.2468
23552	6400	0.2468
23808	6400	0.2468
24064	6400	0.2468
24320	6400	0.2468
24576	6400	0.2468
24832	6400	0.2468
25088	6400	0.2468
