x	y	mpp
71680	0	0.2468
71936	0	0.2468
72960	0	0.2468
73216	0	0.2468
73472	0	0.2468
73728	0	0.2468
73984	0	0.2468
74240	0	0.2468
74496	0	0.2468
74752	0	0.2468
75008	0	0.2468
75264	0	0.2468
75520	0	0.2468
75776	0	0.2468
76032	0	0.2468
76288	0	0.2468
77568	0	0.2468
77824	0	0.2468
72192	256	0.2468
72448	256	0.2468
72704	256	0.2468
72960	256	0.2468
73216	256	0.2468
73472	256	0.2468
73728	256	0.2468
73984	256	0.2468
74240	256	0.2468
74496	256	0.2468
74752	256	0.2468
75008	256	0.2468
75264	256	0.2468
75520	256	0.2468
75776	256	0.2468
76032	256	0.2468
76288	256	0.2468
76544	256	0.2468
76800	256	0.2468
77824	256	0.2468
78080	256	0.2468
78336	256	0.2468
69888	512	0.2468
71168	512	0.2468
72192	512	0.2468
72448	512	0.2468
72704	512	0.2468
72960	512	0.2468
73216	512	0.2468
73472	512	0.2468
73728	512	0.2468
73984	512	0.2468
74240	512	0.2468
74496	512	0.2468
74752	512	0.2468
75008	512	0.2468
75264	512	0.2468
75520	512	0.2468
75776	512	0.2468
76032	512	0.2468
76288	512	0.2468
76544	512	0.2468
76800	512	0.2468
77056	512	0.2468
77312	512	0.2468
77568	512	0.2468
77824	512	0.2468
78336	512	0.2468
78592	512	0.2468
78848	512	0.2468
69632	768	0.2468
70656	768	0.2468
71680	768	0.2468
71936	768	0.2468
72192	768	0.2468
72448	768	0.2468
72704	768	0.2468
72960	768	0.2468
73216	768	0.2468
73472	768	0.2468
73728	768	0.2468
73984	768	0.2468
74240	768	0.2468
74496	768	0.2468
74752	768	0.2468
75008	768	0.2468
75264	768	0.2468
75520	768	0.2468
75776	768	0.2468
76032	768	0.2468
76288	768	0.2468
76544	768	0.2468
76800	768	0.2468
77056	768	0.2468
77312	768	0.2468
77568	768	0.2468
77824	768	0.2468
78080	768	0.2468
78336	768	0.2468
78592	768	0.2468
79616	768	0.2468
58112	1024	0.2468
70912	1024	0.2468
71168	1024	0.2468
71424	1024	0.2468
71680	1024	0.2468
71936	1024	0.2468
72192	1024	0.2468
72448	1024	0.2468
72704	1024	0.2468
72960	1024	0.2468
73216	1024	0.2468
73984	1024	0.2468
74240	1024	0.2468
74496	1024	0.2468
74752	1024	0.2468
75008	1024	0.2468
75264	1024	0.2468
75520	1024	0.2468
75776	1024	0.2468
76032	1024	0.2468
76288	1024	0.2468
76544	1024	0.2468
76800	1024	0.2468
77056	1024	0.2468
77312	1024	0.2468
77568	1024	0.2468
77824	1024	0.2468
78080	1024	0.2468
78336	1024	0.2468
78592	1024	0.2468
78848	1024	0.2468
79104	1024	0.2468
79360	1024	0.2468
79616	1024	0.2468
80128	1024	0.2468
80384	1024	0.2468
80896	1024	0.2468
61952	1280	0.2468
70144	1280	0.2468
70656	1280	0.2468
70912	1280	0.2468
71168	1280	0.2468
71680	1280	0.2468
71936	1280	0.2468
72192	1280	0.2468
72448	1280	0.2468
72704	1280	0.2468
72960	1280	0.2468
73216	1280	0.2468
73472	1280	0.2468
73728	1280	0.2468
73984	1280	0.2468
74496	1280	0.2468
74752	1280	0.2468
75008	1280	0.2468
75264	1280	0.2468
75520	1280	0.2468
75776	1280	0.2468
76032	1280	0.2468
76288	1280	0.2468
76544	1280	0.2468
76800	1280	0.2468
77056	1280	0.2468
77312	1280	0.2468
77568	1280	0.2468
77824	1280	0.2468
79872	1280	0.2468
80128	1280	0.2468
81152	1280	0.2468
81408	1280	0.2468
81920	1280	0.2468
58368	1536	0.2468
58624	1536	0.2468
62464	1536	0.2468
62720	1536	0.2468
62976	1536	0.2468
63232	1536	0.2468
63488	1536	0.2468
63744	1536	0.2468
64000	1536	0.2468
64768	1536	0.2468
69888	1536	0.2468
70144	1536	0.2468
70400	1536	0.2468
70656	1536	0.2468
70912	1536	0.2468
71168	1536	0.2468
71680	1536	0.2468
71936	1536	0.2468
72192	1536	0.2468
72448	1536	0.2468
72704	1536	0.2468
72960	1536	0.2468
73216	1536	0.2468
73472	1536	0.2468
73728	1536	0.2468
73984	1536	0.2468
74240	1536	0.2468
74496	1536	0.2468
74752	1536	0.2468
75008	1536	0.2468
