x	y	mpp
123136	2816	0.2485
123392	2816	0.2485
123648	2816	0.2485
123904	2816	0.2485
124160	2816	0.2485
122880	3072	0.2485
123136	3072	0.2485
123392	3072	0.2485
123648	3072	0.2485
123904	3072	0.2485
124160	3072	0.2485
124416	3072	0.2485
122880	3328	0.2485
123136	3328	0.2485
123392	3328	0.2485
123648	3328	0.2485
123904	3328	0.2485
124160	3328	0.2485
124416	3328	0.2485
124672	3328	0.2485
124928	3328	0.2485
125184	3328	0.2485
122880	3584	0.2485
123136	3584	0.2485
123392	3584	0.2485
123648	3584	0.2485
123904	3584	0.2485
124160	3584	0.2485
124416	3584	0.2485
124672	3584	0.2485
124928	3584	0.2485
125184	3584	0.2485
125440	3584	0.2485
125696	3584	0.2485
125952	3584	0.2485
122624	3840	0.2485
122880	3840	0.2485
123136	3840	0.2485
123392	3840	0.2485
123648	3840	0.2485
123904	3840	0.2485
124160	3840	0.2485
124416	3840	0.2485
124672	3840	0.2485
124928	3840	0.2485
125184	3840	0.2485
125440	3840	0.2485
125696	3840	0.2485
125952	3840	0.2485
126208	3840	0.2485
121600	4096	0.2485
121856	4096	0.2485
122112	4096	0.2485
122368	4096	0.2485
122624	4096	0.2485
122880	4096	0.2485
123136	4096	0.2485
123392	4096	0.2485
123648	4096	0.2485
123904	4096	0.2485
124160	4096	0.2485
124416	4096	0.2485
124672	4096	0.2485
124928	4096	0.2485
125184	4096	0.2485
125440	4096	0.2485
125696	4096	0.2485
125952	4096	0.2485
126208	4096	0.2485
126464	4096	0.2485
121344	4352	0.2485
121600	4352	0.2485
121856	4352	0.2485
122112	4352	0.2485
122368	4352	0.2485
122624	4352	0.2485
122880	4352	0.2485
123136	4352	0.2485
123392	4352	0.2485
123648	4352	0.2485
123904	4352	0.2485
124160	4352	0.2485
124416	4352	0.2485
124672	4352	0.2485
124928	4352	0.2485
125184	4352	0.2485
125440	4352	0.2485
125696	4352	0.2485
125952	4352	0.2485
126208	4352	0.2485
126464	4352	0.2485
126720	4352	0.2485
9984	4608	0.2485
10240	4608	0.2485
10496	4608	0.2485
121088	4608	0.2485
121344	4608	0.2485
121600	4608	0.2485
121856	4608	0.2485
122112	4608	0.2485
122368	4608	0.2485
122624	4608	0.2485
122880	4608	0.2485
123136	4608	0.2485
123392	4608	0.2485
123648	4608	0.2485
123904	4608	0.2485
124160	4608	0.2485
124416	4608	0.2485
124672	4608	0.2485
124928	4608	0.2485
125184	4608	0.2485
125440	4608	0.2485
125696	4608	0.2485
125952	4608	0.2485
126208	4608	0.2485
126464	4608	0.2485
126720	4608	0.2485
9728	4864	0.2485
9984	4864	0.2485
10240	4864	0.2485
10496	4864	0.2485
10752	4864	0.2485
11008	4864	0.2485
66816	4864	0.2485
67072	4864	0.2485
120832	4864	0.2485
121088	4864	0.2485
121344	4864	0.2485
121600	4864	0.2485
121856	4864	0.2485
122112	4864	0.2485
122368	4864	0.2485
122624	4864	0.2485
122880	4864	0.2485
123136	4864	0.2485
123392	4864	0.2485
123648	4864	0.2485
123904	4864	0.2485
124160	4864	0.2485
124416	4864	0.2485
124672	4864	0.2485
124928	4864	0.2485
125184	4864	0.2485
125440	4864	0.2485
125696	4864	0.2485
125952	4864	0.2485
126208	4864	0.2485
126464	4864	0.2485
126720	4864	0.2485
126976	4864	0.2485
9472	5120	0.2485
9728	5120	0.2485
9984	5120	0.2485
10240	5120	0.2485
10496	5120	0.2485
10752	5120	0.2485
11008	5120	0.2485
11264	5120	0.2485
11520	5120	0.2485
66048	5120	0.2485
66304	5120	0.2485
66560	5120	0.2485
66816	5120	0.2485
67072	5120	0.2485
67328	5120	0.2485
67584	5120	0.2485
120832	5120	0.2485
121088	5120	0.2485
121344	5120	0.2485
121600	5120	0.2485
121856	5120	0.2485
122112	5120	0.2485
122368	5120	0.2485
122624	5120	0.2485
122880	5120	0.2485
123136	5120	0.2485
123392	5120	0.2485
123648	5120	0.2485
123904	5120	0.2485
124160	5120	0.2485
124416	5120	0.2485
124672	5120	0.2485
124928	5120	0.2485
125184	5120	0.2485
125440	5120	0.2485
125696	5120	0.2485
125952	5120	0.2485
126208	5120	0.2485
126464	5120	0.2485
126720	5120	0.2485
126976	5120	0.2485
127232	5120	0.2485
9472	5376	0.2485
9728	5376	0.2485
9984	5376	0.2485
10240	5376	0.2485
10496	5376	0.2485
10752	5376	0.2485
11008	5376	0.2485
