role	release	file_name	size_label	expected_bytes	actual_bytes	status	source_url	local_path
model_metadata	DepMap Public 26Q1	Model.csv	697.5 kB	714240	697455	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fpublic-26q1-5bbf.37%2FModel.csv&dl_name=Model.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/Model.csv
crispr_gene_effect	DepMap Public 26Q1	CRISPRGeneEffect.csv	440.6 MB	462002585	440646050	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2F26q1-public-3b44.1%2FCRISPRGeneEffect.csv&dl_name=CRISPRGeneEffect.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/CRISPRGeneEffect.csv
ccle_expression	DepMap Public 26Q1	OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv	305.0 MB	319815680	305007605	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fpublic-26q1-5bbf.27%2FOmicsExpressionTPMLogp1HumanProteinCodingGenes.csv&dl_name=OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/OmicsExpressionTPMLogp1HumanProteinCodingGenes.csv
common_essential	DepMap Public 26Q1	AchillesCommonEssentialControls.csv	17.0 kB	17408	17004	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2F26q1-public-3b44.1%2FAchillesCommonEssentialControls.csv&dl_name=AchillesCommonEssentialControls.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/AchillesCommonEssentialControls.csv
nonessential_controls	DepMap Public 26Q1	AchillesNonessentialControls.csv	11.5 kB	11776	11473	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2F26q1-public-3b44.1%2FAchillesNonessentialControls.csv&dl_name=AchillesNonessentialControls.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/AchillesNonessentialControls.csv
prism_lfc_collapsed	PRISM Primary Repurposing DepMap Public 24Q2	Repurposing_Public_24Q2_LFC_COLLAPSED.csv	150.1 MB	157391257	150056831	existing	https://ndownloader.figshare.com/files/46631056	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/Repurposing_Public_24Q2_LFC_COLLAPSED.csv
prism_treatment_metadata	PRISM Primary Repurposing DepMap Public 24Q2	Repurposing_Public_24Q2_Treatment_Meta_Data.csv	1.5 MB	1572864	1510417	existing	https://ndownloader.figshare.com/files/46631146	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/Repurposing_Public_24Q2_Treatment_Meta_Data.csv
prism_cell_metadata	PRISM Primary Repurposing DepMap Public 24Q2	Repurposing_Public_24Q2_Cell_Line_Meta_Data.csv	157.3 kB	161075	157294	existing	https://ndownloader.figshare.com/files/46630978	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/Repurposing_Public_24Q2_Cell_Line_Meta_Data.csv
gdsc1_auc	Harmonized GDSC 25Q2	GDSC1AUCMatrix.csv	4.3 MB	4508876	4250106	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FGDSC1AUCMatrix.csv&dl_name=GDSC1AUCMatrix.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/GDSC1AUCMatrix.csv
gdsc1_ic50	Harmonized GDSC 25Q2	GDSC1Log2IC50Matrix.csv	1.9 MB	1992294	1924618	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FGDSC1Log2IC50Matrix.csv&dl_name=GDSC1Log2IC50Matrix.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/GDSC1Log2IC50Matrix.csv
gdsc1_conditions	Harmonized GDSC 25Q2	GDSC1Log2ViabilityCollapsedConditions.csv	118.1 kB	120934	118064	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FGDSC1Log2ViabilityCollapsedConditions.csv&dl_name=GDSC1Log2ViabilityCollapsedConditions.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/GDSC1Log2ViabilityCollapsedConditions.csv
gdsc2_auc	Harmonized GDSC 25Q2	GDSC2AUCMatrix.csv	3.9 MB	4089446	3904624	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FGDSC2AUCMatrix.csv&dl_name=GDSC2AUCMatrix.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/GDSC2AUCMatrix.csv
gdsc2_ic50	Harmonized GDSC 25Q2	GDSC2Log2IC50Matrix.csv	1.3 MB	1363148	1323002	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FGDSC2Log2IC50Matrix.csv&dl_name=GDSC2Log2IC50Matrix.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/GDSC2Log2IC50Matrix.csv
gdsc2_conditions	Harmonized GDSC 25Q2	GDSC2Log2ViabilityCollapsedConditions.csv	155.7 kB	159436	155745	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FGDSC2Log2ViabilityCollapsedConditions.csv&dl_name=GDSC2Log2ViabilityCollapsedConditions.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/GDSC2Log2ViabilityCollapsedConditions.csv
ctrp_auc	Harmonized CTD^2 25Q2	CTRPAUCMatrix.csv	6.1 MB	6396313	6136230	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FCTRPAUCMatrix.csv&dl_name=CTRPAUCMatrix.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/CTRPAUCMatrix.csv
ctrp_ic50	Harmonized CTD^2 25Q2	CTRPLog2IC50Matrix.csv	3.6 MB	3774873	3577647	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FCTRPLog2IC50Matrix.csv&dl_name=CTRPLog2IC50Matrix.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/CTRPLog2IC50Matrix.csv
ctrp_conditions	Harmonized CTD^2 25Q2	CTRPLog2ViabilityCollapsedConditions.csv	432.3 kB	442675	432299	existing	https://depmap.org/portal/download/api/download?file_name=downloads-by-canonical-id%2Fprocessed-files-for-ctd2-gdsc1-gdsc2-and-repurposing-secondary-4e65.3%2FCTRPLog2ViabilityCollapsedConditions.csv&dl_name=CTRPLog2ViabilityCollapsedConditions.csv&bucket=depmap-external-downloads	/home/seungho/personal/THCA_data_analysis/project/results/p3_p9_full_execution/paper9/raw/CTRPLog2ViabilityCollapsedConditions.csv
