coverage_item	n_models	notes
thyroid_flagged_models	25	
strict_thyroid_lineage_models	22	OncoTree primary/subtype/lineage thyroid; excludes thyroid-site non-thyroid cancers
crispr_overlap	14	
strict_thyroid_crispr_overlap	11	
ccle_expression_overlap	25	
strict_thyroid_expression_overlap	22	
prism_overlap	16	all PRISM 24Q2 models, not GLS-specific
gdsc_ctrp_overlap	15	any GDSC1/GDSC2/CTRP AUC model
gls_expression_dependency_drug_complete	9	GLS expression + GLS dependency + matched glutaminase inhibitor response
strict_gls_expression_dependency_drug_complete	9	strict thyroid subset with GLS expression + GLS dependency + matched glutaminase inhibitor response
