candidate	candidate_type	class	genes_requested	dependency_genes_present	expression_genes_present	dependency_direction	dependency_spearman	dependency_p	dependency_n	expression_spearman	expression_p	expression_n	pan_cancer_corrected_dependency_spearman	pan_cancer_corrected_dependency_p	pan_cancer_corrected_dependency_n	pan_cancer_corrected_expression_spearman	pan_cancer_corrected_expression_p	strict_thyroid_dependency_spearman	strict_thyroid_dependency_p	strict_thyroid_dependency_n	strict_thyroid_expression_spearman	strict_thyroid_expression_p	strict_thyroid_expression_n
GLS	gene	glutaminase	GLS	GLS	GLS	positive dependency_strength means stronger dependency with lineage silencing	0.08813375267455982	0.0028988001189605896	1140	0.12703989393458526	1.258610025144063e-07	1719	0.0807843564408971	0.006351459057017017	1140	0.055132342377379566	0.022732300423565898	-0.08181818181818183	0.8109903943000459	11	-0.37436476566911353	0.08607231632476404	22
GLUD1	gene	glutamate_dehydrogenase	GLUD1	GLUD1	GLUD1	positive dependency_strength means stronger dependency with lineage silencing	0.07541208763950305	0.010864117736556328	1140	0.04767380097736401	0.0481229561633997	1719	0.06193614565535879	0.03653537501674505	1140	0.06675689858193724	0.005794727041923932	-0.2545454545454546	0.45003657688882837	11	0.1326933935629588	0.5560825858858706	22
GLUD2	gene	glutamate_dehydrogenase	GLUD2	GLUD2	GLUD2	positive dependency_strength means stronger dependency with lineage silencing	-0.020306725382214057	0.4933739481605227	1140	0.0585777640630904	0.015140463388339308	1719	-0.03512669367578077	0.23598649283385248	1140	-0.028039380293668408	0.24692523686644752	0.009090909090909092	0.9788365001441937	11	-0.20271033314511577	0.3656032765874888	22
SLC1A5	gene	glutamine_transport	SLC1A5	SLC1A5	SLC1A5	positive dependency_strength means stronger dependency with lineage silencing	0.10242800805641222	0.0005328260112610578	1140	-0.06594460934625825	0.006236009004473206	1719	0.07804726922870364	0.00838130404035591	1140	-0.060787534099260375	0.012005846475407058	0.11818181818181818	0.7292847795197801	11	0.21513269339356297	0.3363093427595237	22
SLC7A5	gene	amino_acid_transport	SLC7A5	SLC7A5	SLC7A5	positive dependency_strength means stronger dependency with lineage silencing	0.05056158010845532	0.08793845492608246	1140	-0.08978966762577208	0.00019332955913012984	1719	0.10074931656347481	0.0006577077837358951	1140	-0.054591889377450756	0.024099421449191968	-0.19090909090909092	0.5739131682855213	11	0.07622811970638058	0.7359946162262682	22
ASNS	gene	amino_acid_synthesis	ASNS	ASNS	ASNS	positive dependency_strength means stronger dependency with lineage silencing	0.03807082030687928	0.1989760390260703	1140	-0.07163239274756848	0.0029625662708952743	1719	0.03908602835460066	0.1872519114536778	1140	-0.04058717106823594	0.0936684609089045	-0.09090909090909091	0.7903727377532903	11	-0.17108977978543197	0.4464902890766695	22
GOT1	gene	transaminase	GOT1	GOT1	GOT1	positive dependency_strength means stronger dependency with lineage silencing	0.021338865620127927	0.47166379945053927	1140	0.019712558542088147	0.4140519994994358	1719	-0.015333997216930987	0.6050181139587706	1140	-0.008139780931309579	0.7368246877131754	-0.38181818181818183	0.2465595757789701	11	-0.5505364201016375	0.007930212992748582	22
GOT2	gene	transaminase	GOT2	GOT2	GOT2	positive dependency_strength means stronger dependency with lineage silencing	0.04772571749966113	0.10727659857855869	1140	0.0014035005424824576	0.9536307480359063	1719	0.058140488995939626	0.04969783803750871	1140	0.03993735845384483	0.09904615569019944	0.11818181818181818	0.7292847795197801	11	0.10220214568040656	0.6508533489140009	22
GPT2	gene	transaminase	GPT2	GPT2	GPT2	positive dependency_strength means stronger dependency with lineage silencing	-0.0476700566057198	0.10768737881537495	1140	-0.1181031974071204	9.094284451970825e-07	1719	-0.04299778560438454	0.14682144633152447	1140	-0.01824049441962042	0.4513704423159844	-0.10000000000000002	0.7698749998921367	11	0.07622811970638058	0.7359946162262682	22
MYC_glutamine_addiction_module	module	myc_glutamine_addiction	MYC;GLS;SLC1A5;SLC7A5;ASNS;LDHA	MYC;GLS;SLC1A5;SLC7A5;ASNS;LDHA	MYC;GLS;SLC1A5;SLC7A5;ASNS;LDHA	positive dependency_strength means stronger dependency with lineage silencing	0.13603600236040422	4.036215968137506e-06	1140	0.027762766289339127	0.24995790246004432	1719	0.17587032686669754	2.256084977305772e-09	1140	0.029541977874020894	0.22249358068754174	-0.1272727272727273	0.709214625773305	11	0.18238283455674761	0.41658263454025146	22
LDHA_glycolysis_comparator	module	glycolysis_comparator	LDHA;SLC2A1;HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM	LDHA;SLC2A1;HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM	LDHA;SLC2A1;HK2;PFKP;ALDOA;GAPDH;PGK1;ENO1;PKM	positive dependency_strength means stronger dependency with lineage silencing	0.027027138452140363	0.3619231548428294	1140	0.19432974668768827	4.3348334254208986e-16	1719	0.06580946999728163	0.02628635970235761	1140	0.1336587386414685	2.9721769649914645e-08	0.13636363636363638	0.6893090205863619	11	0.3574251835121401	0.10245166957794666	22
OXPHOS_comparator	module	oxphos_comparator	NDUFS1;NDUFS2;NDUFA9;NDUFB8;SDHA;UQCRC1;COX4I1;COX5A;ATP5F1A;ATP5F1B	NDUFS1;NDUFS2;NDUFA9;NDUFB8;SDHA;UQCRC1;COX4I1;COX5A;ATP5F1A;ATP5F1B	NDUFS1;NDUFS2;NDUFA9;NDUFB8;SDHA;UQCRC1;COX4I1;COX5A;ATP5F1A;ATP5F1B	positive dependency_strength means stronger dependency with lineage silencing	0.031495261635562814	0.288009027118985	1140	0.06336171144859122	0.008594950098997545	1719	0.024303346948612792	0.4123322338262931	1140	0.01743678846791056	0.4715601787039485	-0.33636363636363636	0.31182431390038634	11	-0.32919254658385094	0.13465848838788197	22
NAMPT_NAD_salvage_comparator	module	nad_salvage_comparator	NAMPT;NAPRT;NADSYN1;NMNAT1;NMNAT2;NMNAT3;NMRK1;NMRK2;QPRT	NAMPT;NAPRT;NADSYN1;NMNAT1;NMNAT2;NMNAT3;NMRK1;NMRK2;QPRT	NAMPT;NAPRT;NADSYN1;NMNAT1;NMNAT2;NMNAT3;NMRK1;NMRK2;QPRT	positive dependency_strength means stronger dependency with lineage silencing	0.027324728222847365	0.35665951929740164	1140	-0.19632944184336132	2.1371509318745367e-16	1719	0.05696820025970034	0.05449016875264972	1140	-0.21897311264118097	5.603451626387292e-20	0.15454545454545454	0.6500339654975799	11	-0.023150762281197064	0.9185490835113286	22
