sample	mapk	panel	ht	patient	sample_id	sub_cluster	axis_class	ht_class
TCGA-FY-A2QD-01A	-0.6195679378796636	0.725695626039899	-1.3129780658074153	TCGA-FY-A2QD	TCGA-FY-A2QD-01A	sub_B	mapk_low	ht_low
TCGA-DJ-A2QB-01A	-0.13203821931908635	-0.13570894565981975	-0.7087313885379564	TCGA-DJ-A2QB	TCGA-DJ-A2QB-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A192-01A	-0.6999947257032488	0.3553630737601584	-0.6431266794878853	TCGA-BJ-A192	TCGA-BJ-A192-01A	sub_B	mapk_low	ht_high
TCGA-EM-A2P2-01A	0.3277468702794351	0.09286137738014599	-1.0517794027100469	TCGA-EM-A2P2	TCGA-EM-A2P2-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A45G-01A	0.21650729256412793	0.9902180451816683	-0.6205546614052293	TCGA-BJ-A45G	TCGA-BJ-A45G-01A	sub_A	mapk_high	ht_high
TCGA-DJ-A3VG-01A	0.00966990940805366	1.016925789141847	-0.5794687798894024	TCGA-DJ-A3VG	TCGA-DJ-A3VG-01A	sub_A	mapk_high	ht_high
TCGA-DJ-A4UR-01A	-0.418451385939847	0.5194232102882009	-0.15528741558944284	TCGA-DJ-A4UR	TCGA-DJ-A4UR-01A	sub_A	mapk_low	ht_high
TCGA-EL-A3CZ-01A	0.18234035832356443	1.0129529962483363	-0.8185899996479457	TCGA-EL-A3CZ	TCGA-EL-A3CZ-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A2N7-11A	-0.9308313042212034	1.1343423566707493	-0.7543784151769921	TCGA-BJ-A2N7	TCGA-BJ-A2N7-01A	sub_A	mapk_low	ht_low
TCGA-BJ-A2N7-01A	-0.02893771244177604	0.5030086573199452	-0.6603614093227215	TCGA-BJ-A2N7	TCGA-BJ-A2N7-01A	sub_A	mapk_high	ht_high
TCGA-EL-A3GW-01A	0.38576212012185135	0.32012777371140827	-0.8232413906221956	TCGA-EL-A3GW	TCGA-EL-A3GW-01A	sub_A	mapk_high	ht_low
TCGA-ET-A39L-01A	0.6173452049306933	0.3999822640821806	-0.7299655599743502	TCGA-ET-A39L	TCGA-ET-A39L-01A	sub_A	mapk_high	ht_low
TCGA-EM-A2CJ-01A	-0.3688526901471411	1.237767120306414	-1.0822844403015428	TCGA-EM-A2CJ	TCGA-EM-A2CJ-01A	sub_B	mapk_low	ht_low
TCGA-BJ-A45F-01A	-0.5690921729035521	0.10050005041420765	-0.6521782098736361	TCGA-BJ-A45F	TCGA-BJ-A45F-01A	sub_A	mapk_low	ht_high
TCGA-EM-A22K-01A	0.4918948682744484	0.6381222341051529	-0.7307827701883888	TCGA-EM-A22K	TCGA-EM-A22K-01A	sub_A	mapk_high	ht_low
TCGA-DJ-A1QL-01A	-0.45041168830533707	1.0896931012552609	-1.05096201114046	TCGA-DJ-A1QL	TCGA-DJ-A1QL-01A	sub_B	mapk_low	ht_low
TCGA-CE-A484-01A	0.09344982301053373	0.23768434928585702	-0.7883537946483087	TCGA-CE-A484	TCGA-CE-A484-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A2P4-01A	0.1056095260996776	0.47705460040273817	-0.6425601942157858	TCGA-BJ-A2P4	TCGA-BJ-A2P4-01A	sub_A	mapk_high	ht_high
TCGA-BJ-A0YZ-01A	-0.7130243735594844	0.24424413448128474	-0.7260750098506266	TCGA-BJ-A0YZ	TCGA-BJ-A0YZ-01A	sub_B	mapk_low	ht_low
TCGA-FY-A3NM-01A	-1.0970629580592515	1.3310507962729166	-1.071103902588451	TCGA-FY-A3NM	TCGA-FY-A3NM-01A	sub_B	mapk_low	ht_low
TCGA-EL-A4K2-01A	0.03693427436770227	0.8851555200493708	0.002583524715801942	TCGA-EL-A4K2	TCGA-EL-A4K2-01A	sub_A	mapk_high	ht_high
TCGA-EL-A3GO-01A	-0.7024629927864212	0.46939354178245996	-0.509786370302359	TCGA-EL-A3GO	TCGA-EL-A3GO-01A	sub_B	mapk_low	ht_high
TCGA-BJ-A0ZE-01A	-0.4830812593150682	0.13486511597028475	-0.8957952050807413	TCGA-BJ-A0ZE	TCGA-BJ-A0ZE-01A	sub_A	mapk_low	ht_low
TCGA-BJ-A18Y-01A	0.03843633859120419	1.0355975119759115	-0.8434455218523348	TCGA-BJ-A18Y	TCGA-BJ-A18Y-01A	sub_A	mapk_high	ht_low
TCGA-EM-A2CR-01A	-0.22527538146415582	-0.07320211803504044	-0.6010078592617328	TCGA-EM-A2CR	TCGA-EM-A2CR-01A	sub_A	mapk_high	ht_high
TCGA-DJ-A3UP-01A	0.2821304756714477	0.559722232108608	-0.3122054334978378	TCGA-DJ-A3UP	TCGA-DJ-A3UP-01A	sub_A	mapk_high	ht_high
TCGA-EM-A3FR-01A	-0.039536329091115235	0.7416439889054697	-0.646562192773747	TCGA-EM-A3FR	TCGA-EM-A3FR-01A	sub_A	mapk_high	ht_high
TCGA-ET-A4KQ-01A	0.2509575807300318	1.1391504285236844	-0.95615422650974	TCGA-ET-A4KQ	TCGA-ET-A4KQ-01A	sub_A	mapk_high	ht_low
TCGA-EM-A2CP-01A	-0.6097232924477572	-0.11413910475287942	1.5377694744083212	TCGA-EM-A2CP	TCGA-EM-A2CP-01A	sub_B	mapk_low	ht_high
TCGA-ET-A39I-01A	0.4144186534542312	1.0654381027756892	-1.0246270952085785	TCGA-ET-A39I	TCGA-ET-A39I-01A	sub_A	mapk_high	ht_low
TCGA-FK-A3SD-01A	-0.9829836619188563	0.8967136439693959	-1.196920035312407	TCGA-FK-A3SD	TCGA-FK-A3SD-01A	sub_B	mapk_low	ht_low
TCGA-DJ-A13W-01A	-1.4273412201097828	-0.6643951485211321	-0.874784770522305	TCGA-DJ-A13W	TCGA-DJ-A13W-01A	sub_A	mapk_low	ht_low
TCGA-DJ-A13R-01A	-1.6668184941510527	-0.6282623126967446	0.9500852391835921	TCGA-DJ-A13R	TCGA-DJ-A13R-01A	sub_B	mapk_low	ht_high
TCGA-ET-A3DS-01A	-1.3482530374482784	1.355214213091433	-0.07920525369638565	TCGA-ET-A3DS	TCGA-ET-A3DS-01A	sub_B	mapk_low	ht_high
TCGA-EL-A3D4-01A	0.8181313411065152	0.49241728152374986	-0.5682567654826123	TCGA-EL-A3D4	TCGA-EL-A3D4-01A	sub_A	mapk_high	ht_high
TCGA-EL-A4JV-01A	0.3347676368945056	0.6909438790458671	-0.9548335534301544	TCGA-EL-A4JV	TCGA-EL-A4JV-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A0Z0-01A	-0.334168975897991	1.0724869199491611	-1.0208586755353741	TCGA-BJ-A0Z0	TCGA-BJ-A0Z0-01A	sub_A	mapk_low	ht_low
TCGA-EM-A2CK-01A	-0.042201271869874706	0.7308457232288226	-0.8988976835190527	TCGA-EM-A2CK	TCGA-EM-A2CK-01A	sub_A	mapk_high	ht_low
TCGA-ET-A2N5-01A	0.2409275771427992	0.5311953208311045	-0.5577240101995968	TCGA-ET-A2N5	TCGA-ET-A2N5-01A	sub_A	mapk_high	ht_high
TCGA-ET-A2N5-11B	-1.843852157677458	1.2270119965621913	-1.059829625479238	TCGA-ET-A2N5	TCGA-ET-A2N5-01A	sub_A	mapk_low	ht_low
TCGA-BJ-A0ZJ-01A	-0.1938683862806784	0.36518147425331815	1.4671048766636754	TCGA-BJ-A0ZJ	TCGA-BJ-A0ZJ-01A	sub_A	mapk_high	ht_high
TCGA-EM-A1YD-01A	-0.532433089822179	1.1216785499458921	-0.3864396244227619	TCGA-EM-A1YD	TCGA-EM-A1YD-01A	sub_B	mapk_low	ht_high
TCGA-EL-A3H1-01A	0.23863049875839762	0.9190306375575044	-0.6889571512442069	TCGA-EL-A3H1	TCGA-EL-A3H1-01A	sub_A	mapk_high	ht_low
TCGA-DJ-A3VK-01A	0.16730114627975695	0.4367361078648653	-0.5298950169262822	TCGA-DJ-A3VK	TCGA-DJ-A3VK-01A	sub_A	mapk_high	ht_high
TCGA-EM-A4FR-01A	-0.19554121581856876	0.7591619830651676	-0.7077092502348119	TCGA-EM-A4FR	TCGA-EM-A4FR-01A	sub_A	mapk_high	ht_low
TCGA-EL-A3ZR-01A	0.1406770002364507	0.8696908947048166	-0.9209978623033801	TCGA-EL-A3ZR	TCGA-EL-A3ZR-01A	sub_A	mapk_high	ht_low
TCGA-BJ-A190-01A	-1.8216429824983322	0.9211106253321009	-1.3716238282797366	TCGA-BJ-A190	TCGA-BJ-A190-01A	sub_B	mapk_low	ht_low
TCGA-EM-A3AL-01A	-0.3183217590759737	0.916612504421985	-1.1069869196615774	TCGA-EM-A3AL	TCGA-EM-A3AL-01A	sub_B	mapk_low	ht_low
TCGA-EM-A1YC-01A	-1.504500438934121	-0.1790000599946028	-1.1157074738267332	TCGA-EM-A1YC	TCGA-EM-A1YC-01A	sub_B	mapk_low	ht_low
TCGA-EM-A4FK-01A	-0.09502551313202875	0.7071757233013334	-1.1758942414405464	TCGA-EM-A4FK	TCGA-EM-A4FK-01A	sub_A	mapk_high	ht_low
TCGA-EL-A3ZH-11A	-1.1807080912040255	1.1303457656947389	-0.7714213037160834	TCGA-EL-A3ZH	TCGA-EL-A3ZH-01A	sub_A	mapk_low	ht_low
TCGA-EM-A1CW-01A	-0.2843052092251305	0.34072620102107926	0.5679543769217256	TCGA-EM-A1CW	TCGA-EM-A1CW-01A	sub_B	mapk_high	ht_high
TCGA-BJ-A2N9-11A	-1.0311325742241104	0.8711361804986059	1.8526383589550306	TCGA-BJ-A2N9	TCGA-BJ-A2N9-01A	sub_B	mapk_low	ht_high
TCGA-DJ-A3VM-01A	-0.1180146051259055	0.04999192111727216	-0.5757633946265245	TCGA-DJ-A3VM	TCGA-DJ-A3VM-01A	sub_A	mapk_high	ht_high
TCGA-EM-A2CL-01A	-0.1940339875908988	0.8187112979347851	-1.1735857940027494	TCGA-EM-A2CL	TCGA-EM-A2CL-01A	sub_B	mapk_high	ht_low
TCGA-BJ-A0ZF-01A	-0.8109654540834952	0.6800338677863098	-0.42541455553878943	TCGA-BJ-A0ZF	TCGA-BJ-A0ZF-01A	sub_B	mapk_low	ht_high
TCGA-EM-A4FU-01A	0.1684146223866188	0.4819085724125607	-0.6433139112045034	TCGA-EM-A4FU	TCGA-EM-A4FU-01A	sub_A	mapk_high	ht_high
TCGA-EM-A3FN-01A	-1.1226813305543635	0.8977236156894415	-1.3412782952252107	TCGA-EM-A3FN	TCGA-EM-A3FN-01A	sub_B	mapk_low	ht_low
