sample_id	source	group	p_DM2	p_DM2_oof	DM_call	score_basis	n_panel_genes	p_DM2_prev_v4	abs_delta_prev_v4
TCGA-DJ-A2Q6-01A	TCGA-THCA	TCGA_DM2	0.9995282200067257	0.9993962773604537	DM2	centered_panel8_log2	8		
TCGA-FK-A3SE-01A	TCGA-THCA	TCGA_DM2	0.9057892573219084	0.9293318334121274	DM2	centered_panel8_log2	8		
TCGA-DJ-A2QA-01A	TCGA-THCA	TCGA_DM2	0.9267591410462067	0.9036593721281958	DM2	centered_panel8_log2	8		
TCGA-FY-A2QD-01A	TCGA-THCA	TCGA_DM1	0.01162123786969434	0.008845086734537527	DM1	centered_panel8_log2	8		
TCGA-EL-A3GR-01A	TCGA-THCA	TCGA_DM2	0.8457213138923897	0.8606161802975377	DM2	centered_panel8_log2	8		
TCGA-EL-A3T7-01A	TCGA-THCA	TCGA_DM2	0.9818059576522967	0.9872644349283962	DM2	centered_panel8_log2	8		
TCGA-FE-A230-01A	TCGA-THCA	TCGA_DM2	0.9942064190974218	0.994343571431744	DM2	centered_panel8_log2	8		
TCGA-EM-A3FO-01A	TCGA-THCA	TCGA_DM2	0.9850323645369298	0.9904739625473513	DM2	centered_panel8_log2	8		
TCGA-DJ-A3VB-01A	TCGA-THCA	TCGA_DM2	0.9830415629594648	0.9856959768565096	DM2	centered_panel8_log2	8		
TCGA-BJ-A28X-01A	TCGA-THCA	TCGA_DM2	0.979587918673051	0.9783866528214615	DM2	centered_panel8_log2	8		
TCGA-DJ-A2QB-01A	TCGA-THCA	TCGA_DM1	0.059542769905270174	0.07808461480199569	DM1	centered_panel8_log2	8		
TCGA-DO-A1K0-01A	TCGA-THCA	TCGA_DM2	0.9981758013814027	0.9972971464232906	DM2	centered_panel8_log2	8		
TCGA-EL-A4KD-01A	TCGA-THCA	TCGA_DM2	0.293204957179331	0.2831217597280883	DM1	centered_panel8_log2	8		
TCGA-BJ-A192-01A	TCGA-THCA	TCGA_DM1	0.004104955948164898	0.006693591360357855	DM1	centered_panel8_log2	8		
