mapk_gene	panel_gene	median_rho_full_resid_epi50	mean_rho_full_resid_epi50	n_samples
CCND1	TPO	-0.07117227456230678	-0.06979775812738107	11
DUSP6	TPO	-0.06773291405136789	-0.06038182343392387	11
SPRY2	SLC5A5	-0.050451224874492655	0.00987804404366145	7
ETV5	TPO	-0.029852762178415378	-0.00054955887731667	11
DUSP6	SLC5A5	-0.02840768363692159	-0.020901384624490073	7
DUSP5	DIO1	-0.027375439086476085	-0.025031668206606728	11
PHLDA1	TSHR	-0.025262674322362046	-0.014476198190053828	11
PHLDA1	TPO	-0.02489925384219837	-0.031460537551847335	11
DUSP6	DIO1	-0.02165607790519395	-0.027934439028354144	11
CCND1	SLC5A5	-0.021159142882668847	-0.010374441773698392	7
CCND1	TSHR	-0.019662357653246844	-0.026620064178916644	11
DUSP5	TPO	-0.01895383603728065	-0.02337817958155825	11
PHLDA1	DIO1	-0.0188858519326533	-0.03394353843875866	11
CCND1	DIO1	-0.015523547617506427	-0.0028550148878956436	11
CCND1	TG	-0.014793379223141088	-0.012129342609770421	12
DUSP5	TG	-0.014758961807949283	-0.023616468564377834	12
DUSP4	NKX2-1	-0.012856853478630923	0.0038168195748439744	11
DUSP4	TSHR	-0.010961532023650996	-0.016371149990692595	11
SPRY4	TSHR	-0.006413954858202558	-0.0308316109984112	11
SPRY4	NKX2-1	-0.006146558400589954	-0.02797181587730194	11
SPRY2	NKX2-1	-0.005711600620538435	-0.02653122689196825	11
PHLDA1	FOXE1	-0.0013580067751736034	-0.00472323343192681	12
DUSP5	TSHR	-2.0195083408627108e-05	0.001035896098260232	11
PHLDA1	SLC5A5	0.002062253552833039	-0.006854721259347356	7
SPRY2	TSHR	0.002341374059883297	-0.046898647749229846	11
DUSP6	TG	0.003204970062183459	0.0028650542743729433	12
ETV4	SLC5A5	0.003613748842922683	0.01932646891685886	7
PHLDA1	TG	0.0038892691755370314	0.01314649457157513	12
DUSP5	PAX8	0.006782281041908049	0.002397818342227861	12
DUSP6	FOXE1	0.007009377041047983	0.0028677160360999292	12
ETV4	TSHR	0.012581435665001717	0.010465938274513968	11
PHLDA1	NKX2-1	0.012811164050548671	0.012092589459230346	11
CCND1	NKX2-1	0.014502090028677564	0.01892447239474585	11
DUSP5	FOXE1	0.01623849812826972	0.016536671258936198	12
PHLDA1	PAX8	0.016622869491207455	0.019053475356304108	12
CCND1	FOXE1	0.016793351699183525	0.012519470104242895	12
ETV5	DIO1	0.018207696608838128	0.012862181768031356	11
SPRY2	PAX8	0.019230196793602845	0.010151139440545605	12
ETV4	NKX2-1	0.020981579346570155	0.029906718326701033	11
DUSP4	TG	0.021008920595759505	0.04048266873811763	12
DUSP5	NKX2-1	0.022785982091743692	0.019574615907645764	11
DUSP5	SLC5A5	0.023514498362278806	0.022405306437109456	7
ETV4	DIO1	0.025860508980662025	-0.0037887766797097973	11
SPRY4	FOXE1	0.027183867051212493	0.07045081776189077	12
ETV5	PAX8	0.027331097470321565	0.02246279859330623	12
ETV4	PAX8	0.027675542852347926	0.0657902747119347	12
DUSP6	PAX8	0.02779289722217996	0.025963760999073205	12
DUSP4	PAX8	0.028286644075250184	0.020932769179372982	12
DUSP4	TPO	0.028607195395132776	0.11769005521003507	11
CCND1	PAX8	0.03007122744057049	0.02878762902364546	12
ETV5	TSHR	0.03264411024775916	0.029037891562870292	11
DUSP6	NKX2-1	0.03530486141620286	0.0441251031621132	11
SPRY4	SLC5A5	0.0381575674288241	0.013143505685093473	7
SPRY2	TG	0.03893292603712785	0.0030796005373816735	12
SPRY4	PAX8	0.04058176382959151	0.07980095055269873	12
SPRY4	TG	0.04433068587205186	0.04477421695274583	12
ETV4	TPO	0.04563868729387946	0.044595725005737503	11
DUSP6	TSHR	0.04686855631631721	0.04018308985055738	11
DUSP4	SLC5A5	0.048356885306289635	0.035834658417840295	7
ETV5	NKX2-1	0.048730910351555225	0.03788246044287454	11
DUSP4	FOXE1	0.055218351572040775	0.05043119934500199	12
ETV5	TG	0.05630064283854649	0.0424982382299356	12
ETV4	FOXE1	0.05884028824783479	0.08317305170677812	12
ETV5	FOXE1	0.06188775366826612	0.07630593844303951	12
ETV5	SLC5A5	0.06217357052434609	0.09800842663293312	7
SPRY2	FOXE1	0.076000068788784	0.133980613011208	12
SPRY4	TPO	0.07857831602519658	0.12044259170599382	11
ETV4	TG	0.07884600284464163	0.044760258246611874	12
SPRY2	TPO	0.1329177199151369	0.1333981766257727	11
DUSP4	DIO1	0.14968731552362405	0.16952950215538598	11
SPRY4	DIO1	0.16806398064777756	0.13590079521248538	11
SPRY2	DIO1	0.2587851645595757	0.18455570704874422	11
