sample_id	stage	covariate_family	target	r2	n	n_covariates
GSM7980860_N-1	PT	epithelial	MAPK_z	0.0012209078020773978	1698	1
GSM7980860_N-1	PT	epithelial	Panel8_z	0.004155507520370527	1698	1
GSM7980860_N-1	PT	qc	MAPK_z	0.04463925145545211	1698	3
GSM7980860_N-1	PT	qc	Panel8_z	0.34280889773841117	1698	3
GSM7980860_N-1	PT	microenv	MAPK_z	0.005868017947280424	1698	4
GSM7980860_N-1	PT	microenv	Panel8_z	0.04864157205373043	1698	4
GSM7980860_N-1	PT	spatial	MAPK_z	0.011209991836481525	1698	5
GSM7980860_N-1	PT	spatial	Panel8_z	0.14525781514556313	1698	5
GSM7980860_N-1	PT	detection	MAPK_z	0.6576719695228481	1698	2
GSM7980860_N-1	PT	detection	Panel8_z	0.8008182614400022	1698	2
GSM7980860_N-1	PT	epithelial_qc_microenv	MAPK_z	0.04997333176178986	1698	8
GSM7980860_N-1	PT	epithelial_qc_microenv	Panel8_z	0.36664779102001577	1698	8
GSM7980860_N-1	PT	epithelial_qc_microenv_spatial_detection	MAPK_z	0.6892541418396638	1698	15
GSM7980860_N-1	PT	epithelial_qc_microenv_spatial_detection	Panel8_z	0.8481905086420423	1698	15
GSM7980861_N-2	PT	epithelial	MAPK_z	0.00013965423534478827	1890	1
GSM7980861_N-2	PT	epithelial	Panel8_z	0.003932903397011578	1890	1
GSM7980861_N-2	PT	qc	MAPK_z	0.03870191071374929	1890	3
GSM7980861_N-2	PT	qc	Panel8_z	0.2988730234567699	1890	3
GSM7980861_N-2	PT	microenv	MAPK_z	0.02286184252061907	1890	4
GSM7980861_N-2	PT	microenv	Panel8_z	0.033036957837487835	1890	4
GSM7980861_N-2	PT	spatial	MAPK_z	0.010201713343275687	1890	5
GSM7980861_N-2	PT	spatial	Panel8_z	0.085446153013373	1890	5
GSM7980861_N-2	PT	detection	MAPK_z	0.6559939043986783	1890	2
GSM7980861_N-2	PT	detection	Panel8_z	0.7364532960857384	1890	2
GSM7980861_N-2	PT	epithelial_qc_microenv	MAPK_z	0.05027581683957172	1890	8
GSM7980861_N-2	PT	epithelial_qc_microenv	Panel8_z	0.3371566962246677	1890	8
GSM7980861_N-2	PT	epithelial_qc_microenv_spatial_detection	MAPK_z	0.6972695802656624	1890	15
