sample_id	stage	metric	rho	p	n
GSM7980860_N-1	PT	MAPK_z_vs_log1p_total	0.3215449277825028	3.8467762625176833e-42	1698
GSM7980860_N-1	PT	Panel8_z_vs_log1p_total	0.5849313232537726	1.9685873236472038e-156	1698
GSM7980860_N-1	PT	MAPK_z_vs_MAPK_detect	0.9415754497263413	0.0	1698
GSM7980860_N-1	PT	Panel8_z_vs_panel_detect	0.9070774907482771	0.0	1698
GSM7980860_N-1	PT	MAPK_detect_vs_panel_detect	0.4005345860941044	1.924655773222196e-66	1698
GSM7980860_N-1	PT	MAPK_z_vs_Epithelial_score	0.0764756722977507	0.001612612057026439	1698
GSM7980860_N-1	PT	Panel8_z_vs_Epithelial_score	0.03783734614552392	0.1190992051227761	1698
GSM7980861_N-2	PT	MAPK_z_vs_log1p_total	0.2762891846266403	1.8413645746711432e-34	1890
GSM7980861_N-2	PT	Panel8_z_vs_log1p_total	0.4150951852165903	1.3023240542796393e-79	1890
GSM7980861_N-2	PT	MAPK_z_vs_MAPK_detect	0.9049776378357864	0.0	1890
GSM7980861_N-2	PT	Panel8_z_vs_panel_detect	0.8365784964087352	0.0	1890
GSM7980861_N-2	PT	MAPK_detect_vs_panel_detect	0.3221650651168006	6.737953869367785e-47	1890
GSM7980861_N-2	PT	MAPK_z_vs_Epithelial_score	0.010339873382503714	0.6532645796924753	1890
GSM7980861_N-2	PT	Panel8_z_vs_Epithelial_score	0.010068248663977021	0.6617996312546631	1890
GSM7980862_N-3	PT	MAPK_z_vs_log1p_total	0.2742806834367201	1.9184126344739817e-40	2269
GSM7980862_N-3	PT	Panel8_z_vs_log1p_total	0.3987675896132521	2.3419383943021265e-87	2269
GSM7980862_N-3	PT	MAPK_z_vs_MAPK_detect	0.9069391279861841	0.0	2269
GSM7980862_N-3	PT	Panel8_z_vs_panel_detect	0.8030229581120403	0.0	2269
GSM7980862_N-3	PT	MAPK_detect_vs_panel_detect	0.3308762707896119	4.212695405242518e-59	2269
GSM7980862_N-3	PT	MAPK_z_vs_Epithelial_score	-0.007910598239316904	0.7064620742617091	2269
GSM7980862_N-3	PT	Panel8_z_vs_Epithelial_score	-0.04450318796466745	0.03402731312148611	2269
