sample_id	stage	n_spots	n_MAPK_genes	n_panel_genes	mean_mapk_detect	mean_panel_detect
GSM7980860_N-1	PT	3395	9	8	0.5667157584683358	4.015022091310751
GSM7980861_N-2	PT	3780	9	8	0.9111111111111111	5.1494708994708995
GSM7980862_N-3	PT	4538	9	8	1.1353018951079772	4.874614367562803
GSM7980863_N-4	PT	3027	9	8	1.14800132144037	5.67195242814668
GSM7980864_PTC-1	PTC	2262	9	8	2.0070733863837313	2.5455349248452697
GSM7980865_PTC-2	PTC	4947	9	8	3.3509197493430363	3.6290681220941985
GSM7980866_PTC-3	PTC	4516	9	8	3.1605403011514617	3.653675819309123
GSM7980867_PTC-4	PTC	4498	9	8	2.561360604713206	3.2636727434415294
GSM7980868_LPTC-1	LPTC	1520	9	8	3.6881578947368423	3.8861842105263156
GSM7980869_LPTC-2	LPTC	4071	9	8	2.480225988700565	2.22942765905183
GSM7980870_LPTC-3	LPTC	3336	9	8	2.4838129496402876	2.70083932853717
GSM7980871_LPTC-4	LPTC	4707	9	8	3.8610579987253026	4.548969619715318
GSM7980872_ATC-1	ATC	4715	9	8	3.114952279957582	0.4426299045599152
GSM7980873_ATC-2	ATC	2354	9	8	1.9562446898895498	0.0118946474086661
GSM7980874_ATC-3	ATC	1621	9	8	5.626156693399136	0.027143738433066007
GSM7980875_ATC-4	ATC	2586	9	8	2.3994586233565354	2.7034029389017786
