contrast	gene	a_mean	b_mean	cohen_d	p	n_a	n_b
BRAF_V600E_vs_driver_neg	DIO1	0.521873448275862	0.3989545454545455	0.5897870541206832	6.809499699288863e-07	290	88
BRAF_V600E_vs_driver_neg	FOXE1	0.0823551724137931	0.08639204545454546	-0.08024704237423953	0.11810966899846098	290	88
BRAF_V600E_vs_driver_neg	NKX2-1	0.04719862068965517	0.06596022727272727	-0.23326519798647327	0.31502600814178294	290	88
BRAF_V600E_vs_driver_neg	PAX8	0.06768275862068966	0.06854204545454544	-0.019685084030508337	0.011383154414119205	290	88
BRAF_V600E_vs_driver_neg	SLC5A5	0.5773631034482758	0.5684522727272727	0.07825308135831054	0.7336411241732683	290	88
BRAF_V600E_vs_driver_neg	TG	0.6527596551724137	0.5821590909090909	0.4525089525934989	0.0009579058821948035	290	88
BRAF_V600E_vs_driver_neg	TPO	0.8779355172413794	0.5441352272727272	2.3258419942393016	1.6181601955309184e-24	290	88
BRAF_V600E_vs_driver_neg	TSHR	0.1481934482758621	0.13054772727272726	0.17481317445810485	6.9751023578367825e-06	290	88
BRAF_V600E_vs_driver_neg	mean_8g_beta	0.37192021551724136	0.3056428977272727	1.0403110595159246	3.907608057483422e-12	290	88
RAS_mut_vs_driver_neg	DIO1	0.4181037735849057	0.3989545454545455	0.08727232810584763	0.5741991324548958	53	88
RAS_mut_vs_driver_neg	FOXE1	0.05536037735849056	0.08639204545454546	-0.5995490482439846	0.011386287885880118	53	88
RAS_mut_vs_driver_neg	NKX2-1	0.020962264150943394	0.06596022727272727	-0.5163844134715503	0.0044598270368174705	53	88
RAS_mut_vs_driver_neg	PAX8	0.04279811320754718	0.06854204545454544	-0.5476100280205283	0.028984150997564413	53	88
RAS_mut_vs_driver_neg	SLC5A5	0.5943584905660377	0.5684522727272727	0.21198652945124494	0.08744114164375505	53	88
RAS_mut_vs_driver_neg	TG	0.4886528301886792	0.5821590909090909	-0.5263866877544621	0.002439610973570028	53	88
RAS_mut_vs_driver_neg	TPO	0.4821754716981132	0.5441352272727272	-0.23381872007369456	0.19346148584247103	53	88
RAS_mut_vs_driver_neg	TSHR	0.06972264150943397	0.13054772727272726	-0.5915695144071459	0.06019974930981678	53	88
RAS_mut_vs_driver_neg	mean_8g_beta	0.2715167452830189	0.3056428977272727	-0.41260899827940206	0.07244601194737775	53	88
RET_fusion_vs_driver_neg	DIO1	0.5524424242424242	0.3989545454545455	0.7216161357773617	0.00031150872701653795	33	88
RET_fusion_vs_driver_neg	FOXE1	0.09293939393939393	0.08639204545454546	0.1078253469178542	0.08923110219767637	33	88
RET_fusion_vs_driver_neg	NKX2-1	0.051236363636363635	0.06596022727272727	-0.1465202926869797	0.06335275009796786	33	88
RET_fusion_vs_driver_neg	PAX8	0.08288181818181818	0.06854204545454544	0.25409919688357	0.0024038035035286627	33	88
RET_fusion_vs_driver_neg	SLC5A5	0.6030939393939394	0.5684522727272727	0.3067058173956391	0.30843334510475495	33	88
RET_fusion_vs_driver_neg	TG	0.6512969696969697	0.5821590909090909	0.4195642700528253	0.037731168799943336	33	88
RET_fusion_vs_driver_neg	TPO	0.8742484848484847	0.5441352272727272	1.4327834420409342	1.0052276802012205e-08	33	88
RET_fusion_vs_driver_neg	TSHR	0.17190303030303034	0.13054772727272726	0.3386857534864894	0.0004157364669317959	33	88
RET_fusion_vs_driver_neg	mean_8g_beta	0.38500530303030295	0.3056428977272727	0.9299136220952521	1.6929663365052427e-06	33	88
NTRK_fusion_vs_driver_neg	DIO1	0.55285	0.3989545454545455	0.7082129919997263	0.02614585837818845	10	88
NTRK_fusion_vs_driver_neg	FOXE1	0.08152000000000001	0.08639204545454546	-0.07857747528382338	0.3787321727321734	10	88
NTRK_fusion_vs_driver_neg	NKX2-1	0.04828	0.06596022727272727	-0.16837176785706345	0.3661168294720095	10	88
NTRK_fusion_vs_driver_neg	PAX8	0.07024	0.06854204545454544	0.030247467910292484	0.16251677513259566	10	88
NTRK_fusion_vs_driver_neg	SLC5A5	0.54801	0.5684522727272727	-0.1650165544158299	0.4214301386896596	10	88
NTRK_fusion_vs_driver_neg	TG	0.59806	0.5821590909090909	0.08980947766120301	0.800785434884277	10	88
