class	method	wave	category	no_overlap_AUROC	no_overlap_AUPRC	no_overlap_n	no_overlap_n_pos	in_master_AUROC	combined_AUROC	use	caveat	training_data_summary	training_data_source	training_overlap_risk	paper_disposition	provenance_confidence	training_data_note	source_urls	strict_no_tcr_self_AUROC	strict_no_tcr_self_AUPRC	strict_n	strict_n_pos
MHC-I	Wave8_TCR_SelfSim_full	wave8	candidate feature model	0.7353673723536738	0.5978636925675818	106.0	33.0	0.5864518976169462	0.6285760205721633	candidate only	TCR+SelfSim; exact-reference sensitive	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on Wave8 features. Features use VDJdb + McPAS-TCR reference peptide-HLA sets and UniProt human SwissProt self-similarity.	local wave8 scripts and WAVE8_REPORT	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	candidate retest only	local_verified	headline no-overlap gain collapses after exact-reference stress; use only with exact/near-match flags	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py	0.6320028011204482	0.4027740564641288	89.0	21.0
MHC-I	Wave8_TCR_SelfSim_no_exact	wave8	candidate feature model	0.7320464923204648	0.6503371929643545	106.0	33.0	0.5738305383936453	0.6127852780456445	candidate only	self_exact dropped; TCR exact still present	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on Wave8 features. Features use VDJdb + McPAS-TCR reference peptide-HLA sets and UniProt human SwissProt self-similarity.	local wave8 scripts and WAVE8_REPORT	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	candidate retest only	local_verified	headline no-overlap gain collapses after exact-reference stress; use only with exact/near-match flags	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py	0.6285014005602241	0.4722984790608918	89.0	21.0
MHC-I	Wave8_TCR_motif_only	wave8	candidate feature model	0.7218762972187629	0.6101101528545781	106.0	33.0	0.4815092674315975	0.5563926390228223	candidate only	TCR motif only; exact-reference driven	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on TCR-reference features from local VDJdb + McPAS-TCR peptide-HLA reference sets.	local wave8 scripts and WAVE8_REPORT	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	candidate retest only	local_verified	headline no-overlap gain collapses after exact-reference stress; use only with exact/near-match flags	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py	0.625	0.4620716102886403	89.0	21.0
MHC-I	MHCflurry	wave3/10	public pretrained	0.668327106683271	0.552953122346244	106.0	33.0	0.6415710503089145	0.63673256187721	caveated comparator	training corpus unresolved; upper-bound comparator	public pretrained MHC-I presentation model; local install mhcflurry 2.2.1 model generated 2020-06-11; pretrained on MS-identified MHC-I ligands and peptide/MHC affinity measurements from IEDB plus other sources	official MHCflurry docs + local model files	unresolved/high: ITSNdb or close public IEDB/MS-derived measurements could overlap the pretrained corpus	caveated comparator only	official_doc_plus_local	use as public-pretrained upper-bound comparator, not clean external baseline	https://openvax.github.io/mhcflurry/intro.html	0.6568627450980392	0.4884773732064069	89.0	21.0
MHC-I	Structure_LR	wave2/10	local biophys baseline	0.653169014084507	0.4886546596772878	103.0	32.0	0.689517625231911	0.6893752656183595	primary local baseline	known local split; cleanest local comparator	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; local logistic regression on CPU biophysical proxies: HLA-specific anchor PWM from train positives, BLOSUM similarity to train binders, hydrophobicity/charge/helix/sheet/length/aromatic features.	local wave2 compute_structure_features.py	low/medium: known local training split; still trained on public CEDAR/TESLA/NEPdb labels but no hidden pretrained corpus	primary clean local baseline	local_verified	strict-set leader among locked non-CV scores	local: wave2/compute_structure_features.py	0.6785714285714285	0.4346989260362353	89.0	21.0
MHC-I	Wave8_TCR_only	wave8	candidate feature model	0.6436280614362806	0.5454567970784542	106.0	33.0	0.5856134157105031	0.6120218579234973	candidate only	drops after TCR exact-hit removal	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on TCR-reference features from local VDJdb + McPAS-TCR peptide-HLA reference sets.	local wave8 scripts and WAVE8_REPORT	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	candidate retest only	local_verified	headline no-overlap gain collapses after exact-reference stress; use only with exact/near-match flags	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py	0.5238095238095237	0.271061372611342	89.0	21.0
MHC-I	Stack_LR_inmaster_E3a	wave4c	stacked ensemble	0.6313823163138231	0.4143777932170026	106.0	33.0	0.8747572815533982	0.7660720025715204	supplement only	trained on in-master; not fair primary	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	local wave4c/wave7 ensemble artifacts	very high: stacking inflates in-master and is not fair as a primary external method	supplement only	local_verified	use to demonstrate why naive ensembling is unsafe	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv				
MHC-I	BigMHC_IM	wave3/9/10	public pretrained	0.6259858862598588	0.3803216095607181	106.0	33.0	0.8415710503089144	0.7476695596271296	caveated comparator	training corpus unresolved; in-master inflated	BigMHC public model; Mendeley release includes el_train/el_val/el_test for presentation and im_train/im_val/im_test for immunogenicity transfer learning, plus IEDB and MANAFEST files	BigMHC Mendeley dataset + paper	unresolved/high: explicit immunogenicity-transfer training and public neoepitope/IEDB resources; strong in-master inflation locally	caveated comparator only	official_dataset	good in-master, weaker no-overlap; not clean primary evidence	https://data.mendeley.com/datasets/dvmz6pkzvb/4; https://www.nature.com/articles/s42256-023-00694-6	0.59593837535014	0.2880952993188715	89.0	21.0
MHC-I	Wave8_SelfSim_full	wave8	candidate feature model	0.6249481112494811	0.4070063074580834	106.0	33.0	0.4637246248896734	0.5025514304082289	candidate only	self-similarity label-artifact risk	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on UniProt human SwissProt self-similarity features.	local wave8 scripts and WAVE8_REPORT	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	candidate retest only	local_verified	headline no-overlap gain collapses after exact-reference stress; use only with exact/near-match flags	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py				
MHC-I	Stack_mean_E1	wave4c	stacked ensemble	0.6234952262349522	0.4606848350084154	106.0	33.0	0.7386584289496911	0.6902523304403729	negative/supp	simple mean; no win over single tools	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	local wave4c/wave7 ensemble artifacts	high: stacking inflates in-master and is not fair as a primary external method	negative/supplement	local_verified	use to demonstrate why naive ensembling is unsafe	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv				
MHC-I	Stack_LR_OOF_E3b	wave4c	stacked ensemble	0.6210045662100456	0.4337030403745776	106.0	33.0		0.6210045662100456	negative/supp	OOF on n=106; no win	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	local wave4c/wave7 ensemble artifacts	high: stacking inflates in-master and is not fair as a primary external method	negative/supplement	local_verified	use to demonstrate why naive ensembling is unsafe	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv				
MHC-I	Stack_median_E2	wave4c	stacked ensemble	0.6110419261104193	0.4082463862827109	106.0	33.0	0.6963371579876436	0.659153005464481	negative/supp	median; no win	local stack/ensemble over existing model predictions; local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; some variants explicitly fit on ITSNdb in-master rows.	local wave4c/wave7 ensemble artifacts	high: stacking inflates in-master and is not fair as a primary external method	negative/supplement	local_verified	use to demonstrate why naive ensembling is unsafe	local: wave4c/ensemble_predictions.tsv; wave7/predictions_combined.tsv				
MHC-I	W7A_QK_only	wave7	synthesis/quantum kernel	0.6089663760896638	0.4385084580160546	106.0	33.0	0.8357016769638129	0.7673175827708132	negative/supp	below MHCflurry/Structure_LR	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; quantum/VQC or quantum-kernel models using PCA/structure-derived local features; some runs trained on capped train subsets for speed.	local wave2/wave7 scripts	low/medium: known local train pool; internal tuning/model-selection risk	quantum branch candidate / not primary claim yet	local_verified	keep as active branch; requires locked external validation before paper claim	local: wave2/train_vqc.py; wave2/train_quantum_kernel_svm.py; wave7/train_w7.py				
MHC-I	Wave8_SelfSim_no_exact	wave8	candidate feature model	0.6087588210875882	0.4787120147504048	106.0	33.0	0.4986760812003531	0.5102057216329154	candidate only	modest only after self_exact drop	local train pool n=2,396: CEDAR 909; TESLA_mmc4 605; NEPdb 572; TESLA_mmc7_validation 310; logistic regression on UniProt human SwissProt self-similarity features.	local wave8 scripts and WAVE8_REPORT	medium/high: no benchmark-label training leakage for no-overlap, but exact TCR/self reference hits create artifact risk	candidate retest only	local_verified	headline no-overlap gain collapses after exact-reference stress; use only with exact/near-match flags	local: wave8/track8a_tcr_features.py; wave8/track8c_self_similarity.py				
MHC-I	TSCAPE_TITANiAN	wave9	public pretrained 2025	0.605230386052304	0.4508144607245319	106.0	33.0	0.6398940864960283	0.6021375763420123	caveated comparator	training corpus unresolved	T-SCAPE/TITANiAN public multidomain immunogenicity model; reported pretraining on MHC presentation, pMHC binding, TCR-pMHC interaction, source organism, T-cell activation; sources include IEDB, VDJdb, McPAS-TCR, ImmuneCODE, TBAdb, 10x Genomics, OAS, UniProt, PRIME, MHCBN, BigMHC, BioPhi, PanPep	T-SCAPE Science Advances / PMC data availability	unresolved/high: many public immunogenicity/TCR/presentation sources; exact training overlap must be audited	caveated comparator / future benchmark target	paper_reported	modern but still not clean until row-level overlap audit	https://pmc.ncbi.nlm.nih.gov/articles/PMC12680054/; https://pubmed.ncbi.nlm.nih.gov/41348893/				
