algorithm	testset	in_master	n	n_pos	n_neg	AUROC	AUROC_lo95	AUROC_hi95	n_skipped_unsupported_hla	note
MHCflurry_presentation	ext_itsndb_main	True	103	102	1	0.22549019607843138	0.14724082702387886	0.2996287128712871	0	
MHCflurry_presentation	ext_itsndb_main	False	96	27	69	0.6586151368760065	0.5266142017704517	0.7922514985014985	0	
MHCflurry_presentation	ext_itsndb_main	all	199	129	70	0.5905869324473976	0.5141299354036196	0.6712554268610506	0	
MHCflurry_presentation	ext_itsndb_val	True	110	1	109	0.0	0.0	0.0	0	
MHCflurry_presentation	ext_itsndb_val	False	10	6	4	0.8333333333333334	0.5	1.0	0	
MHCflurry_presentation	ext_itsndb_val	all	120	7	113	0.5853350189633375	0.24648170146911375	0.9364753692139953	0	
MHCflurry_presentation	ext_itsndb_main+ext_itsndb_val	True	213	103	110	0.6415710503089145	0.5590885270529109	0.7113823226619669	0	
MHCflurry_presentation	ext_itsndb_main+ext_itsndb_val	False	106	33	73	0.668327106683271	0.5540691229239914	0.7943669729167802	0	
MHCflurry_presentation	ext_itsndb_main+ext_itsndb_val	all	319	136	183	0.63673256187721	0.5773922516123926	0.698180405740993	0	
MHCflurry_affinity_neg	ext_itsndb_main	True	103	102	1	0.38235294117647056	0.282264705882353	0.4728013977868376	0	
MHCflurry_affinity_neg	ext_itsndb_main	False	96	27	69	0.6484165324745035	0.5088523872885725	0.7703854291759593	0	
MHCflurry_affinity_neg	ext_itsndb_main	all	199	129	70	0.6018826135105205	0.5203180905618139	0.6766546308741853	0	
MHCflurry_affinity_neg	ext_itsndb_val	True	110	1	109	0.0	0.0	0.0	0	
MHCflurry_affinity_neg	ext_itsndb_val	False	10	6	4	0.6666666666666666	0.25	1.0	0	
MHCflurry_affinity_neg	ext_itsndb_val	all	120	7	113	0.4715549936788874	0.13119601902787745	0.7882134579168477	0	
MHCflurry_affinity_neg	ext_itsndb_main+ext_itsndb_val	True	213	103	110	0.63477493380406	0.5549446431720282	0.7049604458827761	0	
MHCflurry_affinity_neg	ext_itsndb_main+ext_itsndb_val	False	106	33	73	0.6475716064757161	0.5007726648351648	0.7700539350355526	0	
MHCflurry_affinity_neg	ext_itsndb_main+ext_itsndb_val	all	319	136	183	0.6289376406300224	0.5685505971858639	0.6923960880982417	0	
BigMHC_IM	ext_itsndb_main	True	103	102	1	0.45098039215686275	0.36130392156862745	0.5490196078431373	0	
