item	file	role
S1	neoici_algorithm_gauntlet_metrics.tsv	full algorithm benchmark table
S2	neoici_algorithm_winloss.tsv	pairwise algorithm win/loss matrix
S3	combo_geo_reanalysis.tsv	open combo GEO sample table
S4	proxy_compare_metrics.tsv	proxy comparison metrics
S5	proxy_compare_samples.tsv	proxy comparison sample-level table
S6	NEOICI_NATURE_CANCER_SAMPLE_TABLE.tsv	sample ranking and proxy ranks
S7	NEOICI_NATURE_CANCER_LOO_TABLE.tsv	leave-one-out robustness
S8	NEOICI_NATURE_CANCER_CLAIM_TABLE.tsv	claim ladder
S9	NEOICI_NATURE_CANCER_SYNTHESIS_TABLE.tsv	top-level synthesis contract
S10	CTMS1_FOLLOWUP4_CASE_STUDY_SUMMARY.md	case-study summary
