cluster_1,,B cell,B cell,B cell,B cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell,B cell,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,
CCL2,MMP14,,,,,,0.298,0.032,,,0.068,0.01,,,0.964,0.472,
TNFSF9,TNFRSF9,,,,,,0.68,0.034,,,,,,,,,
SHH,PTCH1,,,,,,,,,,,,,,,,
IHH,PTCH1,,,,,,,,,,,,,,,,
JAG1,NOTCH3,,,,,,0.0,0.202,0.89,,1.0,0.984,1.0,,0.998,0.914,0.998
HLA-DRB5,CTSL,,,,,,0.322,0.018,1.0,,0.0,0.0,0.384,,1.0,0.998,1.0
HLA-DQA2,CTSL,,,,,,0.552,0.02,1.0,,0.002,0.0,0.88,,0.996,0.38,1.0
HLA-DRB1,CTSL,,,,,,0.662,0.02,1.0,,0.0,0.0,0.302,,0.996,0.766,1.0
IL2,IL2RA,,,,,,,,,,,,,,,,
HLA-DQB2,CTSL,,,,,,,,,,,,,,,,
HLA-DRA,CTSL,,0.116,0.072,0.294,,0.724,0.024,1.0,,0.0,0.0,0.006,,1.0,1.0,1.0
IL1RN,IL1R2,,,,,,0.43,,,,0.142,,,,0.678,,
IL1B,IL1R2,,,,,,0.0,,,,1.0,,,,0.984,,
GAS1,SHH,,,,,,,,,,,,,,,,
SHH,GAS1,,,,,,,,,,,,,,,,
IL1A,IL1R2,,,,,,0.004,,,,0.748,,,,,,
DLL1,NOTCH3,,,,,,0.014,0.236,0.9,,0.998,0.66,0.99,,,,
DLL4,NOTCH4,,,,,,0.644,0.362,,,0.4,0.426,,,0.056,0.088,
IL13,IL13RA2,,,,,,,,,,,,,,,,
IL22,IL20RA,,,,,,,,,,,,,,,,
IL20,IL20RA,,,,,,,,,,,,,,,,
IL24,IL20RA,,,,,,,,,,,,,,,,
FGF7,FGFR2,,,,,,,,,,,,,,,,
IL22,IL22RA2,,,,,,,,,,,,,,,,
CCL19,ACKR4,,,,,,,,,,,,,,,,
CCL21,ACKR4,,,,,,,,,,,,,,,,
ADM,CALCRL,,,,,,0.0,0.134,,,0.984,0.89,,,,,
ADM,RAMP2,,,,,,0.0,0.642,,,0.984,0.978,,,,,
