ligand_receptor,cluster_pair,mean,pval
"('TNFSF14', 'TNFRSF6B')","('B cell', 'Malignant cell')",2.5987859240146514,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.293653425985369,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.175274560677594,0.0
"('CCL21', 'CXCL10')","('Myeloid cell', 'B cell')",2.0615853585045913,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Malignant cell')",2.0604763491423617,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Malignant cell')",2.0412765927420633,0.0
"('CCL2', 'F3')","('Myeloid cell', 'B cell')",2.014748369311464,0.0
"('CXCL10', 'CXCR6')","('B cell', 'Myeloid cell')",1.9969124043809956,0.0
"('CXCL10', 'CCR7')","('B cell', 'Myeloid cell')",1.9916453140562977,0.0
"('CXCL10', 'ACKR1')","('B cell', 'Myeloid cell')",1.9515227233541423,0.0
"('IFNG', 'CD74')","('Myeloid cell', 'Myeloid cell')",1.940931630545649,0.0
"('CXCL10', 'CCR4')","('B cell', 'T cell')",1.9380125857534862,0.0
"('IFNG', 'CXCL10')","('Myeloid cell', 'B cell')",1.917550109583756,0.0
"('IFNG', 'CD74')","('T cell', 'Myeloid cell')",1.9172859117511067,0.0
"('IFNG', 'CD74')","('Malignant cell', 'Myeloid cell')",1.9118876795067061,0.0
"('HLA-DRA', 'LGMN')","('Malignant cell', 'Myeloid cell')",1.8117745472202216,0.0
"('SAA1', 'MMP9')","('Malignant cell', 'Myeloid cell')",1.7201528704949867,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",1.6164789477299,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.5601490145099575,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Myeloid cell')",1.4417701492021824,0.0
"('CCL5', 'MMP9')","('Myeloid cell', 'Myeloid cell')",1.4053286899780404,0.0
"('SAA1', 'F3')","('Malignant cell', 'Malignant cell')",1.4004800892833917,0.0
"('SAA1', 'HMOX1')","('Malignant cell', 'Myeloid cell')",1.3544468244152195,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Malignant cell')",1.3323386719847106,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Malignant cell')",1.3269719376669502,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Malignant cell')",1.3077721812666518,0.0
"('HLA-DRB1', 'LGMN')","('Malignant cell', 'Myeloid cell')",1.293123357525142,0.0
"('SAA1', 'MMP9')","('Malignant cell', 'Malignant cell')",1.2873468205921397,0.0
"('SAA1', 'HMOX1')","('Malignant cell', 'Malignant cell')",1.2833871954197997,0.0
"('SAA1', 'CD36')","('Malignant cell', 'Malignant cell')",1.270917458926843,0.0
