cluster_1,,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell
cluster_2,,Fibroblast,Malignant cell,Myeloid cell,Fibroblast,Malignant cell,Myeloid cell,Fibroblast,Malignant cell,Myeloid cell
source,target,,,,,,,,,
CCL2,MMP14,0.0,0.0,0.0,0.926,1.0,0.006,0.0,0.0,0.0
TNFSF9,TNFRSF9,,0.686,0.512,,0.178,0.08,,0.93,0.67
SHH,PTCH1,,,,,,,,,
IHH,PTCH1,,,,,,,,,
JAG1,NOTCH3,0.014,0.27,0.022,0.016,0.998,0.018,0.01,0.426,0.02
HLA-DRB5,CTSL,,,,,,,,,
HLA-DQA2,CTSL,,,,0.024,1.0,0.0,0.022,0.906,0.0
HLA-DRB1,CTSL,0.076,0.374,0.002,0.062,1.0,0.0,0.0,0.0,0.0
IL2,IL2RA,,,,,,,,,
HLA-DQB2,CTSL,0.05,0.966,0.0,0.024,1.0,0.0,0.042,0.996,0.0
HLA-DRA,CTSL,0.126,0.578,0.004,0.06,1.0,0.0,0.0,0.0,0.0
IL1RN,IL1R2,0.69,0.886,0.592,0.198,0.72,0.014,0.288,0.566,0.158
IL1B,IL1R2,,,,,,,,,
GAS1,SHH,,,,,,,,,
SHH,GAS1,,,,,,,,,
IL1A,IL1R2,,,,,,,,,
DLL1,NOTCH3,,,,0.014,0.998,0.018,0.016,0.698,0.018
DLL4,NOTCH4,0.594,0.598,0.872,0.446,0.016,0.876,,,
IL13,IL13RA2,,,,,,,,,
IL22,IL20RA,,,,,,,,,
IL20,IL20RA,,,,,,,,,
IL24,IL20RA,,,,,,,,,
FGF7,FGFR2,0.002,0.0,,0.998,1.0,,0.0,0.0,
IL22,IL22RA2,,,,,,,,,
CCL19,ACKR4,,0.0,0.0,,1.0,1.0,,0.0,0.0
CCL21,ACKR4,,0.0,0.0,,1.0,1.0,,0.0,0.0
ADM,CALCRL,0.98,1.0,0.996,0.258,0.0,0.494,0.998,1.0,1.0
ADM,RAMP2,0.894,1.0,0.796,0.178,0.022,0.0,0.94,1.0,0.914
CALCA,CALCRL,,,,,,,,,
CALCA,RAMP2,,,,,,,,,
CALCB,CALCRL,,,,,,,,,
CALCB,RAMP2,,,,,,,,,
ADM,RAMP3,0.27,1.0,0.502,0.002,0.534,0.0,0.268,1.0,0.626
CALCA,RAMP3,,,,,,,,,
CALCB,RAMP3,,,,,,,,,
APELA,APLNR,,,,,,,,,
CCL17,CCR4,,,,,,,,,
CCL22,CCR4,,,,,,,,,
CCL20,CCR6,,,,0.032,0.9,0.0,0.29,0.992,0.066
CCL19,CCR7,,0.0,0.0,,1.0,1.0,,0.0,0.0
CCL21,CCR7,,0.0,0.0,,1.0,1.0,,0.0,0.0
SAA1,FPR2,0.01,,,0.306,,,0.0,,
RSPO3,LGR5,,,,,,,,,
NMU,NMUR2,,,,,,,,,
SST,SSTR1,,,,,,,,,
SST,SSTR2,,,,,,,,,
TNF,HMOX1,,,,,,,,,
HLA-DRA,LGMN,0.5,0.604,0.002,0.702,1.0,0.0,0.0,0.0,0.0
HLA-DRB5,LGMN,,,,,,,,,
HLA-DQA2,LGMN,,,,0.522,1.0,0.0,0.492,0.972,0.0
HLA-DRB1,LGMN,0.358,0.402,0.0,0.702,1.0,0.0,0.0,0.0,0.0
HLA-DQB2,LGMN,0.604,0.994,0.0,0.52,1.0,0.0,0.57,1.0,0.0
LAMA3,ITGA6,,,,0.93,0.002,0.996,0.876,0.074,0.976
VEGFD,KDR,,0.0,0.026,,,,,0.026,0.936
CTSG,C3,0.0,1.0,0.0,,,,0.0,1.0,0.0
