cluster_1,,B cell,B cell,B cell,B cell,B cell,B cell,B cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,NK cell,NK cell,NK cell,NK cell,NK cell,NK cell,NK cell,T cell,T cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,NK cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,0.2443097055393414,0.29369385660129743,0.41070345162276756,0.3352540531393977,0.2601952713771458,0.0,0.29536976480002086,0.5669000856839709,0.6162842367459269,0.733293831767397,0.6578444332840272,0.5827856515217753,0.0,0.6179601449446503,0.3670116761637156,0.41639582722567164,0.5334054222471418,0.457956023763772,0.38289724200152003,0.0,0.4180717354243951,0.18441592310842997,0.23380007417038598,0.35080966919185613,0.2753602707084863,0.20030148894623437,0.0,0.2354759823691094,0.3797031114656594,0.4290872625276154,0.5460968575490855,0.4706474590657157,0.3955886773034638,0.0,0.43076317072633885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4549251215207583,0.5043092725827143,0.6213188676041845,0.5458694691208147,0.47081068735856274,0.0,0.5059851807814377
TNFSF9,TNFRSF9,0.015422903599530241,0.0,0.01818730313219295,0.014005457094290484,0.03087837279005011,0.0,0.0167582878023637,0.060557204106681764,0.0,0.06332160363934447,0.05913975760144201,0.07601267329720163,0.0,0.061892588309515224,0.022587230196083753,0.0,0.025351629728746463,0.021169783690843994,0.03804269938660362,0.0,0.023922614398917214,0.010703264953361333,0.0,0.013467664486024041,0.009285818448121576,0.0261587341438812,0.0,0.012038649156194792,0.01976189543858983,0.0,0.02252629497125254,0.01834444893335007,0.035217364629109696,0.0,0.02109727964142329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02302770972352293,0.0,0.02579210925618564,0.02161026321828317,0.0384831789140428,0.0,0.02436309392635639
SHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018633336482923306,0.02868442978734498,0.045590080839594004,0.04278220865359245,0.06455573371078864,0.0,0.048523059014318005,0.018340030241488257,0.028391123545909933,0.04529677459815896,0.04248890241215741,0.0642624274693536,0.0,0.04822975277288296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024808871222640076,0.03485996452706175,0.051765615579310774,0.048957743393309223,0.07073126845050541,0.0,0.054698593754034776
IHH,PTCH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAG1,NOTCH3,0.3147909433519753,0.651297460082792,0.5608419108768542,0.4442129435245531,0.33552623529606185,0.0,0.49821740921362945,0.4886847009879559,0.8251912177187726,0.7347356685128348,0.6181067011605337,0.5094199929320424,0.0,0.67211116684961,0.42440030615629787,0.7609068228871145,0.6704512736811767,0.5538223063288756,0.4451355981003844,0.0,0.607826772017952,0.3931922747188744,0.7296987914496911,0.6392432422437533,0.5226142748914522,0.41392756666296093,0.0,0.5766187405805285,0.31121246129833136,0.647718978029148,0.5572634288232102,0.4406344614709091,0.3319477532424179,0.0,0.4946389271599855,0.7568060007046029,1.0933125174354195,1.002856968229482,0.8862280008771807,0.7775412926486894,0.0,0.940232466566257,0.4396083864229975,0.7761149031538142,0.6856593539478764,0.5690303865955753,0.460343678367084,0.0,0.6230348522846516
HLA-DRB5,CTSL,0.15815689702973748,0.32594600393887696,0.25833836666914733,0.26073360194021655,0.2950184394404051,0.0,0.23945991996732205,0.24821231395679905,0.4160014208659385,0.34839378359620893,0.3507890188672781,0.3850738563674667,0.0,0.3295153368943836,0.1925138556458165,0.360302962554956,0.29269532528522635,0.29509056055629557,0.32937539805648414,0.0,0.2738168785834011,0.13402794714723354,0.301817054056373,0.23420941678664342,0.23660465205771258,0.2708894895579012,0.0,0.2153309700848181,0.24221367623880388,0.41000278314794336,0.34239514587821374,0.34479038114928295,0.3790752186494715,0.0,0.3235166991763885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17843267406592672,0.3462217809750662,0.2786141437053366,0.28100937897640577,0.31529421647659434,0.0,0.2597356970035113
HLA-DQA2,CTSL,0.11434224900538034,0.28213135591451977,0.21452371864479022,0.21691895391585939,0.251203791416048,0.0,0.1956452719429649,0.12041849987405152,0.28820760678319096,0.2205999695134614,0.22299520478453055,0.2572800422847192,0.0,0.20172152281163608,0.14128858559609295,0.3090776925052324,0.24147005523550283,0.243865290506572,0.2781501280067606,0.0,0.22259160853367752,0.09609384439187496,0.2638829513010144,0.19627531403128484,0.198670549302354,0.2329553868025426,0.0,0.17739686732945953,0.15190556164469965,0.3196946685538391,0.25208703128410953,0.2544822665551787,0.28876710405536726,0.0,0.23320858458228422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12137780554203556,0.289166912451175,0.22155927518144544,0.2239545104525146,0.2582393479527032,0.0,0.20268082847962013
HLA-DRB1,CTSL,1.017114396621711,1.1849035035308506,1.117295866261121,1.1196911015321902,1.1539759390323787,0.0,1.0984174195592957,1.4548066080928093,1.6225957150019488,1.5549880777322191,1.5573833130032884,1.591668150503477,0.0,1.5361096310303939,1.0799377719737817,1.2477268788829212,1.1801192416131916,1.1825144768842608,1.2167993143844495,0.0,1.1612407949113663,0.6742574043108177,0.8420465112199571,0.7744388739502276,0.7768341092212967,0.8111189467214853,0.0,0.7555604272484022,1.2409451386332937,1.4087342455424332,1.3411266082727036,1.3435218435437728,1.3778066810439613,0.0,1.3222481615708783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9807154988114718,1.1485046057206112,1.0808969684508816,1.0832922037219508,1.1175770412221393,0.0,1.0620185217490563
IL2,IL2RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DQB2,CTSL,0.08933975803155968,0.25712886494069914,0.18952122767096957,0.19191646294203873,0.22620130044222733,0.0,0.17064278096914426,0.08543902625542377,0.2532281331645632,0.18562049589483365,0.1880157311659028,0.2223005686660914,0.0,0.16674204919300833,0.1034670357603249,0.27125614266946435,0.20364850539973478,0.20604374067080394,0.24032857817099254,0.0,0.18477005869790947,0.09449870553692072,0.2622878124460602,0.1946801751763306,0.19707541044739976,0.23136024794758836,0.0,0.1758017284745053,0.11580381134565729,0.2835929182547967,0.21598528098506717,0.21838051625613633,0.25266535375632493,0.0,0.19710683428324186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08967936105637118,0.25746846796551065,0.18986083069578108,0.19225606596685024,0.22654090346703884,0.0,0.17098238399395577
HLA-DRA,CTSL,1.3526783791119164,1.5204674860210559,1.4528598487513262,1.4552550840223955,1.4895399215225842,0.0,1.433981402049501,1.4092061752987384,1.5769952822078779,1.5093876449381483,1.5117828802092175,1.546067717709406,0.0,1.490509198236323,1.321821241040777,1.4896103479499165,1.422002710680187,1.4243979459512561,1.4586827834514446,0.0,1.4031242639783617,0.9391911532409588,1.1069802601500982,1.0393726228803686,1.0417678581514378,1.0760526956516263,0.0,1.0204941761785433,1.4476395475923272,1.6154286545014667,1.547821017231737,1.5502162525028063,1.5845010900029948,0.0,1.5289425705299118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.254456008468231,1.4222451153773705,1.354637478107641,1.3570327133787101,1.3913175508788989,0.0,1.3357590314058156
IL1RN,IL1R2,0.020186342027065526,0.015200804619893541,0.033402389001618724,0.021414301116357448,0.0,0.0,0.028913071395171484,0.01977397724811837,0.014788439840946382,0.03299002422267157,0.02100193633741029,0.0,0.0,0.028500706616224326,0.03199853568484868,0.027012998277676694,0.04521458265940188,0.0332264947741406,0.0,0.0,0.04072526505295464,0.024237210054182078,0.019251672647010092,0.037453257028735275,0.025465169143474,0.0,0.0,0.032963939422288036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02784816051185432,0.022862623104682334,0.04106420748640752,0.02907611960114624,0.0,0.0,0.03657488987996028
IL1B,IL1R2,0.026903433303763394,0.02191789589659141,0.04011948027831659,0.028131392393055316,0.0,0.0,0.03563016267186935,0.03605417175749497,0.031068634350322984,0.04927021873204816,0.03728213084678689,0.0,0.0,0.04478090112560093,0.021073688532978842,0.016088151125806853,0.03428973550753203,0.02230164762227076,0.0,0.0,0.029800417901084796,0.018065259433808017,0.013079722026636029,0.031281306408361215,0.019293218523099936,0.0,0.0,0.026791988801913972,0.029699074095097734,0.02471353668792575,0.04291512106965093,0.030927033184389656,0.0,0.0,0.03842580346320369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01868009426699536,0.013694556859823374,0.031896141241548555,0.01990805335628728,0.0,0.0,0.027406823635101316
GAS1,SHH,0.0,0.0,0.042596302873693155,0.04230299663225811,0.0,0.0,0.048771837613409925,0.0,0.0,0.0698986236106131,0.06960531736917805,0.0,0.0,0.07607415835032987,0.0,0.0,0.16881637703758917,0.1685230707961541,0.0,0.0,0.17499191177730594,0.0,0.0,0.03625693788974631,0.03596363164831126,0.0,0.0,0.04243247262946308,0.0,0.0,0.0833094048894194,0.08301609864798436,0.0,0.0,0.08948493962913617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11098892916547098,0.11069562292403594,0.0,0.0,0.11716446390518775
SHH,GAS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042596302873693155,0.0698986236106131,0.16881637703758917,0.03625693788974631,0.0833094048894194,0.0,0.11098892916547098,0.04230299663225811,0.06960531736917805,0.1685230707961541,0.03596363164831126,0.08301609864798436,0.0,0.11069562292403594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048771837613409925,0.07607415835032987,0.17499191177730594,0.04243247262946308,0.08948493962913617,0.0,0.11716446390518775
IL1A,IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLL1,NOTCH3,0.24143485115827434,0.577941367889091,0.48748581868315327,0.3708568513308521,0.26217014310236086,0.0,0.42486131701992846,0.30580343713467906,0.6423099538654957,0.5518544046595579,0.4352254373072568,0.3265387290787656,0.0,0.4892299029963332,0.24880475941921015,0.5853112761500268,0.4948557269440891,0.3782267595917879,0.2695400513632967,0.0,0.4322312252808643,0.2511538453271861,0.5876603620580028,0.497204812852065,0.38057584549976387,0.2718891372712726,0.0,0.4345803111888402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23781984644482337,0.57432636317564,0.4838708139697023,0.3672418466174011,0.2585551383889099,0.0,0.42124631230647747
DLL4,NOTCH4,0.04025386197723611,0.06455503111523948,0.0628161166473982,0.08044687654214518,0.03912608759058926,0.0,0.07200031935432398,0.06183070855283963,0.08613187769084302,0.08439296322300172,0.10202372311774871,0.06070293416619278,0.0,0.0935771659299275,0.042421609935084266,0.06672277907308764,0.06498386460524636,0.08261462449999334,0.04129383554843741,0.0,0.07416806731217213,0.048321271157187054,0.07262244029519042,0.07088352582734914,0.08851428572209612,0.0471934967705402,0.0,0.08006772853427492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04875969045688301,0.0730608595948864,0.0713219451270451,0.08895270502179209,0.04763191607023616,0.0,0.08050614783397088
IL13,IL13RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005079736833495401,0.0015779583234494928,0.0,0.0,0.0044704296011866635,0.0,0.0,0.004757411783189685,0.001255633273143778,0.0,0.0,0.004148104550880948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL22,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL20,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL24,IL20RA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGF7,FGFR2,0.08481335542062773,0.0,0.09493416330251045,0.13818767578790586,0.0,0.0,0.08624593261217281,0.12316800042195929,0.0,0.133288808303842,0.17654232078923743,0.0,0.0,0.12460057761350438,0.14244751684182774,0.0,0.15256832472371046,0.1958218372091059,0.0,0.0,0.14388009403337282,0.04173142814265322,0.0,0.051852236024535925,0.09510574850993135,0.0,0.0,0.04316400533419829,0.1076826476370024,0.0,0.11780345551888512,0.16105696800428054,0.0,0.0,0.10911522482854749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14053748038764216,0.0,0.15065828826952488,0.19391180075492032,0.0,0.0,0.14197005757918724
IL22,IL22RA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL19,ACKR4,0.5045754290627738,0.5128584982567663,0.5032389870930714,0.5001253191040768,0.0,0.0,0.5091711084401588,0.7826622885847048,0.7909453577786973,0.7813258466150024,0.7782121786260078,0.0,0.0,0.7872579679620898,0.3380842796408197,0.3463673488348123,0.3367478376711173,0.3336341696821227,0.0,0.0,0.34267995901820475,0.12625415610651725,0.1345372253005098,0.12491771413681482,0.12180404614782024,0.0,0.0,0.13084983548390228,0.4379600019853856,0.44624307117937817,0.4366235600156832,0.4335098920266886,0.0,0.0,0.4425556813627706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4135304272516198,0.4218134964456124,0.4121939852819174,0.4090803172929228,0.0,0.0,0.41812610662900485
CCL21,ACKR4,0.4999184372433781,0.5082015064373706,0.4985819952736757,0.4954683272846811,0.0,0.0,0.5045141166207631,0.6230443773199704,0.631327446513963,0.621707935350268,0.6185942673612734,0.0,0.0,0.6276400566973555,0.3322537375156134,0.34053680670960595,0.330917295545911,0.3278036275569164,0.0,0.0,0.3368494168929984,0.12857581240602528,0.13685888160001786,0.12723937043632289,0.12412570244732829,0.0,0.0,0.1331714917834103,0.3232142950812174,0.33149736427521,0.321877853111515,0.3187641851225204,0.0,0.0,0.32780997445860244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4068302252542297,0.41511329444822226,0.4054937832845273,0.4023801152955327,0.0,0.0,0.4114259046316147
ADM,CALCRL,0.11460380354066835,0.33366232643043975,0.169202355286535,0.1644366276260578,0.09647635778371436,0.0,0.11730858222612298,0.13386657111751696,0.3529250940072884,0.1884651228633836,0.1836993952029064,0.11573912536056297,0.0,0.1365713498029716,0.12820982786202684,0.3472683507517983,0.18280837960789348,0.1780426519474163,0.11008238210507286,0.0,0.1309146065474815,0.14948782718117232,0.3685463500709437,0.20408637892703896,0.19932065126656173,0.1313603814242183,0.0,0.15219260586662695,0.11299996366994958,0.332058486559721,0.16759851541581622,0.16283278775533902,0.09487251791299559,0.0,0.11570474235540422,0.616641128440263,0.8356996513300343,0.6712396801861296,0.6664739525256524,0.598513682683309,0.0,0.6193459071257176,0.12327028361148609,0.3423288065012575,0.17786883535735273,0.17310310769687554,0.1051428378545321,0.0,0.12597506229694072
ADM,RAMP2,0.2893458680949942,0.9706033097443983,0.443135543541385,0.3461276485023015,0.2987200364937542,0.0,0.39031587501947024,0.3086086356718428,0.989866077321247,0.46239831111823365,0.3653904160791501,0.31798280407060286,0.0,0.4095786425963189,0.30295189241635273,0.9842093340657568,0.45674156786274356,0.35973367282366003,0.31232606081511277,0.0,0.4039218993408288,0.32422989173549815,1.0054873333849024,0.478019567181889,0.38101167214280546,0.3336040601342582,0.0,0.4251998986599742,0.2877420282242754,0.9689994698736796,0.44153170367066624,0.3445238086315827,0.29711619662303546,0.0,0.38871203514875147,0.7913831929945888,1.472640634643993,0.9451728684409797,0.8481649734018961,0.8007573613933489,0.0,0.8923531999190648,0.29801234816581196,0.9792697898152161,0.4518020236122028,0.35479412857311926,0.307386516564572,0.0,0.398982355090288
CALCA,CALCRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08685396952031035,0.3059124924100818,0.141452521266177,0.1366867936056998,0.06872652376335636,0.0,0.089558748205765,0.08799466175912583,0.30705318464889725,0.1425932135049925,0.1378274858445153,0.06986721600217184,0.0,0.09069944044458048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08771445315115776,0.3067729760409292,0.14231300489702442,0.1375472772365472,0.06958700739420377,0.0,0.09041923183661241
CALCA,RAMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2615960340746362,0.9428534757240404,0.41538570952102705,0.3183778144819435,0.27097020247339626,0.0,0.36256604099911227,0.2627367263134517,0.9439941679628558,0.4165264017598425,0.319518506720759,0.2721108947122117,0.0,0.36370673323792774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624565177054836,0.9437139593548878,0.41624619315187444,0.3192382981127909,0.27183068610424366,0.0,0.36342652462995967
CALCB,CALCRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08664760334699283,0.30570612623676424,0.14124615509285948,0.13648042743238228,0.06852015759003884,0.0,0.08935238203244747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCB,RAMP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2613896679013187,0.9426471095507228,0.4151793433477095,0.318171448308626,0.2707638363000787,0.0,0.36235967482579473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADM,RAMP3,0.2789979667341622,0.8907744586024224,0.30525653926983254,0.26763904294972074,0.18508827144604514,0.6394801950512721,0.27235216257479805,0.29826073431101086,0.9100372261792711,0.3245193068466812,0.2869018105265694,0.20435103902289375,0.6587429626281207,0.29161493015164663,0.2926039910555207,0.9043804829237809,0.3188625635911911,0.28124506727107923,0.19869429576740366,0.6530862193726306,0.28595818689615654,0.3138819903746662,0.9256584822429265,0.3401405629103365,0.3025230665902247,0.21997229508654909,0.6743642186917761,0.307236186215302,0.27739412686344345,0.8891706187317037,0.30365269939911377,0.26603520307900197,0.18348443157532637,0.6378763551805533,0.2707483227040793,0.7810352916337568,1.392811783502017,0.8072938641694272,0.7696763678493154,0.6871255963456397,1.1415175199508667,0.7743894874743926,0.28766444680497993,0.8994409386732402,0.3139230193406503,0.27630552302053846,0.1937547515168629,0.6481466751220898,0.28101864264561577
