ligand_receptor,cluster_pair,mean,pval
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",3.373802068284907,0.0
"('CLU', 'TYROBP')","('Fibroblast', 'Myeloid cell')",3.050631958122759,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",3.014051173093184,0.0
"('CLU', 'TYROBP')","('Endothelial cell', 'Myeloid cell')",2.9766807533660025,0.0
"('CLU', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.9401523189724617,0.0
"('CLU', 'TYROBP')","('B cell', 'Myeloid cell')",2.7386060792882487,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.730194742337633,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'T cell')",2.6630318271834352,0.0
"('APOE', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.6476752045703824,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Fibroblast')",2.6318840763117146,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'T cell')",2.6045645431925855,0.0
"('CLU', 'TYROBP')","('T cell', 'Myeloid cell')",2.580124310931865,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.453993724960407,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'B cell')",2.4247144625153183,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Malignant cell')",2.384055576643511,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Fibroblast')",2.3704438471459106,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.3602521666940657,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Myeloid cell')",2.3141611420883326,0.0
"('APOE', 'LRP1')","('Fibroblast', 'T cell')",2.2966558586606336,0.0
"('APOE', 'TYROBP')","('Endothelial cell', 'Myeloid cell')",2.280185673371801,0.0
"('APOE', 'LRP1')","('Fibroblast', 'Fibroblast')",2.265508107788913,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'T cell')",2.2448136480008625,0.0
"('MDK', 'TSPAN1')","('Fibroblast', 'Malignant cell')",2.2174248060790633,0.0
"('APOE', 'TYROBP')","('T cell', 'Myeloid cell')",2.2100450644975664,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'Endothelial cell')",2.1509829940660947,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.133126029990754,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'B cell')",2.118185023794759,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Malignant cell')",2.108404656884001,0.0
"('APOE', 'LRP1')","('Malignant cell', 'T cell')",2.102974379050658,0.0
"('MDK', 'LRP1')","('Fibroblast', 'T cell')",2.1007918939862775,0.0
