cluster_1,,Epithelial cell,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell
cluster_2,,Epithelial cell,Myeloid cell,T cell,Epithelial cell,Myeloid cell,T cell,Epithelial cell,Myeloid cell,T cell
source,target,,,,,,,,,
CCL2,MMP14,0.804,,,0.018,,,0.112,,
TNFSF9,TNFRSF9,,,,,,,,,
SHH,PTCH1,,,,,,,,,
IHH,PTCH1,,,,,,,,,
JAG1,NOTCH3,0.118,0.552,0.638,,,,,,
HLA-DRB5,CTSL,,,,,,,,,
HLA-DQA2,CTSL,,,,,,,,,
HLA-DRB1,CTSL,0.398,0.23,0.88,0.638,0.438,0.774,0.358,0.202,0.632
IL2,IL2RA,,,,,,,,,
HLA-DQB2,CTSL,,,,,,,,,
HLA-DRA,CTSL,0.022,0.224,0.88,0.226,0.142,0.368,1.0,0.716,0.998
IL1RN,IL1R2,,,,,,,,,
IL1B,IL1R2,,,,,,,,,
GAS1,SHH,,,,,,,,,
SHH,GAS1,,,,,,,,,
IL1A,IL1R2,,,,,,,,,
DLL1,NOTCH3,0.264,0.552,0.64,,,,,,
DLL4,NOTCH4,0.46,0.05,,,,,,,
IL13,IL13RA2,,,,,,,,,
IL22,IL20RA,,,,,,,,,
IL20,IL20RA,,,,,,,,,
IL24,IL20RA,,,,,,,,,
FGF7,FGFR2,0.0,,,,,,,,
IL22,IL22RA2,,,,,,,,,
CCL19,ACKR4,,,,,,,,,
CCL21,ACKR4,,,,,,,,,
ADM,CALCRL,0.496,,,,,,0.034,,
ADM,RAMP2,0.182,0.4,,,,,0.034,0.262,
CALCA,CALCRL,,,,,,,,,
CALCA,RAMP2,,,,,,,,,
CALCB,CALCRL,,,,,,,,,
CALCB,RAMP2,,,,,,,,,
ADM,RAMP3,0.124,0.35,,,,,0.036,0.228,
CALCA,RAMP3,,,,,,,,,
CALCB,RAMP3,,,,,,,,,
APELA,APLNR,,,,,,,,,
CCL17,CCR4,,,,,,,,,
CCL22,CCR4,,,,,,,,,
CCL20,CCR6,,,,,,,,,
CCL19,CCR7,,,,,,,,,
CCL21,CCR7,,,,,,,,,
SAA1,FPR2,,,,,,,,,
RSPO3,LGR5,,,,,,,,,
NMU,NMUR2,,,,,,,,,
SST,SSTR1,,,,,,,,,
SST,SSTR2,,,,,,,,,
TNF,HMOX1,,,,,,,,,
HLA-DRA,LGMN,0.0,0.54,,0.222,0.324,,1.0,0.964,
HLA-DRB5,LGMN,,,,,,,,,
HLA-DQA2,LGMN,,,,,,,,,
HLA-DRB1,LGMN,0.138,0.542,,0.638,0.666,,0.356,0.46,
HLA-DQB2,LGMN,,,,,,,,,
LAMA3,ITGA6,,,,,,,0.012,,0.04
VEGFD,KDR,,,,,,,,,
CTSG,C3,,,,,,,,,
CGA,TSHR,,,,,,,,,
VEGFA,FLT1,0.0,0.108,,0.48,0.294,,0.998,0.81,
PLAUR,PLAU,,,,,,,,0.006,
OSM,LIFR,,,,,,,,,
VEGFA,KDR,0.0,,,0.48,,,0.998,,
KDR,VEGFA,0.0,0.48,0.998,,,,,,
HLA-G,CD160,,,,,,,,,
EDN1,EDNRB,,,,,,,,,
LAMA4,ITGA6,0.436,,0.166,,,,,,
VWF,GP9,,,,,,,,,
VEGFD,FLT4,,,,,,,,,
CCL2,CCR4,,,,,,,,,
TG,TPO,0.0,0.998,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HLA-G,KLRC1,,,,,,,,,
MMP9,LRP1,,,,,,,,,
MMRN2,CD93,0.13,,0.508,,,,,,
TSPAN1,ITGA6,0.0,,0.154,,,,,,
MMRN2,CLEC14A,0.0,,,,,,,,
SAA1,CD36,,,,,,,,,
LY6H,CD36,,,,,,,,,
CCL11,ACKR1,,,,,,,,,
CCL13,ACKR1,,,,0.008,,,,,
CCL14,ACKR1,0.026,,,0.134,,,,,
CCL17,ACKR1,,,,,,,,,
CCL2,ACKR1,0.594,,,0.018,,,0.11,,
CCL5,ACKR1,0.0,,,,,,,,
CXCL8,ACKR1,,,,,,,,,
PPBP,ACKR1,,,,,,,,,
CXCL1,ACKR1,,,,,,,,,
CXCL2,ACKR1,,,,,,,,,
CXCL13,ACKR4,,,,,,,,,
CCL5,CCR4,,,,,,,,,
DEFB1,CCR6,,,,,,,,,
CCL23,FPR2,,,,,,,,,
DCN,KDR,0.442,,,0.016,,,0.674,,
GREM1,KDR,,,,,,,,,
APOE,LDLR,,,,,,,,,
MDK,LRP1,0.006,0.116,,0.452,0.18,,,,
DLK1,NOTCH3,,,,,,,,,
DLL4,NOTCH3,0.28,0.552,0.64,,,,,,
DLL1,NOTCH4,0.34,0.05,,,,,,,
JAG1,NOTCH4,0.118,0.05,,,,,,,
DLK1,NOTCH4,,,,,,,,,
TNFSF14,TNFRSF6B,,,,,,,,,
SCT,RAMP2,,,,,,,,,
SCT,RAMP3,,,,,,,,,
SCT,TSHR,,,,,,,,,
COMP,CD36,0.61,0.032,,0.006,0.004,,,,
CCL2,ACKR4,,,,,,,,,
CCL13,ACKR4,,,,,,,,,
CXCL6,ACKR1,,,,,,,,,
CEACAM6,STAB1,,,,,,,,,
THBS1,ITGA6,0.624,,0.166,,,,,,
THBS1,CD36,0.284,0.03,,,,,,,
VWF,SCARA5,0.474,0.042,0.112,0.838,0.404,0.716,0.808,0.166,0.608
FGF7,FGFR4,,,,,,,,,
PTH2,TSHR,,,,,,,,,
TFF2,MUC6,,,,,,,,,
TFF1,MUC5AC,,,,,,,,,
S100A1,RYR2,0.0,,,,,,,,
SCGB3A1,MARCO,,,,,,,,,
ANGPTL4,GPIHBP1,0.3,0.042,,,,,,,
ANGPTL4,TIE1,0.268,0.024,,,,,,,
IGF1,INSR,0.534,,0.372,0.038,,0.04,,,
PCSK9,LDLR,,,,,,,,,
CXCL11,ACKR1,,,,,,,,,
ANGPT2,TIE1,0.41,0.024,,,,,,,
CALCA,TSHR,,,,,,,,,
THBS2,NOTCH4,0.444,0.05,,,,,,,
THBS2,ITGA6,0.64,,0.166,,,,,,
THBS2,CD36,0.278,0.03,,,,,,,
S100A8,CD36,,,,,,,,,
S100A12,CD36,,,,,,,,,
S100A9,CD36,0.91,0.032,,,,,0.002,0.01,
CALCB,TSHR,,,,,,,,,
MDK,ITGA6,0.09,,0.166,0.454,,0.354,,,
ADM,TSHR,0.0,,1.0,,,,0.03,,1.0
CGA,RAMP3,,,,,,,,,
CXCL8,CD79A,,,,,,,,,
PTH2,RAMP3,,,,,,,,,
APOE,LRP1,0.01,0.116,,0.208,0.104,,0.98,0.48,
PCSK9,LRP1,,,,,,,,,
THBS1,LRP1,0.04,0.116,,,,,,,
VWF,LRP1,0.014,0.116,,0.832,0.46,,0.804,0.282,
CGA,RAMP2,,,,,,,,,
CCL11,ACKR4,,,,,,,,,
CCL7,ACKR4,,,,,,,,,
CCL8,ACKR4,,,,,,,,,
S100A9,CD68,0.996,,0.1,,,,0.002,,0.002
S100A8,CD68,,,,,,,,,
PTH2,RAMP2,,,,,,,,,
TNF,FLT4,,,,,,,,,
THBS2,NOTCH3,0.276,0.552,0.64,,,,,,
SCGB3A1,NOTCH3,0.624,0.552,0.646,,,,0.028,0.38,0.294
CXCL8,KDR,,,,,,,,,
CXCL9,FCGR2A,0.62,,,,,,0.176,,
VEGFD,FLT1,,,,,,,,,
TNF,ICOS,,,,,,,,,
IL6,F3,,,,,,,,,
CXCL12,CCR4,,,,,,,,,
CCL3,CCR4,,,,,,,,,
PTN,PTPRB,0.0,,,,,,,,
CCL8,ACKR1,,,,,,,,,
EDN1,ADGRL4,,,,,,,,,
MDK,TSPAN1,0.0,,,0.44,,,,,
CCL1,ACKR1,,,,,,,,,
IGF1,ITGA6,0.73,,0.168,0.038,,0.032,,,
CCL18,ACKR1,,,,,,,,,
CXCL3,ACKR1,,,,,,,,,
CXCL5,ACKR1,,,,,,,,,
CXCL9,ACKR1,0.226,,,,,,0.176,,
CXCL10,ACKR1,,,,,,,,,
CXCL13,ACKR1,,,,,,,,,
CCL7,ACKR1,,,,,,,,,
SPP1,ITGB6,,,,,,,,,
ANGPTL4,CDH5,0.0,,,,,,,,
ANGPTL4,CDH11,0.0,,,,,,,,
SLC1A2,GRIA1,,,,,,,,,
SLC1A6,GRIA1,,,,,,,,,
APOE,TYROBP,0.182,0.002,,0.208,0.018,,0.98,0.106,
CCL20,ACKR4,,,,,,,,,
FAM3D,FPR2,,,,,,,,,
HLA-G,KLRD1,,,,,,,,,
FGFR4,MCAM,,,,,,,,,
LAIR2,FGFR4,,,,,,,,,
IL2,DLK1,,,,,,,,,
TNFSF9,FCRL1,,,,,,,,,
DCN,LRP1,0.368,0.116,,0.018,0.018,,0.674,0.256,
IFNG,MPL,,,,,,,,,
TPO,MPL,,,,,,,,,
HAPLN1,IL1RL1,,,,,,,,,
SEMA3G,FCGR2A,0.0,,,,,,,,
VCAM1,VCAM1,,,,,,,,,
CCL5,ACKR4,,,,,,,,,
FLT4,FCRL1,,,,,,,,,
CRLF1,LIFR,0.11,0.18,0.996,0.272,0.168,0.916,0.258,0.158,0.976
PCSK9,CD36,,,,,,,,,
THBS1,GP9,,,,,,,,,
EFNB2,FCRL1,,,,,,,,,
VCAN,LDLR,,,,,,,,,
CEACAM5,CEACAM6,,,,,,,,,
CEACAM6,CEACAM5,,,,,,,,,
CCN1,ITGA6,0.03,,0.162,,,,0.958,,0.91
CCL3L1,CCR4,,,,,,,,,
CTSG,CXCL12,,,,,,,,,
KDR,FLT1,0.012,0.108,,,,,,,
KDR,CDH5,0.0,,,,,,,,
CXCL8,MMP9,,,,,,,,,
CCL22,CCR7,,,,,,,,,
FLT4,KDR,0.0,,,,,,,,
KDR,FLT4,0.0,,,,,,,,
THBS1,MMP2,0.712,,0.096,,,,,,
NPPA,MME,,,,,,,,,
THBS1,MMP9,,,,,,,,,
SFTPA1,SFTPA2,,,,,,,,,
KDR,PLCG2,0.0,,,,,,,,
IFNG,TNF,,,,,,,,,
PRSS3,F2RL3,,,,,,,,,
CSF1,TNF,,,,,,,,,
KDR,HSP90AA1,0.006,0.72,0.984,,,,,,
THBS1,ELANE,,,,,,,,,
AREG,MMP9,,,,,,,,,
IL1RN,IL2RA,,,,,,,,,
CCL1,ACKR4,,,,,,,,,
CTSG,F2RL3,,,,,,,,,
PRSS2,F2RL3,,,,,,,,,
PRSS1,F2RL3,,,,,,,,,
THBS4,CD36,0.308,0.03,,,,,,,
MDK,PTPRB,0.014,,,0.452,,,,,
CSF2,CSF2,,,,,,,,,
IFNG,IFNG,,,,,,,,,
IL13,IL13,,,,,,,,,
IL1A,IL1B,,,,,,,,,
IL1B,IL1B,,,,,,,,,
IL1RN,IL1B,,,,,,,,,
IL2,IL2,,,,,,,,,
IL22,IL22,,,,,,,,,
IL6,IL6,,,,,,,,,
CLU,TYROBP,0.0,0.002,,0.972,0.766,,1.0,1.0,
ICOS,CD40LG,,,,,,,,,
CCL26,CXCR6,,,,,,,,,
VEGFA,MMP9,,,,,,,,,
OSM,CXCL10,,,,,,,,,
THBS1,VCAM1,,,,,,,,,
IFNG,TYMS,,,,,,,,,
CSF1,VEGFA,0.004,0.486,0.998,,,,0.046,0.404,0.998
