cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
source,target,,,,
CCL2,MMP14,0.846,0.114,,
TNFSF9,TNFRSF9,,,,
SHH,PTCH1,,,,
IHH,PTCH1,,,,
JAG1,NOTCH3,0.996,0.06,0.012,0.004
HLA-DRB5,CTSL,0.942,0.148,0.072,0.058
HLA-DQA2,CTSL,,,,
HLA-DRB1,CTSL,1.0,0.148,0.0,0.0
IL2,IL2RA,,,,
HLA-DQB2,CTSL,,,,
HLA-DRA,CTSL,0.998,0.148,0.0,0.002
IL1RN,IL1R2,,,,
IL1B,IL1R2,,,,
GAS1,SHH,,,,
SHH,GAS1,,,,
IL1A,IL1R2,,,,
DLL1,NOTCH3,0.914,0.06,,
DLL4,NOTCH4,0.0,,,
IL13,IL13RA2,,,,
IL22,IL20RA,,,,
IL20,IL20RA,,,,
IL24,IL20RA,,,,
FGF7,FGFR2,0.0,,,
IL22,IL22RA2,,,,
CCL19,ACKR4,,,,
CCL21,ACKR4,,,,
ADM,CALCRL,0.0,,,
ADM,RAMP2,0.0,,,
CALCA,CALCRL,,,,
CALCA,RAMP2,,,,
CALCB,CALCRL,,,,
CALCB,RAMP2,,,,
ADM,RAMP3,0.902,0.084,,
CALCA,RAMP3,,,,
CALCB,RAMP3,,,,
APELA,APLNR,,,,
CCL17,CCR4,,,,
CCL22,CCR4,,,,
CCL20,CCR6,,,,
CCL19,CCR7,,,,
CCL21,CCR7,,,,
SAA1,FPR2,,,,
RSPO3,LGR5,,,,
NMU,NMUR2,,,,
SST,SSTR1,,,,
SST,SSTR2,,,,
TNF,HMOX1,,,0.006,0.0
HLA-DRA,LGMN,1.0,0.01,0.0,0.0
HLA-DRB5,LGMN,0.994,0.01,0.072,0.006
HLA-DQA2,LGMN,,,,
HLA-DRB1,LGMN,1.0,0.01,0.0,0.0
HLA-DQB2,LGMN,,,,
LAMA3,ITGA6,,,,
VEGFD,KDR,,,,
CTSG,C3,,,,
CGA,TSHR,,,,
VEGFA,FLT1,0.0,,,
PLAUR,PLAU,1.0,0.004,0.006,0.0
OSM,LIFR,,,,
VEGFA,KDR,0.0,,,
KDR,VEGFA,0.0,,,
HLA-G,CD160,,,,
EDN1,EDNRB,,,,
LAMA4,ITGA6,0.738,0.124,,
VWF,GP9,,,,
VEGFD,FLT4,,,,
CCL2,CCR4,,,,
TG,TPO,0.0,,1.0,
HLA-G,KLRC1,,,,
MMP9,LRP1,0.968,0.68,0.004,0.032
MMRN2,CD93,0.0,,,
TSPAN1,ITGA6,0.232,0.124,0.876,0.768
MMRN2,CLEC14A,0.0,,,
SAA1,CD36,0.938,,0.004,
LY6H,CD36,,,,
CCL11,ACKR1,,,,
CCL13,ACKR1,,,,
CCL14,ACKR1,0.0,,,
CCL17,ACKR1,,,,
CCL2,ACKR1,0.0,,,
CCL5,ACKR1,1.0,,0.0,
CXCL8,ACKR1,,,,
PPBP,ACKR1,,,,
CXCL1,ACKR1,,,,
CXCL2,ACKR1,,,0.002,
CXCL13,ACKR4,,,,
CCL5,CCR4,,,,
DEFB1,CCR6,,,,
CCL23,FPR2,,,,
DCN,KDR,0.634,,0.284,
GREM1,KDR,,,,
APOE,LDLR,,,,
MDK,LRP1,0.536,0.68,0.22,0.464
DLK1,NOTCH3,,,,
DLL4,NOTCH3,0.93,0.06,,
DLL1,NOTCH4,0.0,,,
JAG1,NOTCH4,0.982,,0.012,
DLK1,NOTCH4,,,,
TNFSF14,TNFRSF6B,,,,
SCT,RAMP2,0.0,,,
SCT,RAMP3,0.914,0.084,,
SCT,TSHR,0.048,0.952,,
COMP,CD36,,,,
CCL2,ACKR4,,,,
CCL13,ACKR4,,,,
CXCL6,ACKR1,,,,
CEACAM6,STAB1,,,,
THBS1,ITGA6,0.84,0.124,,
THBS1,CD36,0.0,,,
VWF,SCARA5,0.174,,0.806,
FGF7,FGFR4,,,,
PTH2,TSHR,,,,
TFF2,MUC6,,,,
TFF1,MUC5AC,,,,
S100A1,RYR2,0.0,,,
SCGB3A1,MARCO,,,,
ANGPTL4,GPIHBP1,0.0,,,
ANGPTL4,TIE1,0.0,,,
IGF1,INSR,0.0,,,
PCSK9,LDLR,,,,
CXCL11,ACKR1,,,,
ANGPT2,TIE1,0.0,,,
CALCA,TSHR,,,,
THBS2,NOTCH4,0.0,,,
THBS2,ITGA6,0.824,0.124,,
THBS2,CD36,0.0,,,
S100A8,CD36,,,,
S100A12,CD36,,,,
S100A9,CD36,0.978,,0.002,
CALCB,TSHR,,,,
MDK,ITGA6,0.87,0.124,0.22,0.13
ADM,TSHR,0.048,0.952,,
CGA,RAMP3,,,,
CXCL8,CD79A,,,,
PTH2,RAMP3,,,,
APOE,LRP1,0.776,0.68,0.09,0.224
PCSK9,LRP1,,,,
THBS1,LRP1,0.316,0.68,,
VWF,LRP1,0.184,0.68,0.806,0.816
CGA,RAMP2,,,,
CCL11,ACKR4,,,,
CCL7,ACKR4,,,,
CCL8,ACKR4,,,,
S100A9,CD68,0.996,0.066,0.002,0.004
S100A8,CD68,,,,
PTH2,RAMP2,,,,
TNF,FLT4,,,0.006,
THBS2,NOTCH3,0.922,0.06,,
SCGB3A1,NOTCH3,0.924,0.06,,
CXCL8,KDR,,,,
CXCL9,FCGR2A,1.0,,0.0,
VEGFD,FLT1,,,,
TNF,ICOS,,,,
IL6,F3,,,,
CXCL12,CCR4,,,,
CCL3,CCR4,,,,
