ligand_receptor,cluster_pair,mean,pval
"('TG', 'TPO')","('Epithelial cell', 'Epithelial cell')",4.188707185421058,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.4632150530815125,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",2.420650213956833,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Myeloid cell')",2.0188427567481995,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Epithelial cell')",1.854515627373647,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Epithelial cell')",1.8119507882489674,0.0
"('CCL5', 'MMP9')","('Myeloid cell', 'Myeloid cell')",1.7967718839645386,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Epithelial cell')",1.7571088815055682,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Epithelial cell')",1.7145440423808886,0.0
"('CCL5', 'CXCL12')","('Myeloid cell', 'Epithelial cell')",1.3038204346284026,0.0
"('CCL5', 'TNFRSF4')","('Myeloid cell', 'Myeloid cell')",1.2687505185604095,0.0
"('CCL5', 'ACKR1')","('Myeloid cell', 'Epithelial cell')",1.1535589359680958,0.0
"('CCL5', 'MMP9')","('Myeloid cell', 'Epithelial cell')",1.1429135648069273,0.0
"('CCL5', 'TNFRSF4')","('Myeloid cell', 'Epithelial cell')",1.1316630937210337,0.0
"('CCL5', 'CXCR6')","('Myeloid cell', 'Epithelial cell')",1.123859205681095,0.0
"('SAA1', 'HMOX1')","('Myeloid cell', 'Myeloid cell')",1.1100758612155914,0.0
"('SAA1', 'MMP9')","('Myeloid cell', 'Myeloid cell')",1.0455793738365173,0.0
"('CXCL9', 'ACKR1')","('Myeloid cell', 'Epithelial cell')",0.9372896514813253,0.0
"('CXCL9', 'FCGR2A')","('Myeloid cell', 'Epithelial cell')",0.9187218865479282,0.0
"('CXCL9', 'CXCR6')","('Myeloid cell', 'Epithelial cell')",0.9075899211943245,0.0
"('VWF', 'ITGB6')","('Epithelial cell', 'Myeloid cell')",0.9043124119532746,0.0
"('TNF', 'HMOX1')","('Myeloid cell', 'Myeloid cell')",0.8951696753501892,0.0
"('TNF', 'MMP9')","('Myeloid cell', 'Myeloid cell')",0.8306731879711151,0.0
"('IGF1', 'HMOX1')","('Epithelial cell', 'Myeloid cell')",0.7693576739737128,0.0
"('ADM', 'HMOX1')","('Epithelial cell', 'Myeloid cell')",0.7544024635033357,0.0
"('PLAUR', 'PLAU')","('Myeloid cell', 'Myeloid cell')",0.7537435293197632,0.0
"('SAA1', 'HMOX1')","('Epithelial cell', 'Myeloid cell')",0.7498903304512,0.0
"('COL6A3', 'ITGB6')","('Epithelial cell', 'Myeloid cell')",0.5685259787145905,0.0
"('LAMA4', 'ITGB6')","('Epithelial cell', 'Myeloid cell')",0.5565316010840422,0.0
"('VEGFA', 'FLT1')","('Epithelial cell', 'Epithelial cell')",0.5505516328402711,0.0
