cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
source,target,,,,
CCL2,MMP14,0.052282517389554625,0.07659063720596156,0.0,0.0
TNFSF9,TNFRSF9,0.0003168939169749473,0.12254076435938412,0.0,0.0
SHH,PTCH1,0.0,0.0,0.0,0.0
IHH,PTCH1,0.02783076215900369,0.0,0.0,0.0
JAG1,NOTCH3,0.21946744324881107,0.23762719108931069,0.0,0.0
HLA-DRB5,CTSL,0.18377059033273702,0.13910698991408063,0.2953633788165344,0.250699778397878
HLA-DQA2,CTSL,0.2151222972352212,0.17045869681656484,0.9072156968650116,0.8625520964463551
HLA-DRB1,CTSL,0.4527807357340446,0.4081171353153882,1.5720473848717305,1.5273837844530742
IL2,IL2RA,0.003876995094718916,0.0,0.11501051357745354,0.0
HLA-DQB2,CTSL,0.18203161878138122,0.13736801836272483,0.0,0.0
HLA-DRA,CTSL,0.41892076854488014,0.3742571681262238,1.704089335892289,1.6594257354736328
IL1RN,IL1R2,0.017479089998688618,0.0,0.0,0.0
IL1B,IL1R2,0.0049381054878655725,0.0,0.0,0.0
GAS1,SHH,0.0,0.0,0.0,0.0
SHH,GAS1,0.0,0.0,0.0,0.0
IL1A,IL1R2,0.003166834134131749,0.0,0.0,0.0
DLL1,NOTCH3,0.14920883576097158,0.1673685836014712,0.0,0.0
DLL4,NOTCH4,0.0472310126182892,0.0,0.0,0.0
IL13,IL13RA2,0.0,0.0,0.0,0.0
IL22,IL20RA,0.0,0.0,0.0,0.0
IL20,IL20RA,0.0,0.0,0.0,0.0
IL24,IL20RA,0.0,0.0,0.0,0.0
FGF7,FGFR2,0.1898074012779074,0.0,0.0,0.0
IL22,IL22RA2,0.0,0.0,0.0,0.0
CCL19,ACKR4,0.01945790622156485,0.0,0.7583634103022276,0.0
CCL21,ACKR4,0.42648204157600755,0.0,0.6828125560961424,0.0
ADM,CALCRL,0.05233168778883495,0.0,0.0,0.0
ADM,RAMP2,0.1725065984811703,0.23594954041268204,0.0,0.0
CALCA,CALCRL,0.0,0.0,0.0,0.0
CALCA,RAMP2,0.0,0.0,0.0,0.0
CALCB,CALCRL,0.04248590652303998,0.0,0.0,0.0
CALCB,RAMP2,0.16266081721537534,0.22610375914688707,0.0,0.0
ADM,RAMP3,0.11264495112310967,0.17093687680985306,0.0,0.0
CALCA,RAMP3,0.0,0.0,0.0,0.0
CALCB,RAMP3,0.1027991698573147,0.1610910955440581,0.0,0.0
APELA,APLNR,0.0,0.0,0.0,0.0
CCL17,CCR4,0.0,0.0,0.0,0.0
CCL22,CCR4,0.0,0.0,0.0,0.0
CCL20,CCR6,0.002928154334254951,0.0,0.0,0.0
CCL19,CCR7,0.021469182536229557,0.132277195917557,0.7603746866168923,0.8711826999982197
CCL21,CCR7,0.42849331789067224,0.5393013312719996,0.6848238324108071,0.7956318457921345
SAA1,FPR2,0.0,0.0,0.0,0.0
RSPO3,LGR5,0.0,0.0,0.0,0.0
NMU,NMUR2,0.00088562444838821,0.0,0.0,0.0
SST,SSTR1,0.0003522816397716593,0.0,0.0,0.0
SST,SSTR2,0.0033178086616986635,0.0,0.0,0.0
TNF,HMOX1,0.007179926436424045,0.25975043967554734,0.0,0.0
HLA-DRA,LGMN,0.6249512727820337,0.6380205660582764,1.9101198401294426,1.9231891334056854
HLA-DRB5,LGMN,0.38980109456989054,0.40287038784613327,0.5013938830536879,0.5144631763299307
HLA-DQA2,LGMN,0.4211528014723747,0.43422209474861745,1.113246201102165,1.1263154943784077
HLA-DRB1,LGMN,0.6588112399711981,0.6718805332474409,1.778077889108884,1.7911471823851268
HLA-DQB2,LGMN,0.38806212301853477,0.4011314162947775,0.0,0.0
LAMA3,ITGA6,0.034354867102925166,0.0,0.14511061325410635,0.0
VEGFD,KDR,0.04325954422078507,0.0,0.0,0.0
CTSG,C3,0.31041455961310116,0.8178551376707661,0.0,0.0
CGA,TSHR,0.0,0.0,0.0,0.0
VEGFA,FLT1,0.30204728144793935,0.0,0.0,0.0
PLAUR,PLAU,0.03800421215705606,0.0,0.15199139366262307,0.0
OSM,LIFR,0.10975506871491539,0.0,0.0,0.0
VEGFA,KDR,0.26768653682003163,0.0,0.0,0.0
KDR,VEGFA,0.26768653682003163,0.0,0.0,0.0
HLA-G,CD160,0.0,0.0,0.0,0.0
EDN1,EDNRB,0.04393127803269047,0.12423667002597533,0.0,0.0
LAMA4,ITGA6,0.07340542180669171,0.0,0.0,0.0
VWF,GP9,0.24574442428108453,0.0,0.583883249334866,0.0
VEGFD,FLT4,0.02852074796989863,0.11939250806055549,0.0,0.0
CCL2,CCR4,0.0,0.0,0.0,0.0
TG,TPO,4.327496781077199,3.1924033065636954,3.5159591576717433,2.380865683158239
HLA-G,KLRC1,0.0009147780770657869,0.0,0.0,0.0
MMP9,LRP1,0.2581935164872935,0.2691202403544047,0.6397569573030344,0.6506836811701456
MMRN2,CD93,0.09341979617317062,0.31959909170090045,0.0,0.0
TSPAN1,ITGA6,0.5216764653724637,0.0,0.09123659247894714,0.0
MMRN2,CLEC14A,0.09744447674881748,0.0,0.0,0.0
SAA1,CD36,0.11613685850774094,0.22016370469864832,0.0,0.0
LY6H,CD36,0.11588638955160041,0.2199132357425078,0.0,0.0
CCL11,ACKR1,0.0,0.0,0.0,0.0
CCL13,ACKR1,0.02491324992039934,0.3352744252554947,0.0,0.0
CCL14,ACKR1,0.20131025962130433,0.5116714349563998,0.0,0.0
