cluster_1,,B cell,B cell,B cell,B cell,B cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,0.0,0.0,0.0,0.002,,0.0,0.0,0.0,0.0,,0.078,0.0,1.0,0.03,,0.0,0.0,0.0,0.0,,,,,,
TNFSF9,TNFRSF9,,,,,,,,,,,,,,,,,,,,,,,,,
SHH,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,
IHH,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,
JAG1,NOTCH3,0.998,0.274,1.0,0.792,0.112,0.85,0.002,0.178,0.516,0.056,0.954,0.002,0.932,0.57,0.064,,,,,,0.152,0.018,0.072,0.17,0.028
HLA-DRB5,CTSL,0.98,0.876,0.002,0.0,,1.0,0.996,0.0,0.0,,1.0,1.0,0.01,0.0,,0.326,0.166,0.004,0.0,,,,,,
HLA-DQA2,CTSL,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
HLA-DRB1,CTSL,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.462,0.348,0.128,0.002,
IL2,IL2RA,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB2,CTSL,1.0,1.0,0.022,0.0,,,,,,,1.0,1.0,0.0,0.0,,0.948,0.55,0.0,0.0,,,,,,
HLA-DRA,CTSL,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.772,0.672,0.408,0.006,
IL1RN,IL1R2,,,,,,,,,,,,,,,,,,,,,,,,,
IL1B,IL1R2,,,,,,,,,,,,,,,,,,,,,,,,,
GAS1,SHH,,,,,,,,,,,,,,,,,,,,,,,,,
SHH,GAS1,,,,,,,,,,,,,,,,,,,,,,,,,
IL1A,IL1R2,,,,,,,,,,,,,,,,,,,,,,,,,
DLL1,NOTCH3,,,,,,,,,,,0.954,0.002,0.954,0.572,0.064,,,,,,,,,,
DLL4,NOTCH4,,,,,,0.962,0.998,0.392,0.756,,0.964,0.998,0.0,0.74,,0.36,0.332,0.124,0.422,,,,,,
IL13,IL13RA2,,,,,,,,,,,,,,,,,,,,,,,,,
IL22,IL20RA,,,,,,,,,,,,,,,,,,,,,,,,,
IL20,IL20RA,,,,,,,,,,,,,,,,,,,,,,,,,
IL24,IL20RA,,,,,,,,,,,,,,,,,,,,,,,,,
FGF7,FGFR2,0.986,1.0,0.0,,,0.972,1.0,0.0,,,,,,,,,,,,,,,,,
IL22,IL22RA2,,,,,,,,,,,,,,,,,,,,,,,,,
CCL19,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL21,ACKR4,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,CALCRL,1.0,0.996,1.0,0.998,,1.0,1.0,1.0,1.0,,0.982,0.086,0.0,0.876,,0.866,0.506,0.582,0.88,,,,,,
ADM,RAMP2,0.984,0.998,1.0,0.992,,0.996,1.0,1.0,0.994,,0.502,0.592,0.0,0.872,,0.618,0.682,0.576,0.89,,,,,,
CALCA,CALCRL,,,,,,,,,,,,,,,,,,,,,,,,,
CALCA,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
CALCB,CALCRL,,,,,,,,,,,,,,,,,,,,,,,,,
CALCB,RAMP2,,,,,,,,,,,,,,,,,,,,,,,,,
ADM,RAMP3,0.822,0.21,1.0,0.662,,0.94,0.294,1.0,0.724,,0.046,0.0,0.368,0.262,,0.36,0.138,0.656,0.418,,,,,,
CALCA,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
CALCB,RAMP3,,,,,,,,,,,,,,,,,,,,,,,,,
APELA,APLNR,,,,,,,,,,,,,,,,,,,,,,,,,
CCL17,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL22,CCR4,,,,,,,,,,,,,,,,,,,,,,,,,
CCL20,CCR6,,,,,,,,,,,,,,,,,,,,,,,,,
CCL19,CCR7,0.0,,,0.0,,0.0,,,0.0,,0.928,,,0.0,,0.004,,,0.0,,,,,,
CCL21,CCR7,0.0,,,0.0,,0.02,,,0.0,,0.882,,,0.0,,0.0,,,0.0,,,,,,
SAA1,FPR2,,,,,,,,,,,,,,,,,,,,,,,,,
