ligand_receptor,cluster_pair,mean,pval
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.7753497309143467,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.4651020157840593,0.0
"('APOE', 'LRP1')","('Malignant cell', 'Fibroblast')",2.374294559027839,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Myeloid cell')",2.3498878426522727,0.0
"('TG', 'TPO')","('Malignant cell', 'Malignant cell')",2.283129504900321,0.0
"('TG', 'TPO')","('Malignant cell', 'Fibroblast')",2.268122120872445,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Malignant cell')",2.2197514832122245,0.0
"('APOE', 'LRP1')","('Malignant cell', 'Myeloid cell')",2.187202187986978,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Fibroblast')",2.0966305290907195,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Fibroblast')",2.094935666983134,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",2.0705289506075673,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Fibroblast')",2.039640127521985,0.0
"('MDK', 'LRP1')","('Malignant cell', 'Fibroblast')",1.9556474289120689,0.0
"('APOE', 'LRP1')","('Malignant cell', 'T cell')",1.9543005059584282,0.0
"('VWF', 'LRP1')","('Endothelial cell', 'Myeloid cell')",1.9095381580498585,0.0
"('HLA-DRA', 'CTSL')","('B cell', 'Myeloid cell')",1.9052174253421916,0.0
"('S100A9', 'CD68')","('B cell', 'Myeloid cell')",1.9025096401833652,0.0
"('VWF', 'THBS1')","('Endothelial cell', 'Endothelial cell')",1.886382247720446,0.0
"('APOE', 'LRP1')","('Malignant cell', 'Malignant cell')",1.8464170085463336,0.0
"('HLA-DRA', 'LGMN')","('B cell', 'Myeloid cell')",1.8170395064772222,0.0
"('APOE', 'TYROBP')","('Malignant cell', 'Malignant cell')",1.7942895949501505,0.0
"('COMP', 'ITGA6')","('Fibroblast', 'Endothelial cell')",1.770409131419433,0.0
"('MDK', 'LRP1')","('Malignant cell', 'Myeloid cell')",1.768555057871208,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Fibroblast')",1.743023472856805,0.0
"('COMP', 'CD36')","('Fibroblast', 'Myeloid cell')",1.7146895526453798,0.0
"('COMP', 'ITGB6')","('Fibroblast', 'Myeloid cell')",1.7086406866369224,0.0
"('COMP', 'ITGA6')","('Fibroblast', 'Malignant cell')",1.703075412275381,0.0
"('COMP', 'ITGB6')","('Fibroblast', 'Malignant cell')",1.6941479488182574,0.0
"('COMP', 'CD36')","('Fibroblast', 'Fibroblast')",1.682425395312558,0.0
"('COMP', 'ITGA6')","('Fibroblast', 'Myeloid cell')",1.6808522190623847,0.0
