lineage	mean_lin_TF	mean_inflam	mean_mod4	mean_DM1	n
acute myeloid leukemia	-6.995046802551564e-17	-1.251407455502344e-17	4.116809654896173e-16	4.710426011993439e-16	173
adrenocortical cancer	4.124689338322575e-16	-1.4896663368388177e-16	1.8269492810287387e-16	-3.878753858184091e-16	79
bladder urothelial carcinoma	2.6052540296824516e-16	-1.2116251275768688e-16	1.652009260588311e-16	-2.2373463997422653e-16	427
brain lower grade glioma	-2.416918101360945e-16	3.6321341273785553e-16	4.428417682493602e-16	1.0299709483133007e-15	534
breast invasive carcinoma	-2.1461577269950174e-16	1.9214697339161167e-16	-2.6174100289089794e-16	1.2433039454751342e-16	1218
cervical & endocervical cancer	-1.9303555170095464e-16	-2.5373968159578176e-16	-5.95580932242463e-16	-6.491223329461601e-16	310
cholangiocarcinoma	-1.924386576016938e-16	4.366877230192282e-16	3.682239698340103e-16	1.0436096431476472e-15	45
colon adenocarcinoma	1.4017967482640864e-16	-1.704584845889129e-17	2.4806195257281277e-16	8.814497953084576e-17	495
diffuse large B-cell lymphoma	2.2088812260771343e-16	-5.250429720623136e-16	1.1200531243223584e-15	3.4231876592608995e-16	48
esophageal carcinoma	6.797283824235652e-18	1.931561486720298e-16	-4.29928201882905e-16	-2.3677205321087523e-16	196
glioblastoma multiforme	-3.317907889684376e-17	2.2076848650592192e-16	6.2816929180659e-16	8.690366434134846e-16	174
head & neck squamous cell carcinoma	2.1725112874759715e-16	-1.961524778489676e-18	6.547569710598538e-16	4.342815859576142e-16	566
kidney clear cell carcinoma	-1.4912896733413818e-16	-2.766397305584136e-16	2.607008851553792e-16	1.2897640418087628e-16	606
kidney papillary cell carcinoma	7.960608436631154e-16	8.249335167493423e-18	2.3613721916949925e-16	-5.520180116247682e-16	323
liver hepatocellular carcinoma	6.137648041795677e-16	2.7362808036162466e-16	3.1519598252182365e-16	-4.85722573273506e-17	424
lung adenocarcinoma	1.376213957608267e-16	1.8737422878710595e-16	9.950566605255851e-18	5.049972785621372e-17	576
lung squamous cell carcinoma	-8.837695918045019e-17	1.9764575054811564e-16	3.7655398253983195e-16	6.529073310882238e-16	554
mesothelioma	1.1995513139628128e-16	2.0928342073393755e-16	-1.055987991813008e-15	-9.494321038173752e-16	87
ovarian serous cystadenocarcinoma	-5.540336258809033e-16	2.292305144695307e-16	-3.9378784303856686e-16	3.765416601317683e-16	309
pancreatic adenocarcinoma	3.361003036296922e-16	-5.896922294730339e-16	-6.03039172938473e-16	-1.5385385740160639e-15	183
pheochromocytoma & paraganglioma	-2.7963371368901e-16	1.8404766718384948e-16	-9.742652317699903e-16	-5.349256391375754e-16	187
prostate adenocarcinoma	-2.7190371166728835e-16	1.3095585222283095e-16	-5.857940395385826e-16	-1.9136207769902698e-16	550
rectum adenocarcinoma	-5.034958804659701e-16	1.8033008484774107e-16	-2.9151470061795046e-16	3.9864148369581643e-16	171
sarcoma	-8.379041695284201e-17	-8.376423244754424e-17	-4.250268899932911e-16	-4.0324138158555216e-16	265
skin cutaneous melanoma	-3.419674295258921e-16	-8.666297871546581e-17	3.044915468381231e-16	5.494315738427133e-16	474
stomach adenocarcinoma	0.003191798946565977	4.342205607422835e-17	-2.2821251061739328e-17	-0.0031917989465659494	450
testicular germ cell tumor	1.700473807348547e-16	2.7115062332191325e-16	-1.7507363080627468e-16	-8.077584185574055e-17	156
thymoma	2.902960203732991e-16	-1.1830245344366421e-17	-4.459092475953497e-16	-7.507655699309461e-16	122
thyroid carcinoma	-2.344666807250331e-16	-8.938071727970011e-17	1.6575707395627336e-16	3.066699963125432e-16	572
uterine carcinosarcoma	8.570142646229278e-17	2.1035804677108228e-16	-2.3567892277130515e-16	-1.2660438000111434e-16	57
uterine corpus endometrioid carcinoma	1.4528844519786e-16	1.4450521907819498e-16	1.7857555528362305e-16	1.805336205827856e-16	567
uveal melanoma	-6.557254739192331e-16	-3.4989372510452197e-16	-1.2411946470614054e-16	1.790234627208065e-16	80
