lineage	axis	n	spearman_r	p	fdr
breast invasive carcinoma	DM1_like	1218	0.44491396725785576	2.915188279000605e-60	9.620121320701996e-59
kidney clear cell carcinoma	DM1_like	606	0.44328679385835845	1.468557918014208e-30	2.4231205647234432e-29
liver hepatocellular carcinoma	DM1_like	430	0.4847874606399858	9.96410909828131e-27	1.0960520008109441e-25
lung adenocarcinoma	DM1_like	576	0.3718065707181072	2.5307958074299675e-20	2.0879065411297233e-19
stomach adenocarcinoma	DM1_like	450	0.2775136008902102	2.116490123323883e-09	1.396883481393763e-08
uveal melanoma	DM1_like	80	0.6057196436943273	2.6352881999810226e-09	1.4494085099895624e-08
lung squamous cell carcinoma	DM1_like	560	0.24272255974023227	5.946398583330167e-09	2.8033021892842213e-08
kidney papillary cell carcinoma	DM1_like	323	0.2901748545846002	1.0990478325278245e-07	4.533572309177276e-07
brain lower grade glioma	DM1_like	558	0.20241205837174903	1.4309303284146263e-06	5.246744537520296e-06
skin cutaneous melanoma	DM1_like	474	0.21208045939775177	3.189549039477598e-06	1.0525511830276074e-05
esophageal carcinoma	DM1_like	196	0.3169377395628302	6.011710313553408e-06	1.8035130940660224e-05
pancreatic adenocarcinoma	DM1_like	183	0.3239428070147957	7.698096066656466e-06	2.1169764183305282e-05
prostate adenocarcinoma	DM1_like	550	0.18122346309784945	1.9040758790544057e-05	4.833423385291953e-05
cholangiocarcinoma	DM1_like	45	0.50566534914361	0.00039513221079938296	0.0009313830683128312
diffuse large B-cell lymphoma	DM1_like	48	0.4870820668693009	0.00044662831492779057	0.0009825822928411392
cervical & endocervical cancer	DM1_like	310	0.19577290757615884	0.0005270514438322662	0.0010870436029040492
mesothelioma	DM1_like	87	0.32022308084858203	0.0024971345743657293	0.004847378879651122
thyroid carcinoma	DM1_like	572	0.11403850914766825	0.006326705417748175	0.011598959932538322
testicular germ cell tumor	DM1_like	156	-0.2142529752967394	0.007236529910188453	0.012568709844011523
acute myeloid leukemia	DM1_like	173	0.17933444892018302	0.018233177979091936	0.030084743665501696
adrenocortical cancer	DM1_like	79	-0.24629990262901652	0.028662644714507038	0.04504129883708249
colon adenocarcinoma	DM1_like	495	-0.08827088305016999	0.049672815498130116	0.07450922324719517
uterine carcinosarcoma	DM1_like	57	-0.20339642208970704	0.1291403909872373	0.18528838706864487
bladder urothelial carcinoma	DM1_like	427	0.07242196861265648	0.1351490516900161	0.18582994607377212
ovarian serous cystadenocarcinoma	DM1_like	315	0.07549776934831184	0.1813748973630989	0.23941486451929056
kidney chromophobe	DM1_like	91	0.12170727822901736	0.25045624293446184	0.3173799665562324
uterine corpus endometrioid carcinoma	DM1_like	567	-0.047414311809872454	0.25967451809146286	0.3173799665562324
glioblastoma multiforme	DM1_like	186	-0.05900289536136068	0.42373120275874193	0.4993974889656601
