lineage	n	pearson_r	spearman_r	p
kidney clear cell carcinoma	606	0.6946064377504598	0.621625831895755	1.88457777597944e-88
thyroid carcinoma	572	0.6890662468164717	0.6799948293516113	9.42676818461392e-82
lung adenocarcinoma	576	0.5385499935880325	0.5294104312661694	1.241800046409695e-44
testicular germ cell tumor	156	0.5008488294447352	0.52925352847276	2.7645873225458165e-11
liver hepatocellular carcinoma	426	0.4999829726166256	0.45283713122897556	2.518355451165469e-28
uveal melanoma	80	0.48861235448404583	0.5024613220815752	4.259841841907396e-06
breast invasive carcinoma	1218	0.46376514686101367	0.45034942435273295	5.575319835393824e-66
cervical & endocervical cancer	310	0.3864074442867137	0.3891029714316789	1.7674546294806186e-12
sarcoma	265	0.37590366958357124	0.2541617766543288	2.5523479878879545e-10
adrenocortical cancer	79	0.361012216537078	0.45051119766309644	0.0010808977050184637
colon adenocarcinoma	495	0.35666740239108596	0.3668932369271928	2.6993784131057663e-16
head & neck squamous cell carcinoma	566	0.34771175138576677	0.3629474104285699	1.576849675988354e-17
ovarian serous cystadenocarcinoma	311	0.34722953400376777	0.3406574248830815	3.0588945850730346e-10
thymoma	122	0.3451149037037861	0.2938427934611279	9.901892161980922e-05
esophageal carcinoma	196	0.3440127643638206	0.3558973296464232	7.937826264997711e-07
pheochromocytoma & paraganglioma	187	0.3378236542805276	0.2938350357301466	2.2623789921062956e-06
stomach adenocarcinoma	450	0.3226071188551298	0.3367885602727257	2.3348112743813922e-12
brain lower grade glioma	542	0.3111221453767724	0.2878403372431183	1.2516486115187857e-13
uterine carcinosarcoma	57	0.2634134193480562	0.2548612911589318	0.0477276515558903
bladder urothelial carcinoma	427	0.25733262078796826	0.30285050274066644	6.92848346890355e-08
rectum adenocarcinoma	171	0.2417636490116678	0.20583195334437326	0.0014441683196141609
diffuse large B-cell lymphoma	48	0.21490649329979564	0.42878853669127226	0.1424115821658332
acute myeloid leukemia	173	0.1944204424489053	0.18445193319458034	0.010372153759179473
glioblastoma multiforme	178	0.1777888840178801	0.1858903635928398	0.0175853632025097
pancreatic adenocarcinoma	183	0.14684964043530707	0.05055884956098785	0.04728923866926851
uterine corpus endometrioid carcinoma	567	0.1454379073364728	0.1378867367271289	0.0005128026986810641
lung squamous cell carcinoma	556	0.13451727861914567	0.10993179343185565	0.001476857851178641
skin cutaneous melanoma	474	0.12070522629513128	0.13718059700861868	0.008522807771047827
mesothelioma	87	0.06886099974632783	0.26888167966756576	0.5262402982814527
cholangiocarcinoma	45	0.0629556952493797	-0.0014492753623188404	0.6811873135539249
kidney papillary cell carcinoma	323	0.04922244463699467	0.009938885292230292	0.37791708500123644
prostate adenocarcinoma	550	0.03473621898418905	0.0900787711093861	0.4162016988793506
