dataset_id	n_samples	platform_id	platform_name_guess	data_unit_guess	histology_breakdown	tumor_normal_breakdown	rai_status_present	treatment_present	response_present	immune_module_scoreable	hla_typeable_arcasHLA	neoantigen_calculable	scrna_atlas_role	notes
GSE76039	37	GPL570	Affy_HG_U133_Plus_2	microarray_intensity	Primary:29;Recurrent tumor in neck:4;Recurrent/persistent metastasic tumor to lymph node:1;Metastasis:1;Recurrent tumor:1;Primary (residual):1	Anaplastic thyroid tumor:20;Poorly-differentiated thyroid tumor:17	no	no	yes	yes_with_microarray_caveat_50pct_gene_coverage_required	no_microarray	no_microarray	n_a	
GSE65144	25	GPL570	Affy_HG_U133_Plus_2	microarray_intensity	unmatched:11;subtype spindle cell:6;subtype N/A:2;subtype spindle/giant cell:1;subtype spindle/squamoid cell:1;subtype squamoid cell:1;subtype squamoid/giant cell:1;matched to T14:1;matched to T16:1	normal thyroid:13;Anaplastic Thyroid Carcinoma:12	no	no	no	yes_with_microarray_caveat_50pct_gene_coverage_required	no_microarray	no_microarray	n_a	user_estimate_13_DIFFERENT_actual_n=25_per_series_matrix
GSE29265	49	GPL570	Affy_HG_U133_Plus_2	microarray_intensity	tumor:29;patient-matched nontumor control:20	tumor:29;patient-matched nontumor control:20	no	no	no	yes_with_microarray_caveat_50pct_gene_coverage_required	no_microarray	no_microarray	n_a	
GSE33630	105	GPL570	Affy_HG_U133_Plus_2	microarray_intensity	tumour:60;patient-matched non-tumor control:45	tumour:60;patient-matched non-tumor control:45	no	no	no	yes_with_microarray_caveat_50pct_gene_coverage_required	no_microarray	no_microarray	n_a	
GSE60542	92	GPL570	Affy_HG_U133_Plus_2	microarray_intensity	Papillary:61;Follicular:15;Trabecular:6;poorly differentiated with well differentiated PTC compatible areas:4;Diffuse sclerosis:3;Tubulair:2;NA:1	23-N,Normal thyroid,N0:1;1-PT-N1,Papillary thyroid carcinoma,N1:1;9-LNM,Lymph node metastasis,N1:1;24-PT-N0,Papillary thyroid carcinoma,N0:1;23a-N,Normal thyroid,N0:1;10-N,Normal thyroid,N1:1;1a-PT-N1,Papillary thyroid carcinoma,N1:1;12-N,Normal thyroid,N1:1;12-PT-N1,Papillary thyroid carcinoma,N1:1;12-LNM,Lymph node metastasis,N1:1;13-N,Normal thyroid,N1:1;13-PT-N1,Papillary thyroid carcinoma,N1:1;13-LNM,Lymph node metastasis,N1:1;19-N1,Normal thyroid,N1:1;25-N,Normal thyroid,N0:1;23a-PT-N0,Papillary thyroid carcinoma,N0:1;10-PT-N1,Papillary thyroid carcinoma,N1:1;1a-LNM,Lymph node metastasis,N1:1;19-N2,Normal thyroid,N1:1;19-LNM,Lymph node metastasis,N1:1;25-PT-N0,Papillary thyroid carcinoma,N0:1;10-LNM,Lymph node metastasis,N1:1;20-NLN,Normal lymph node,N0:1;3-PT-N1,Papillary thyroid carcinoma,N1:1;28-N,Normal thyroid,N0:1;28-PT-N0,Papillary thyroid carcinoma,N0:1;17-LNM,Lymph node metastasis,N1:1;11-PT-N1,Papillary thyroid carcinoma,N1:1;3-LNM,Lymph node metastasis,N1:1;29-N,Normal thyroid,N0:1;29-PT-N0,Papillary thyroid carcinoma,N0:1;11-LNM1,Lymph node metastasis,N1:1;3-NLN,Normal lymph node,N1:1;11-LNM2,Lymph node metastasis,N1:1;4-PT-N1,Papillary thyroid carcinoma,N1:1;4-LNM,Lymph node metastasis,N1:1;4-NLN,Normal lymph node,N1:1;5-PT-N1,Papillary thyroid carcinoma,N1:1;7-N,Normal thyroid,N1:1;26-N,Normal thyroid,N0:1;1-LNM,Lymph node metastasis,N1:1;7-LNM,Lymph node metastasis,N1:1;11-N,Normal thyroid,N1:1;5-LNM,Lymph node metastasis,N1:1;6-PT-N1,Papillary thyroid carcinoma,N1:1;16-PT-N1,Papillary thyroid carcinoma,N1:1;6-LNM,Lymph node metastasis,N1:1;16-LNM1,Lymph node metastasis,N1:1;16-LNM2,Lymph node metastasis,N1:1;16-PLM,Pleural metastasis,N1:1;26-PT-N0,Papillary thyroid carcinoma,N0:1;7-PT-N1,Papillary thyroid carcinoma,N1:1;2-PT-N1,Papillary thyroid carcinoma,N1:1;21-N,Normal thyroid,N0:1;2-LNM,Lymph node metastasis,N1:1;3-N,Normal thyroid,N1:1;4-N,Normal thyroid,N1:1;27-N,Normal thyroid,N0:1;8-N,Normal thyroid,N1:1;2-NLN,Normal lymph node,N1:1;21-PT-N0,Papillary thyroid carcinoma,N0:1;4-R,Recurrence,N1:1;5-N,Normal thyroid,N1:1;22-N,Normal thyroid,N0:1;27-PT-N0,Papillary thyroid carcinoma,N0:1;8-PT-N1,Papillary thyroid carcinoma,N1:1;18-N,Normal thyroid,N1:1;11a-PT-N1,Papillary thyroid carcinoma,N1:1;22-PT-N0,Papillary thyroid carcinoma,N0:1;21a-N,Normal thyroid,N0:1;8-LNM,Lymph node metastasis,N1:1;18-LNM,Lymph node metastasis,N1:1;21a-PT-N0,Papillary thyroid carcinoma,N0:1;9-N,Normal thyroid,N1:1;23-PT-N0,Papillary thyroid carcinoma,N0:1;22a-N,Normal thyroid,N0:1;9-PT-N1,Papillary thyroid carcinoma,N1:1;17-PT-N1,Papillary thyroid carcinoma,N1:1;24-N,Normal thyroid,N0:1;22a-PT-N0,Papillary thyroid carcinoma,N0:1;17-N,Normal thyroid,N1:1;30-N,Normal thyroid,N0:1;31-N,Normal thyroid,N0:1;14-N,Normal thyroid,N1:1;15-N,Normal thyroid,N1:1;30-PT-N0,Papillary thyroid carcinoma,N0:1;31-PT-N0,Papillary thyroid carcinoma,N0:1;14-LNM,Lymph node metastasis,N1:1;14-PT-N1,Papillary thyroid carcinoma,N1:1;15-LNM1,Lymph node metastasis,N1:1;15-LNM2,Lymph node metastasis,N1:1;15-PT-N1,Papillary thyroid carcinoma,N1:1	no	no	yes	yes_with_microarray_caveat_50pct_gene_coverage_required	no_microarray	no_microarray	n_a	user_unsure_actual_n=92_PTC_primary_and_nodal_metastases
GSE151179	52	GPL23159	Affy_Clariom_D_Human	microarray_intensity	papillary thyroid carcinoma:39;non-neoplastic thyroid:13	papillary thyroid carcinoma:39;non-neoplastic thyroid:13	yes	no	yes	yes_with_microarray_caveat_50pct_gene_coverage_required	no_microarray	no_microarray	n_a	
GSE126698	28	GPL15456	Illumina_HiSeq_2500_RNAseq	RNAseq_counts_or_FPKM_per_supp	ATC:10;FTC:6;NT:6;PTC:6	primary thyroid tumor:22;non-transformed thyroid tissue:6	no	no	yes	yes_with_module_intersection	yes_arcasHLA_if_FASTQ_available	yes_if_paired_WES_or_WGS_obtained_separately	n_a	user_estimate_365_INCORRECT_actual_n=28_subtype_breakdown:ATC=10_FTC=6_NT=6_PTC=6_per_series_matrix
GSE78220	28	GPL11154	Illumina_HiSeq_2000_RNAseq	RNAseq_FPKM_or_counts	tumor biopsy_Progressive Disease:13;tumor biopsy_Partial Response:10;tumor biopsy_Complete Response:5	tumor biopsy_Progressive Disease:13;tumor biopsy_Partial Response:10;tumor biopsy_Complete Response:5	no	yes	yes	yes_with_module_intersection	yes_arcasHLA_if_FASTQ_available	yes_if_paired_WES_or_WGS_obtained_separately	n_a	
GSE91061	109	GPL9052	Illumina_GA2_RNAseq	RNAseq_FPKM_or_counts	tumor:109	tumor:109	no	yes	yes	yes_with_module_intersection	yes_arcasHLA_if_FASTQ_available	yes_if_paired_WES_or_WGS_obtained_separately	n_a	
GSE184362	23	GPL24676	Illumina_NovaSeq_6000_scRNA	UMI_counts_via_10x	lymph node metastase:8;thyroid tumor:7;thyroid paratumor:6;subcutaneous metastase:2	lymph node metastase:8;thyroid tumor:7;thyroid paratumor:6;subcutaneous metastase:2	yes	yes	yes	yes_with_module_intersection	limited_via_scHLA_or_arcasHLA_on_pseudobulk	no_no_paired_germline	primary_scRNA_atlas_candidate	11_patients_158577_cells_per_publication_23_GSM_libraries_RAW_tar_970MB_DEFER_full_to_track_B
