	HLA_class_I	HLA_class_II	IFNG_T_cell_inflamed	TLS_CXCL13_like	checkpoint_exhaustion	myeloid_suppressive	thyroid_differentiation
Pt1_Pre_AD101148-6	0.08662900188323923	0.4449152542372881	0.24406779661016959	0.1016949152542373	-0.17372881355932204	0.0871670702179176	-0.864406779661017
Pt10_Pre_E9047565-6	0.18455743879472689	0.4788135593220339	-0.04406779661016952	0.2711864406779661	-0.3050847457627119	0.06779661016949153	-0.690677966101695
Pt101_Pre_AD486328-5	0.11299435028248596	0.4745762711864407	0.09830508474576266	0.6704331450094162	-0.2923728813559322	-0.38740920096852294	-0.847457627118644
Pt103_Pre_AE134058-2	0.1694915254237288	0.6101694915254238	0.09152542372881366	0.3502824858757063	-0.3898305084745763	-0.10653753026634381	-0.826271186440678
Pt106_Pre_AD502250-5	0.45197740112994356	0.4449152542372881	0.2983050847457626	-0.2636534839924671	-0.2330508474576271	0.0	-0.7966101694915254
Pt11_Pre_AD153352-6	0.3050847457627119	0.4872881355932203	0.26440677966101683	-0.2749529190207156	-0.2330508474576271	0.09685230024213065	-0.7033898305084746
Pt17_Pre_E9047563-6	0.5009416195856874	0.4745762711864407	-0.04067796610169489	-0.32015065913370994	-0.2330508474576271	0.2711864406779661	-0.6313559322033898
Pt18_Pre_E9024732-6	0.04519774011299431	0.3347457627118644	0.1491525423728813	0.6139359698681733	-0.3008474576271186	-0.11622276029055685	-0.8601694915254238
Pt2_Pre_AD101150-6	0.32768361581920896	0.5338983050847458	0.27457627118644073	-0.25612052730696805	-0.1864406779661017	0.0871670702179176	-0.847457627118644
Pt23_Pre_AD313075-5	0.1506591337099811	0.3644067796610169	0.2135593220338982	0.0188323917137477	-0.3177966101694915	0.25181598062954	-0.7245762711864406
Pt24_Pre_AD436687-5	0.10546139359698692	0.5932203389830508	-0.11525423728813554	0.22975517890772132	-0.3220338983050847	0.3147699757869249	-0.7796610169491526
Pt26_Pre_AD467789-6	0.4369114877589453	0.3940677966101695	0.13898305084745768	0.03389830508474576	-0.3135593220338983	0.05326876513317196	-0.8305084745762712
Pt27_Pre_AD453873-5	0.19962335216572494	0.3432203389830508	0.09152542372881366	-0.12052730696798498	-0.13983050847457626	0.36319612590799033	-0.7245762711864406
Pt28_Pre_AD297619-6	0.1694915254237288	0.4745762711864407	0.24406779661016959	0.1694915254237288	-0.3050847457627119	-0.024213075060532722	-0.8347457627118644
Pt29_Pre_AD497504-5	0.13935969868173267	0.5338983050847458	0.04067796610169489	0.13559322033898305	-0.3389830508474576	0.17917675544794184	-0.711864406779661
Pt3_Pre_E9024733-3	0.4331450094161959	0.4533898305084746	0.08813559322033904	-0.25988700564971756	-0.24152542372881355	0.3147699757869249	-0.7923728813559322
Pt30_Pre_AD497503-5	0.3050847457627119	0.3771186440677966	0.12542372881355943	-0.19209039548022602	-0.1652542372881356	0.024213075060532722	-0.5169491525423728
Pt31_Pre_AD453872-5	0.3954802259887005	0.4703389830508475	0.11186440677966092	0.13559322033898305	-0.2711864406779661	-0.08716707021791772	-0.8601694915254238
Pt34_Pre_AD466985-6	0.1694915254237288	0.6822033898305084	0.24406779661016959	-0.35028248587570615	-0.1016949152542373	0.1694915254237288	-0.8305084745762712
Pt36_Pre_AD467095-6	0.2787193973634651	0.5084745762711864	-0.20169491525423727	-0.24858757062146888	-0.2711864406779661	0.6392251815980629	-0.5783898305084746
Pt37_Pre_AD502452-5	0.463276836158192	0.5296610169491526	0.05423728813559327	-0.05649717514124298	-0.3644067796610169	-0.024213075060532722	-0.6694915254237288
Pt38_Pre_E9200719-6	0.4331450094161959	0.5169491525423728	0.02372881355932201	-0.2711864406779661	-0.22033898305084745	0.2857142857142858	-0.7584745762711864
Pt39_Pre_AD485899-5	0.36158192090395475	0.4322033898305085	-0.0644067796610169	-0.2937853107344633	-0.25	0.4309927360774819	-0.5550847457627118
Pt4_Pre_E9021023-6	0.4143126177024482	0.423728813559322	0.2508474576271186	-0.36158192090395486	-0.22033898305084745	0.2033898305084746	-0.7542372881355932
Pt44_Pre_AD467790-6	0.18079096045197748	0.4957627118644068	0.36271186440677977	-0.28625235404896415	-0.08898305084745763	0.09685230024213065	-0.826271186440678
Pt46_Pre_AD467096-6	0.22222222222222227	0.6652542372881356	0.006779661016949128	-0.07532956685499055	-0.2796610169491525	0.28087167070217917	-0.8050847457627118
Pt47_Pre_AD506073-6	0.3502824858757063	0.5338983050847458	0.05762711864406777	-0.24858757062146888	-0.2838983050847458	0.32445520581113796	-0.7203389830508474
Pt48_Pre_E9047561-7	0.23728813559322035	0.4830508474576271	0.05084745762711865	0.13935969868173267	-0.3305084745762712	0.0435835351089588	-0.6779661016949152
