	delta_ATC_minus_PT
Thyroid_differen	-0.34100832501341966
Thyroid_TF	-0.1978786440776436
Angiogenesis	0.014958506717075382
Stemness_lineage	0.08146702067074035
Glycolysis_OxPhos	0.10570434580680854
Cellular_stress	0.11038133718814452
PI3K_AKT	0.12325352058871608
Immune_escape	0.12712129335635602
Hypoxia	0.13090672949382437
Stromal_endo	0.14897151212854662
NOTCH_signaling	0.159965085086671
Hippo_YAP	0.16554589593286917
EMT_program	0.16937777605153037
MYC_targets	0.17162990012864254
TGF_beta	0.17426491046420456
RAS_MAPK	0.1840456591396645
WNT_signaling	0.18680564214729797
Apoptosis_DDR	0.22201142307772767
Inflammation_NFkB	0.2275628178106769
Tumor_suppressor	0.23930961585575758
Macrophage_TAM	0.2473676283927053
Senescence_SASP	0.2621112070065794
T_cell	0.3296325177662979
Cell_cycle	0.38092073366795703
