gene	n_cohorts	cohorts	log2fc_tcga	log2fc_27155	log2fc_126698	fe_log2fc	fe_se	fe_z	fe_p	meta_log2fc	meta_se	meta_z	meta_p	fisher_p	Q	Q_df	I2	tau2	direction_concordance	is_known	is_novel_validated	cohort_effs_json	meta_q
TG	3	TCGA,GSE27155,GSE126698	-1.4845644096430792	-0.2122159565217405	-0.3494505173800863	-0.44204180707785384	0.06642639825929755	-6.654610496151389	2.840512870347391e-11	-0.7417029273154478	0.554478342801267	-1.3376589671082697	0.1810076327123734	1.910053641762621e-22	54.09890629409173	2.0	96.30306759044697	0.7549221724044978	True	True	False	[('TCGA', -1.4845644096430792, 0.15656171569542482), ('GSE27155', -0.2122159565217405, 0.07361300758500144), ('GSE126698', -0.3494505173800863, 0.8792895858542097)]	0.4081269235307622
FN1	3	TCGA,GSE27155,GSE126698	4.780110349420664	0.5814568043478272	2.656265205039164	1.129963367837377	0.09265332745258667	12.195604830442935	3.28059089910765e-34	2.6686573783166216	1.7366136276845776	1.5367018522564144	0.12436633733465613	1.1417156691768335e-66	230.856640875287	2.0	99.13366148254732	8.477057193688669	True	True	False	[('TCGA', 4.780110349420664, 0.2586092614412034), ('GSE27155', 0.5814568043478272, 0.09950478058164801), ('GSE126698', 2.656265205039164, 1.3648065118200725)]	0.3254236359156998
CLU	3	TCGA,GSE27155,GSE126698	2.4223521550499783	0.5324485434782611	2.6451527506745585	1.1597966832547937	0.09186117254460885	12.6255375489746	1.526951637138742e-36	1.7101276871909554	0.8384425168515695	2.0396481008771428	0.041385387529275196	5.534297039132838e-30	94.13321856653228	2.0	97.87535151728991	1.7420440125374426	True	False	True	[('TCGA', 2.4223521550499783, 0.1607560181097109), ('GSE27155', 0.5324485434782611, 0.11234173585450426), ('GSE126698', 2.6451527506745585, 1.3201965325659557)]	0.16126712285571426
CTSB	3	TCGA,GSE27155,GSE126698	0.0385273815366336	0.0110424782608697	-0.3628216015571066	0.010266760331860005	0.03251433691415919	0.3157610244048706	0.7521839036515876	0.010266760331860005	0.03251433691415919	0.3157610244048706	0.7521839036515876	0.6184703492300891	1.8140221036535167	2.0	0.0	0.0	False	False	False	[('TCGA', 0.0385273815366336, 0.0846273020980448), ('GSE27155', 0.0110424782608697, 0.03548748565066596), ('GSE126698', -0.3628216015571066, 0.2859752747660404)]	0.8542413836150972
EEF1A1	3	TCGA,GSE27155,GSE126698	0.3833000714542507	0.0214675869565228	0.4599727643547169	0.029393425915105346	0.0070945116819397976	4.143121786652486	3.426098841062081e-05	0.2572478321622054	0.1597425479193033	1.6103901904216438	0.10731270076057564	6.986664125869224e-11	56.40192760141759	2.0	96.45402190128387	0.06445208741891265	True	False	True	[('TCGA', 0.3833000714542507, 0.04932736222740917), ('GSE27155', 0.0214675869565228, 0.0071727320812071185), ('GSE126698', 0.4599727643547169, 0.22368786585574574)]	0.29633498468711283
B2M	3	TCGA,GSE27155,GSE126698	0.9771748208683704	0.109785413043479	0.8128194364249595	0.17640795582426577	0.028381287347473062	6.215643204076588	5.111483187203303e-10	0.5888694744337882	0.3863960865823918	1.5240047580249567	0.12750752262320347	6.739481552671802e-17	65.96943936243068	2.0	96.96829316827727	0.36114476528571815	True	False	True	[('TCGA', 0.9771748208683704, 0.10340747043795544), ('GSE27155', 0.109785413043479, 0.02954387570753042), ('GSE126698', 0.8128194364249595, 0.6643020294750895)]	0.33018704060157217
APLP2	3	TCGA,GSE27155,GSE126698	0.4743350034687719	0.0536530652173921	0.9911674447084272	0.15154073813875396	0.0344341324778482	4.4008873531587165	1.0780908561683328e-05	0.3522153271784416	0.2018825193472729	1.7446549028475826	0.08104495774851997	2.8955922442487063e-08	28.734651559480163	2.0	93.03976247681291	0.08991145308021843	True	False	True	[('TCGA', 0.4743350034687719, 0.0731958529086274), ('GSE27155', 0.0536530652173921, 0.039150348072152), ('GSE126698', 0.9911674447084272, 0.48195724904061626)]	0.24892520558530834
IGFBP5	3	TCGA,GSE27155,GSE126698	2.290150158317644	0.5306824782608688	1.442242314786368	1.0801053199005362	0.09595951109805288	11.255844340399653	2.1674035250225333e-29	1.4155065836180107	0.7167797877651539	1.9748137542095257	0.048289287593841435	1.519748472573669e-30	70.44860040822093	2.0	97.16105076834626	1.4024163046346143	True	False	True	[('TCGA', 2.290150158317644, 0.17477207333003866), ('GSE27155', 0.5306824782608688, 0.11656675852835192), ('GSE126698', 1.442242314786368, 0.6644754787534143)]	0.17812003674261254
HLA-B	2	TCGA,GSE27155	1.2664302298631327	0.1381978478260892		0.2969397538929081	0.04204599659541735	7.06225985675107	1.638162672391135e-12	0.6976574235584041	0.5640969711878638	1.2367686039676677	0.2161730010206636	1.4991004936758544e-26	87.05341971290669	1.0	98.85128004931006	0.6291430780952046	True	False	True	[('TCGA', 1.2664302298631327, 0.1120929078928436), ('GSE27155', 0.1381978478260892, 0.0453578183635299)]	0.4521872817843036
NPC2	3	TCGA,GSE27155,GSE126698	0.922309654663815	0.0610466956521724	1.4679698218812467	0.22875224209408548	0.041746316456626936	5.479579074521499	4.2633887863711565e-08	0.7331799033879906	0.3830126542809829	1.9142445952976805	0.05558891005738787	2.705036943096776e-15	70.5809587026068	2.0	97.16637456225693	0.3856092763482588	True	False	True	[('TCGA', 0.922309654663815, 0.09826577172272803), ('GSE27155', 0.0610466956521724, 0.04636184700654978), ('GSE126698', 1.4679698218812467, 0.4471364691097608)]	0.19578883494923374
