gene	w_flip	rank
ST3GAL6	0.010526496164758235	1
NQO1	0.009857615535308024	2
SYT12	-0.009656303035697339	3
DCSTAMP	-0.009436450916072023	4
NUCB2	0.009408495955133012	5
STAC	-0.009273097086992983	6
MAPRE3	0.008987875383955766	7
HMBS	0.008921648288309054	8
WNT4	0.008918313598949346	9
PDE8B	0.008901231415358011	10
GALNT10	0.00883024627019138	11
POLR3K	0.008823568700256336	12
PRKACB	0.008818873165478403	13
TMPRSS6	-0.008761333137692104	14
CYB561	0.008573708546147937	15
VAV3	0.00855776567629881	16
ATG10	0.008543018200403759	17
ARHGAP22	0.008535374318827952	18
MT1F	0.008479476298803579	19
MMP15	0.008458477375727013	20
GPR153	-0.008434629812191001	21
SRPRB	0.008402533171539038	22
PBX3	0.008363784771059528	23
KCNAB1	0.008340123284780423	24
PLEKHA6	-0.008334068195154018	25
RND2	0.008333255527490317	26
ANXA2P2	-0.008326674582981475	27
SLC25A38	0.008304599922901643	28
CLPB	0.008287575816185114	29
SNRNP25	0.008270952461605155	30
MLEC	0.008259288991752545	31
MT1G	0.00825764524965341	32
GABRB3	0.008253662020011255	33
SORBS2	0.00824433988807674	34
SLC35B1	0.008223727819704943	35
YIPF1	0.008216315357300875	36
HGD	0.008205395673630888	37
MCCC2	0.008094583178795833	38
SCARB1	0.008090091163942097	39
GNAI1	0.008075538795052583	40
QDPR	0.008052352675185247	41
GLMN	0.008037810674722062	42
CACNB4	0.008037675538228102	43
ACSF2	0.00795437926174685	44
ATP6V0E2	0.007933728301582395	45
TIMM17B	0.007933407688606925	46
ANKRD46	0.007914966737810746	47
NOL3	0.007908401698392529	48
FAAH	0.007907471939953361	49
BDH1	0.007906959473414254	50
KCNQ1	0.007892209753511757	51
GNAS	0.007868606718614127	52
FCHO1	-0.007837855367702845	53
PNPO	0.007821164957478904	54
GNA14	0.007818386050735145	55
SLC33A1	0.007794377656250458	56
STOML1	0.007776939826088009	57
PAIP2B	0.007740650804345342	58
ELMO1	0.007727836566886543	59
DUOX2	0.0077099318462716115	60
ELAC1	0.007707577156830479	61
ADCY9	0.007689778282096771	62
RAD51D	0.007676175080160989	63
UNC119	0.007675702989552993	64
CTIF	0.00767244752166969	65
UBE2O	0.0076639799882427095	66
WASF3	0.007662627621536321	67
CXXC4	0.007646578144501155	68
ITGB8	-0.00764372945829174	69
PPIF	0.0075869472833517936	70
PRSS16	0.007575115407962808	71
NDFIP1	0.007570972845808897	72
CDIP1	0.007566980853468186	73
TPMT	0.0075028991736559615	74
NRSN2	0.007487721268639231	75
GCNT4	-0.007480249728376555	76
TPO	0.007473357368407714	77
HES1	0.007471733077522025	78
SLC25A42	0.00746889895681167	79
ABCC8	0.0074567858132523375	80
ACOX2	0.007444392586360732	81
MPC1	0.007443810813232112	82
PAK6	0.007437666912055307	83
ANAPC13	0.007437216024881787	84
CLN5	0.007427387991800236	85
EIF2B2	0.007400859782397361	86
HSPB11	0.007390445366277287	87
LGMN	0.007384279743529544	88
UST	0.007381123473815683	89
FGF9	-0.007371298441597566	90
CALR	0.007349378069361842	91
KLK7	-0.007346339860331074	92
AACS	0.007324999626054792	93
RGN	0.0073246028477294695	94
CD24	0.007322778183323375	95
SERGEF	0.007313988671442877	96
TMEM254	0.007298590871011882	97
RUNX2	-0.007289559879944098	98
CPT2	0.0072818662578046055	99
BNC1	-0.007238872364467835	100
