gene	w_preserve	rank
DCSTAMP	0.08110924680515005	1
SYT12	0.07787016725304338	2
PLEKHA6	0.07540011492409825	3
TMPRSS6	0.07506107076714034	4
WNT4	-0.07452448500672933	5
KCNN4	0.07429893822863266	6
CACNB4	-0.0735421570128229	7
ITGB8	0.07277627186092668	8
ST3GAL6	-0.07273345638734137	9
TACSTD2	0.07144265244780051	10
RUNX2	0.07019667896973938	11
KLK7	0.06983281443294695	12
RND3	0.06951246256009505	13
SLC27A6	0.06914246571926227	14
STAC	0.06885473341701712	15
TMPRSS4	0.06852404280989137	16
HGD	-0.06765480820727802	17
GPR153	0.06754736245724521	18
CST6	0.06731943065760039	19
CYP1B1	0.06723207192986692	20
B3GNT3	0.06691531740425119	21
PDLIM4	0.06630692414524961	22
GNA14	-0.06621995873224877	23
GABRB2	0.06618796676184693	24
MGAT3	0.0660061698906553	25
TFAP2C	0.06573925670743348	26
ABCC8	-0.06570316961276282	27
CNTFR	-0.06541613304693165	28
CACNB2	-0.06528129805188987	29
SFTPB	0.06508832071768884	30
PTPRE	0.06490243704576612	31
WASF3	-0.06485809543499585	32
GABRB3	-0.064418214661147	33
COL8A2	0.064346942860926	34
CLDN10	0.06431068619823307	35
FCHO1	0.0641580788832038	36
ELF3	0.06414654963024136	37
CXXC4	-0.06410088212353271	38
KCNAB1	-0.06373484578302634	39
ASRGL1	-0.06351156361321487	40
MT1F	-0.06347682395599442	41
GCNT4	0.06346623061742551	42
LAMB3	0.06327319276043704	43
MT1G	-0.06327012700414408	44
MAMLD1	0.06279140498834435	45
ETHE1	0.06253052274459177	46
MST1R	0.06234512154702963	47
GJB3	0.06227970649681322	48
FGF12	-0.06220021921297534	49
ABTB2	0.06214147054428498	50
DSC2	0.062137513889795215	51
LDLR	0.06200521518077738	52
RIN1	0.06180931636325619	53
JAK3	0.06172331360879829	54
MAPT	-0.06169817328599099	55
SCGB2A1	-0.06141372710729805	56
STXBP5L	-0.061372740350190184	57
ST6GALNAC5	0.061331945907289895	58
EPHB3	0.061174801766222635	59
STK17B	0.06113148070973226	60
SFN	0.06105726452485713	61
KCNQ3	0.061054798694704	62
NTAN1	0.06069450480626478	63
KLK10	0.06065384172093841	64
ARSJ	0.06062425193259753	65
SLC34A2	0.060376488359249914	66
BEAN1	0.060354559608522	67
BNC1	0.06035202554066277	68
MUC1	0.06018046219556906	69
ATRNL1	-0.060023726669136246	70
MSI1	-0.059845314135817576	71
RGS17	-0.059756533076106524	72
TTLL7	-0.05974186387348534	73
PAIP2B	-0.05967426238301635	74
ANXA3	0.059538063714945924	75
MT1H	-0.05910380453049706	76
RASGRF1	0.058971731043261075	77
CKMT2	-0.058873293397727275	78
EPPK1	0.05886663416553604	79
SCNN1A	0.05874744004486836	80
ETNPPL	-0.058707660676313916	81
KRT19	0.058627553014301725	82
SPX	-0.05851452223736039	83
SLC35F2	0.058510440651066115	84
SLC6A12	0.05847479012794567	85
SLC4A4	-0.058384709499338175	86
ARNTL	0.05838368929369911	87
MPPED2	-0.05833013928277389	88
VAV3	-0.058292790373195576	89
S100A10	0.05827876847376079	90
EBI3	0.05824744162650965	91
SULT2B1	0.05822863933402362	92
HPSE	0.05818316814920132	93
SFTPC	-0.05811997413636923	94
PRSS22	0.05808677518840619	95
ARHGAP22	-0.05807278684836488	96
FN1	0.057848064502646054	97
PIWIL1	-0.057801143240936326	98
TGM1	0.057751952140289886	99
PKP2	0.05773602393168528	100
