module_id	r_Y	pval_Y	r_cohort	pval_cohort	class_a_mean	class_b_mean
M001	0.39597368	3.627845e-16	0.91419816	0.0	1.3587485551834106	-6.143075942993164
M002	0.20412244	4.671971e-05	0.96406627	0.0	0.6174176335334778	-2.7914223670959473
M003	0.22109962	9.944808e-06	0.97000235	0.0	0.6889762878417969	-3.11495041847229
M004	0.26029536	1.7180874e-07	0.9743594	0.0	1.0747836828231812	-4.85923433303833
M005	0.25215718	4.225999e-07	0.958717	0.0	1.077489972114563	-4.871469497680664
M006	0.32443193	4.6484528e-11	0.9076619	0.0	1.2993677854537964	-5.874606609344482
M007	0.23535207	2.4627275e-06	0.890755	0.0	0.5947763919830322	-2.6890597343444824
M008	0.24246262	1.186607e-06	0.9276763	0.0	0.9695942997932434	-4.3836588859558105
M009	0.324656	4.5004084e-11	0.9549998	0.0	1.5251137018203735	-6.8952317237854
M010	0.429704	4.7946997e-19	0.8822221	0.0	1.515313982963562	-6.850927352905273
M011	0.30460626	7.33937e-10	0.9156813	0.0	0.7341233491897583	-3.319064140319824
M012	-0.056926005	0.2608475	0.94203234	0.0	-0.2349148988723755	1.0620801448822021
M013	-0.06164761	0.2232916	0.90925777	0.0	-0.23296748101711273	1.0532755851745605
M014	-0.054613445	0.2807466	0.8927733	0.0	-0.13948658108711243	0.6306367516517639
M015	-0.040188447	0.42750406	0.94782305	0.0	-0.13780388236045837	0.6230277419090271
M016	-0.04474472	0.37695867	0.9076797	0.0	-0.12233536690473557	0.5530931949615479
M017	-0.14110602	0.0051284735	0.88136363	0.0	-0.40610283613204956	1.8360416889190674
M018	-0.10684348	0.034456037	0.9061806	0.0	-0.3176541328430176	1.4361542463302612
M019	-0.035307113	0.48578322	0.9705414	0.0	-0.12005824595689774	0.5427988767623901
M020	-0.0680788	0.1785777	0.94541353	0.0	-0.17586348950862885	0.7951004505157471
M021	-0.14418523	0.0042288513	0.91452366	0.0	-0.46061572432518005	2.0825021266937256
