module_id	n_genes	max_jaccard	best_match_db	best_match_pathway	novel	novel_marker	top_genes	r_Y	module_preserved
M001	63	0.0353	GO_Biological_Process_2023	Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230)	True	False	MVP,TAGLN2,ITGA3,BCL2L1,RARG,TNFRSF1A,S100A11,TMSB4X,ECE1,ANXA2	0.39597368	True
M002	47	0.0543	Reactome_2022	Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695	True	False	RPS9,RPS3,RPLP1,PUF60,RPS4X,RPL12,EIF3F,CDK9,HMCES,PSME1	0.20412244	True
M003	51	0.0349	GO_Biological_Process_2023	RNA 3'-End Processing (GO:0031123)	True	False	ILF3,HNRNPDL,APLP2,WTAP,PKP4,PTPN2,TAF15,SNX1,RNF115,IFT57	0.22109962	True
M004	89	0.037	GO_Biological_Process_2023	Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)	True	False	MAPKAPK2,ANXA11,NECAP2,ARPC2,LMNA,F11R,MYL12A,PEA15,HDGF,CCT8	0.26029536	True
M005	96	0.0339	Reactome_2022	Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769	True	False	SF3B3,XRCC5,RAB14,ADAR,DYNC1H1,TLN1,MPRIP,LAMC1,MORF4L1,GORASP2	0.25215718	True
M006	83	0.0361	KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	True	False	TEAD1,IQGAP1,AGFG1,ABI1,DOCK9,DYNC1I2,MACF1,JAK1,CAND1,SVIL	0.32443193	True
M007	32	0.0541	GO_Biological_Process_2023	Positive Regulation Of Adipose Tissue Development (GO:1904179)	True	False	NCOA2,NBN,KIDINS220,OTUD4,PRKDC,GNG12,ADNP,USP1,MAP3K7,UTRN	0.23535207	False
M008	82	0.03	Reactome_2022	Interleukin-37 Signaling R-HSA-9008059	True	False	WDR82,UBA2,G3BP1,ARID4B,TMEM131,HERC4,PTPN12,BIRC2,WDR26,CUL4B	0.24246262	True
M009	117	0.0482	GO_Biological_Process_2023	Actin Filament Organization (GO:0007015)	True	False	FLII,FLNA,MYH9,MAP4,CAP1,ARF6,TPM3,KANK2,ARAP1,SP100	0.324656	True
M010	67	0.0352	GO_Biological_Process_2023	Wound Healing (GO:0042060)	True	False	PTPRF,ACVR1,CNN3,PAM,COL8A1,PAPSS1,TMEM43,LASP1,SPATS2L,MYH10	0.429704	True
M011	30	0.0526	GO_Biological_Process_2023	Regulation Of Calcium Ion Import Across Plasma Membrane (GO:1905664)	True	False	RAD23B,PRNP,ERLIN1,LMBRD1,HS2ST1,SMIM14,SLC17A5,HMGN4,TDRKH,EDEM1	0.30460626	True
M012	88	0.0909	GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	True	False	COX7C,NDUFA4,PRDX2,SLC25A11,CYC1,CNPPD1,HMGCL,TMED3,SUCLG1,POLDIP2	-0.056926005	True
M013	72	0.0391	GO_Biological_Process_2023	Fatty Acid Catabolic Process (GO:0009062)	True	False	COQ4,FAM3A,PIGQ,TMEM115,ERI3,GPS1,NDUFB7,ARMC6,TECR,SGTA	-0.06164761	True
M014	33	0.0652	GO_Biological_Process_2023	Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)	True	False	COPE,NDUFB11,COX6B1,ZNHIT1,COX4I1,TXNL4A,EDF1,TEX264,SHARPIN,FASTK	-0.054613445	True
M015	61	0.0481	KEGG_2021_Human	Valine, leucine and isoleucine degradation	True	False	GHITM,STRAP,UQCRC2,PRDX3,AAGAB,HSPA9,SCFD1,OGDH,MAPRE1,CALCOCO2	-0.040188447	True
M016	39	0.0294	Reactome_2022	Glyoxylate Metabolism And Glycine Degradation R-HSA-389661	True	False	ATRN,EIF4G3,AP5M1,YIPF6,SLC25A46,NDUFS1,RHOT1,NNT,SPTBN1,MRPL19	-0.04474472	True
M017	44	0.037	Reactome_2022	Regulation Of Glycolysis By Fructose 2,6-Bisphosphate Metabolism R-HSA-9634600	True	False	ADIPOR2,RMDN1,MAGT1,AAK1,ALDH9A1,HSD17B4,MCCC2,VAPB,LYRM2,PHKB	-0.14110602	True
M018	47	0.0385	GO_Biological_Process_2023	Protein Localization To Ciliary Transition Zone (GO:1904491)	True	False	NELFCD,UBE2O,IFT140,UBE2G2,SUGP2,KDM4B,MARK3,TCTN1,GORASP1,CRY2	-0.10684348	True
M019	60	0.0426	GO_Biological_Process_2023	Amino Acid Catabolic Process (GO:0009063)	True	False	YKT6,GOT2,HADHA,P4HB,BAP1,DHDDS,AKT2,GAPDH,XPO6,AGBL5	-0.035307113	True
M020	35	0.0339	GO_Biological_Process_2023	Positive Regulation Of Monooxygenase Activity (GO:0032770)	True	False	STK25,NFYC,NRSN2,ZNF76,REPIN1,HDAC1,MED25,IPO13,MAGED2,GNAS	-0.0680788	True
M021	54	0.0328	Reactome_2022	ATF6 (ATF6-alpha) Activates Chaperone Genes R-HSA-381183	True	False	VDAC3,ANAPC13,MTCH1,HSP90B1,TCTA,CALR,TMX2,RTN3,RDH11,KCNQ1	-0.14418523	True
