gene	module_id	module_size	eigengene_corr_Y	eigengene_pval_Y	eigengene_corr_cohort	module_preserved
TACSTD2	M000	1182				False
TMPRSS4	M000	1182				False
PLEKHA6	M000	1182				False
CYP1B1	M000	1182				False
LDLR	M000	1182				False
GABRB2	M000	1182				False
B3GNT3	M000	1182				False
PTPRE	M000	1182				False
KCNQ3	M000	1182				False
LY6E	M000	1182				False
TAGLN2	M001	63	0.39597368	3.627845e-16	0.91419816	True
PDLIM4	M000	1182				False
ITGA3	M001	63	0.39597368	3.627845e-16	0.91419816	True
BID	M000	1182				False
CST6	M000	1182				False
MAMLD1	M000	1182				False
COL8A2	M000	1182				False
MICAL2	M000	1182				False
SFN	M000	1182				False
TGFBR1	M010	67	0.429704	4.7946997e-19	0.8822221	True
QSOX1	M001	63	0.39597368	3.627845e-16	0.91419816	True
ARNTL	M000	1182				False
SDC4	M000	1182				False
LAMB3	M000	1182				False
PDE5A	M010	67	0.429704	4.7946997e-19	0.8822221	True
DRAM1	M000	1182				False
CTSC	M000	1182				False
ALOX5	M000	1182				False
AHNAK2	M000	1182				False
S100A10	M000	1182				False
DTX4	M000	1182				False
SLC35F2	M000	1182				False
SLC4A4	M000	1182				False
ANXA2	M001	63	0.39597368	3.627845e-16	0.91419816	True
AMOT	M010	67	0.429704	4.7946997e-19	0.8822221	True
C11orf80	M000	1182				False
EPHB3	M000	1182				False
IL1RAP	M000	1182				False
TBC1D2	M000	1182				False
MDFIC	M010	67	0.429704	4.7946997e-19	0.8822221	True
PELI1	M000	1182				False
CFH	M000	1182				False
SEL1L3	M000	1182				False
PROS1	M000	1182				False
TNFRSF21	M000	1182				False
SOX4	M000	1182				False
ICAM1	M000	1182				False
OSMR	M000	1182				False
STK17B	M000	1182				False
ALDH3B1	M000	1182				False
ANXA2P2	M000	1182				False
ITGB4	M001	63	0.39597368	3.627845e-16	0.91419816	True
CHI3L1	M000	1182				False
C1orf116	M000	1182				False
MVP	M001	63	0.39597368	3.627845e-16	0.91419816	True
PALM	M000	1182				False
EMP2	M001	63	0.39597368	3.627845e-16	0.91419816	True
PLAUR	M000	1182				False
FHL1	M000	1182				False
MTMR11	M000	1182				False
HRH1	M000	1182				False
S100A6	M001	63	0.39597368	3.627845e-16	0.91419816	True
TNC	M000	1182				False
LAMP5	M000	1182				False
AHNAK	M006	83	0.32443193	4.6484528e-11	0.9076619	True
SFTPB	M000	1182				False
EBI3	M000	1182				False
GSN	M001	63	0.39597368	3.627845e-16	0.91419816	True
CCL13	M000	1182				False
GBP2	M000	1182				False
ADCY7	M000	1182				False
FLNA	M009	117	0.324656	4.5004084e-11	0.9549998	True
TGM2	M000	1182				False
GGCT	M000	1182				False
FLII	M009	117	0.324656	4.5004084e-11	0.9549998	True
RARG	M001	63	0.39597368	3.627845e-16	0.91419816	True
ZFP69B	M000	1182				False
SLPI	M000	1182				False
GABRB3	M000	1182				False
CDC42EP1	M000	1182				False
SPATS2L	M010	67	0.429704	4.7946997e-19	0.8822221	True
CTSH	M000	1182				False
ANXA1	M000	1182				False
EHBP1L1	M001	63	0.39597368	3.627845e-16	0.91419816	True
DHRS9	M000	1182				False
ATIC	M001	63	0.39597368	3.627845e-16	0.91419816	True
COL8A1	M010	67	0.429704	4.7946997e-19	0.8822221	True
PLAU	M000	1182				False
PPARGC1A	M000	1182				False
PLXNC1	M000	1182				False
ENDOD1	M010	67	0.429704	4.7946997e-19	0.8822221	True
STAT1	M000	1182				False
LRRC2	M000	1182				False
STXBP5L	M000	1182				False
SGMS1	M010	67	0.429704	4.7946997e-19	0.8822221	True
LYN	M000	1182				False
GPR153	M000	1182				False
CD47	M000	1182				False
ELF3	M000	1182				False
ZNF217	M006	83	0.32443193	4.6484528e-11	0.9076619	True
MBOAT2	M010	67	0.429704	4.7946997e-19	0.8822221	True
ARF6	M009	117	0.324656	4.5004084e-11	0.9549998	True
RUNX2	M000	1182				False
HGD	M000	1182				False
MSMO1	M009	117	0.324656	4.5004084e-11	0.9549998	True
