source	gene
Chakravarty_2011_BRS52	ANGPTL4
Chakravarty_2011_BRS52	CCL20
Chakravarty_2011_BRS52	CCND1
Chakravarty_2011_BRS52	CEACAM6
Chakravarty_2011_BRS52	CITED1
Chakravarty_2011_BRS52	CLDN10
Chakravarty_2011_BRS52	CXCL10
Chakravarty_2011_BRS52	CXCL11
Chakravarty_2011_BRS52	CXCL14
Chakravarty_2011_BRS52	DIO1
Chakravarty_2011_BRS52	DIO2
Chakravarty_2011_BRS52	DUOX1
Chakravarty_2011_BRS52	DUOX2
Chakravarty_2011_BRS52	DUSP4
Chakravarty_2011_BRS52	DUSP5
Chakravarty_2011_BRS52	DUSP6
Chakravarty_2011_BRS52	ERBB3
Chakravarty_2011_BRS52	ETV5
Chakravarty_2011_BRS52	FN1
Chakravarty_2011_BRS52	FOSL1
Chakravarty_2011_BRS52	FOXE1
Chakravarty_2011_BRS52	HMGA2
Chakravarty_2011_BRS52	IL1B
Chakravarty_2011_BRS52	IL6
Chakravarty_2011_BRS52	IL8
Chakravarty_2011_BRS52	KRT19
Chakravarty_2011_BRS52	LAMB3
Chakravarty_2011_BRS52	LCN2
Chakravarty_2011_BRS52	LGALS3
Chakravarty_2011_BRS52	LRP4
Chakravarty_2011_BRS52	MET
Chakravarty_2011_BRS52	MMP7
Chakravarty_2011_BRS52	MMP9
Chakravarty_2011_BRS52	NKX2-1
Chakravarty_2011_BRS52	ODAM
Chakravarty_2011_BRS52	PAX8
Chakravarty_2011_BRS52	PHLDA1
Chakravarty_2011_BRS52	PLAU
Chakravarty_2011_BRS52	SERPINA1
Chakravarty_2011_BRS52	SERPINE1
Chakravarty_2011_BRS52	SLC26A4
Chakravarty_2011_BRS52	SLC34A2
Chakravarty_2011_BRS52	SLC5A5
Chakravarty_2011_BRS52	SPRY2
Chakravarty_2011_BRS52	SPRY4
Chakravarty_2011_BRS52	TFF3
Chakravarty_2011_BRS52	TG
Chakravarty_2011_BRS52	TIMP1
Chakravarty_2011_BRS52	TNFRSF11B
Chakravarty_2011_BRS52	TPO
Chakravarty_2011_BRS52	TSHR
