source	gene
Pu_2021_scRNA	ACTA2
Pu_2021_scRNA	CD163
Pu_2021_scRNA	CD19
Pu_2021_scRNA	CD3D
Pu_2021_scRNA	CD4
Pu_2021_scRNA	CD68
Pu_2021_scRNA	CD79A
Pu_2021_scRNA	CD8A
Pu_2021_scRNA	CDH1
Pu_2021_scRNA	CDH2
Pu_2021_scRNA	CLDN1
Pu_2021_scRNA	CLDN10
Pu_2021_scRNA	COL1A1
Pu_2021_scRNA	COL3A1
Pu_2021_scRNA	DIO1
Pu_2021_scRNA	DIO2
Pu_2021_scRNA	EPCAM
Pu_2021_scRNA	FN1
Pu_2021_scRNA	FOXE1
Pu_2021_scRNA	FOXP3
Pu_2021_scRNA	KRT18
Pu_2021_scRNA	KRT19
Pu_2021_scRNA	KRT8
Pu_2021_scRNA	MS4A1
Pu_2021_scRNA	PAX8
Pu_2021_scRNA	PDGFRB
Pu_2021_scRNA	TG
Pu_2021_scRNA	TPO
Pu_2021_scRNA	TSHR
Pu_2021_scRNA	VIM
