pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
40768862	trans-Styrylquinazolinone CYP1B1 inhibitors as potential therapeutics in A549 cells.	2025	European journal of medicinal chemistry	drug		0	0	0
40543994	Inhibition of CYP1B1 by miR-200b-3p increases the sensitivity of paclitaxel in hepatocellular carcinoma treatment.	2025	Journal of pharmacological sciences	cancer,drug	mixed	0	0	0
30638277	Pan-cancer genomic analyses reveal prognostic and immunogenic features of the tumor melatonergic microenvironment across 14 solid cancer types.	2019	Journal of pineal research	thyroid		1	0	0
40119746	Amino Acid Stress Response Genes Contribute to a 25-Fold Increased Risk of L-Asparaginase-Induced Hypersensitivity.	2025	Pediatric blood &amp; cancer	cancer	up	0	0	0
37773677	Network Pharmacology-Based Identification of Key Pharmacological Mechanism of Shen-qi-di-huang Decoction Acting on Uremia.	2024	Alternative therapies in health and medicine	thyroid	mixed	0	0	1
40258480	Association between drug-induced heart failure and CYP1A1, CYP1B1, and CYP3A4 inhibition: Utility of cytochrome P450 inhibition assay for evaluating cardiotoxicity of drug candidates.	2025	Toxicology in vitro : an international journal published in association with BIB	drug		0	0	0
40602501	Jianpi Huayu Jiedu Decoction prevents the progression of H. pylori and MNU-induced gastric precancerous lesions by inhibiting ferroptosis and remodeling linoleic acid metabolism.	2025	Journal of ethnopharmacology	cancer		0	0	0
40883330	Proanthocyanidins inhibit CYP1B1 through mixed-type kinetics and stable binding in molecular dynamics simulations.	2025	Scientific reports	cancer,drug		0	0	1
40224436	Integrated Network Pharmacology, Molecular Modeling, LC-MS Profiling, and Semisynthetic Approach for the Roots of Rubia tinctorum L. Metabolites in Cancer Treatment.	2025	ACS omega	cancer		0	0	0
26356387	Bioconcentration, metabolism and alterations of thyroid hormones of Tris(1,3-dichloro-2-propyl) phosphate (TDCPP) in Zebrafish.	2015	Environmental toxicology and pharmacology	thyroid	up	0	1	0
38763096	Impact of benzo[a]pyrene, PCB153 and sex hormones on human ESC-Derived thyroid follicles using single cell transcriptomics.	2024	Environment international	thyroid	mixed	0	0	0
39884998	Dissecting macrophage heterogeneity and kaempferol in lung adenocarcinoma: a single-cell transcriptomic approach and network pharmacology.	2025	Discover oncology	cancer		0	0	0
40453864	Potential of Indole-3-Carbinol compounds from broccoli (Brassica oleracea var. italica) as natural aromatase blockers: In silico prediction and in vivo studies.	2025	Open veterinary journal	drug		0	0	0
40532857	Kynurenine enhances aryl hydrocarbon receptor signaling and expression levels of multidrug resistance genes in head and neck squamous cell carcinoma cell lines but does not change the potency of antineoplastic drugs.	2025	Toxicology and applied pharmacology	cancer,drug	up	0	0	0
40057208	B7-H3-mediated deubiquitination stabilizing CYP1B1 expression promotes chemotherapy resistance in colorectal cancer.	2025	Biochimica et biophysica acta. Molecular basis of disease	cancer	up	1	0	0
