pmid	title	year	journal	query_types	direction	outcome	clinical	druggable
40762051	Ponatinib, But Not the New Abl-Kinase Inhibitor Asciminib, Activates Platelets, Leukocytes, and Endothelial Cell TNF Signaling to Induce Atherosclerotic Plaque Inflammation, Myocardial Infarction, and Stroke.	2025	Circulation	cancer	up	0	1	1
30270055	Unusual genetic variants associated with hypercholesterolemia in Argentina.	2018	Atherosclerosis	thyroid	up	0	0	0
41529909	Decoding adipocyte heterogeneity through single-nucleus transcriptomics unveils subtype-specific adipocytes orchestrate immunosuppressive niches in breast cancer.	2026	Journal for immunotherapy of cancer	cancer		1	0	0
41511735	Toward an Integrated Therapeutic Approach for&#xa0;Familial Hypercholesterolemia.	2026	Current medical science	drug	up	0	0	0
40868968	A Novel Small-Molecule GRP94 Modulator Increases PCSK9 Secretion and Promotes LDLR Degradation.	2025	Life (Basel, Switzerland)	cancer		0	0	1
41890866	Sex-specific lymphatic responses to estrogen shape atherosclerosis in high-risk mice.	2026	Frontiers in cardiovascular medicine	drug		0	0	1
39744172	HPV-Associated Gene Signatures in Bladder Cancer: A Comprehensive Prognostic Model and its Implications in Immunotherapy.	2025	International journal of medical sciences	cancer		1	0	0
41702822	The impact of genetic testing on physician practice in specialized cardiovascular clinics.	2026	Journal of clinical lipidology	drug		0	0	1
41671678	Efficacy of evinacumab by genotype and low-density lipoprotein receptor function in patients with homozygous familial hypercholesterolaemia: A subanalysis from the ELIPSE open-label extension study.	2026	Atherosclerosis	drug		0	0	1
32161203	Gestational hypothyroidism elicits more pronounced lipid dysregulation in mice than pre-pregnant hypothyroidism.	2020	Endocrine journal	thyroid		0	0	0
30908637	Hepatic Inactivation of the Type 2 Deiodinase Confers Resistance to Alcoholic Liver Steatosis.	2019	Alcoholism, clinical and experimental research	thyroid	up	0	0	0
41707497	LDLR and APOB pathogenic variants predict discordant TSH effect on LDL-C.	2026	Atherosclerosis	thyroid		0	0	0
41987917	Antimicrobial therapy combined with C-C chemokine receptor type 2 modulation dampens mycobacteria-aggravated monocyte activation and atherosclerosis.	2026	Frontiers in cardiovascular medicine	drug	mixed	0	0	1
27454254	Abstracts from the 3rd International Genomic Medicine Conference (3rd IGMC 2015) : Jeddah, Kingdom of Saudi Arabia. 30 November - 3 December 2015.	2016	BMC genomics	thyroid,braf		0	0	0
41744066	Hepatocyte-Specific Knockout of YAP Protects Against Atherosclerosis via Inhibition of ANGPTL3 in Mice.	2026	Arteriosclerosis, thrombosis, and vascular biology	drug	up	0	0	0
41055203	Up-regulation of intra-tumour LDLR gene expression is associated with statin treatment and better prostate cancer prognosis.	2025	Acta oncologica (Stockholm, Sweden)	cancer	up	1	0	0
41890397	Efficient Synthesis of Enlicitide Chloride through Convergent Solution-Phase and Hybrid Solution-Solid-Phase Strategies.	2026	Precision chemistry	drug	up	0	0	1
41614802	Beyond the Exome: The Role of Noncoding and Regulatory Variants in Monogenic Diseases.	2025	Current issues in molecular biology	drug	up	0	0	0
