chembl_id	name	smiles	max_phase	first_approval	oral	parenteral	withdrawn	molecule_type	max_sim_to_ref	mw	logp	tpsa	hba	hbd	rotb	rings	qed	fsp3	target
CHEMBL1496	rosuvastatin	CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O	4.0	2003.0	True	False	False	Small molecule	1.0	481.55	2.4	140.92	7	3	10	2	0.47	0.409	LDLR
CHEMBL1138	ezetimibe	O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1	4.0	2002.0	True	False	False	Small molecule	1.0	409.43	4.89	60.77	3	2	6	4	0.57	0.208	LDLR
CHEMBL1064	simvastatin	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	4.0	1991.0	True	False	False	Small molecule	1.0	418.57	4.59	72.83	5	1	6	3	0.639	0.76	LDLR
CHEMBL1487	atorvastatin	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	4.0	1996.0	True	False	False	Small molecule	0.766	558.65	6.31	111.79	4	4	12	4	0.163	0.273	LDLR
CHEMBL503	lovastatin	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	4.0	1987.0	True	False	False	Small molecule	0.742	404.55	4.2	72.83	5	1	6	3	0.672	0.75	LDLR
CHEMBL1477	cerivastatin	COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1	4.0	1997.0	True	False	True	Small molecule	0.577	459.56	4.88	99.88	5	3	11	2	0.443	0.462	LDLR
CHEMBL1200563	cerivastatin sodium	COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]	4.0	1997.0	True	False	True	Small molecule	0.481	481.54	0.55	102.71	6	2	11	2	0.455	0.462	LDLR
CHEMBL1201753	pitavastatin	O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1	4.0	2009.0	True	False	False	Small molecule	0.455	421.47	4.52	90.65	4	3	8	4	0.498	0.28	LDLR
CHEMBL1144	pravastatin	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21	4.0	1991.0	True	False	False	Small molecule	0.386	424.53	2.44	124.29	6	4	10	2	0.397	0.739	LDLR
CHEMBL1237061	pitavastatin calcium	O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.O=C([O-])C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1.[Ca+2]	4.0	2009.0	True	False	False	Small molecule	0.386	881.0	5.99	186.96	10	4	16	8	0.084	0.28	LDLR
CHEMBL690	pravastatin sodium	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]	4.0	1991.0	True	False	False	Small molecule	0.376	446.52	-1.89	127.12	7	3	10	2	0.265	0.739	LDLR
CHEMBL1324	tolcapone	Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1	4.0	1997.0	True	False	True	Small molecule	0.356	273.24	2.55	100.67	5	2	3	2	0.387	0.071	LDLR
CHEMBL898	diflunisal	O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O	4.0	1982.0	True	False	False	Small molecule	0.341	250.2	3.04	57.53	2	2	2	2	0.861	0.0	LDLR
CHEMBL550348	deferasirox	O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1	4.0	2005.0	True	False	False	Small molecule	0.333	373.37	3.71	108.47	5	3	4	4	0.503	0.0	LDLR
CHEMBL704	mesalamine	Nc1ccc(O)c(C(=O)O)c1	4.0	1987.0	True	False	False	Small molecule	0.316	153.14	0.67	83.55	3	3	1	1	0.409	0.0	LDLR
CHEMBL425	olsalazine	O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O	4.0	1990.0	True	False	False	Small molecule	0.308	302.24	2.91	139.78	6	4	4	2	0.64	0.0	LDLR
CHEMBL1020	tolmetin	Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1	4.0	1976.0	True	False	False	Small molecule	0.304	257.29	2.19	59.3	2	1	4	2	0.854	0.2	LDLR
CHEMBL1023	bexarotene	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	4.0	1999.0	True	False	False	Small molecule	0.292	348.49	6.1	37.3	1	1	3	3	0.727	0.375	LDLR
CHEMBL1265	adapalene	COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2	4.0	1996.0	False	False	False	Small molecule	0.291	412.53	6.68	46.53	2	1	4	7	0.52	0.393	LDLR
CHEMBL1228	oxyphenbutazone anhydrous	CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O	4.0	1960.0	True	False	True	Small molecule	0.283	324.38	3.49	60.85	3	1	5	3	0.856	0.263	LDLR
CHEMBL1169	aminosalicylic acid	Nc1ccc(C(=O)O)c(O)c1	4.0	1950.0	True	False	False	Small molecule	0.282	153.14	0.67	83.55	3	3	1	1	0.518	0.0	LDLR
CHEMBL201960	pyrovalerone	CCCC(C(=O)c1ccc(C)cc1)N1CCCC1	4.0		False	False	True	Small molecule	0.271	245.37	3.44	20.31	2	0	5	2	0.741	0.562	LDLR
CHEMBL256997	ataluren	O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1	4.0	2014.0	False	False	False	Small molecule	0.269	284.25	3.24	76.22	4	1	3	3	0.799	0.0	LDLR
CHEMBL1909289	xenazoic acid	CCOC(Nc1ccc(C(=O)O)cc1)C(=O)c1ccc(-c2ccccc2)cc1	4.0		False	False	True	Small molecule	0.269	375.42	4.71	75.63	4	2	8	3	0.44	0.13	LDLR
CHEMBL329522	exifone	O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O	4.0		False	False	True	Small molecule	0.268	278.22	1.15	138.45	7	6	2	2	0.358	0.0	LDLR
CHEMBL1722209	tolterodine tartrate	Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1.O=C(O)C(O)C(O)C(=O)O	4.0	1998.0	True	False	False	Small molecule	0.268	475.58	3.22	138.53	6	5	10	2	0.353	0.462	LDLR
CHEMBL897	probenecid	CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	4.0	1951.0	True	False	False	Small molecule	0.267	285.36	2.2	74.68	3	1	7	1	0.833	0.462	LDLR
CHEMBL459	methyldopa	C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O	4.0	1962.0	True	False	False	Small molecule	0.267	211.22	0.44	103.78	4	4	3	1	0.543	0.3	LDLR
CHEMBL1200613	tolmetin sodium	Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+]	4.0	1976.0	True	False	False	Small molecule	0.265	279.27	-2.14	62.13	3	0	4	2	0.474	0.2	LDLR
CHEMBL1201346	balsalazide	O=C(O)CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)O)c2)cc1	4.0	2000.0	True	False	False	Small molecule	0.264	357.32	2.71	148.65	6	4	7	2	0.56	0.118	LDLR
CHEMBL1625	oxybenzone	COc1ccc(C(=O)c2ccccc2)c(O)c1	4.0	1992.0	False	False	False	Small molecule	0.261	228.25	2.63	46.53	3	1	3	2	0.821	0.071	LDLR
CHEMBL1644	cefadroxil	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1	4.0	1978.0	True	False	False	Small molecule	0.26	363.4	0.15	132.96	6	4	4	3	0.56	0.312	LDLR
CHEMBL25202	tamibarotene	CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21	4.0	2005.0	True	False	False	Small molecule	0.26	351.45	4.99	66.4	2	2	3	3	0.819	0.364	LDLR
CHEMBL573	niacin	O=C(O)c1cccnc1	4.0	1982.0	True	False	False	Small molecule	0.256	123.11	0.78	50.19	2	1	1	1	0.6	0.0	LDLR
