chembl_id	name	smiles	max_phase	first_approval	oral	parenteral	withdrawn	molecule_type	max_sim_to_ref	mw	logp	tpsa	hba	hbd	rotb	rings	qed	fsp3	target
CHEMBL84	topotecan	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	4.0	1996.0	True	True	False	Small molecule	0.686	421.45	1.85	104.89	7	2	3	5	0.487	0.348	TACSTD2
CHEMBL1607	topotecan hydrochloride	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1.Cl	4.0	1996.0	True	True	False	Small molecule	0.676	457.91	2.27	104.89	7	2	3	5	0.455	0.348	TACSTD2
CHEMBL481	irinotecan	CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC	4.0	1996.0	False	True	False	Small molecule	0.495	586.69	4.09	114.2	8	1	4	7	0.356	0.515	TACSTD2
CHEMBL18	ethoxzolamide	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	4.0	1982.0	True	False	False	Small molecule	0.22	258.32	1.34	82.28	5	1	3	2	0.9	0.222	TACSTD2
CHEMBL100116	pentazocine	CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C	4.0	1967.0	True	True	False	Small molecule	0.207	285.43	3.88	23.47	2	1	2	3	0.834	0.579	TACSTD2
CHEMBL1405	estrone	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	4.0	1979.0	False	True	False	Small molecule	0.205	270.37	3.82	37.3	2	1	0	4	0.778	0.611	TACSTD2
CHEMBL1086	dibucaine	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1	4.0	1982.0	False	True	False	Small molecule	0.204	343.47	3.49	54.46	4	1	10	2	0.671	0.5	TACSTD2
CHEMBL193482	estriol	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O	4.0	2000.0	False	False	False	Small molecule	0.203	288.39	2.58	60.69	3	3	0	4	0.687	0.667	TACSTD2
CHEMBL1998966	pifoxime	C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1	4.0		False	False	True	Small molecule	0.202	276.34	2.28	62.13	4	1	4	2	0.521	0.467	TACSTD2
CHEMBL1200612	dibucaine hydrochloride	CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1.Cl	4.0	1982.0	False	True	False	Small molecule	0.202	379.93	3.91	54.46	4	1	10	2	0.636	0.5	TACSTD2
CHEMBL1200322	escitalopram oxalate	CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O	4.0	2002.0	True	False	False	Small molecule	0.2	414.43	2.97	110.86	5	2	5	3	0.724	0.318	TACSTD2
CHEMBL2005186	belumosudil	CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1	4.0	2021.0	True	False	False	Small molecule	0.198	452.52	4.82	104.82	6	3	7	5	0.327	0.154	TACSTD2
CHEMBL1627367	fluoroestradiol	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](F)[C@@H]2O	4.0	2020.0	False	True	False	Small molecule	0.198	290.38	3.56	40.46	2	2	0	4	0.767	0.667	TACSTD2
