depmap_id	cell_line	v14_prediction	mutation_label	compound	broad_id	dose_uM	moa	phase	logfold_change
ACH-000037	?	BRAF_like	other	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.431201859132
ACH-000037	?	BRAF_like	other	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	0.0648467080941
ACH-000037	?	BRAF_like	other	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	0.187055397887
ACH-000037	?	BRAF_like	other	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	0.420321994622
ACH-000037	?	BRAF_like	other	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.210080040618
ACH-000037	?	BRAF_like	other	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-1.95900145164
ACH-000037	?	BRAF_like	other	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	-0.0219953492515
ACH-000037	?	BRAF_like	other	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	0.148582757916
ACH-000037	?	BRAF_like	other	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-1.2822721548
ACH-000037	?	BRAF_like	other	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	-2.32484294657
ACH-000037	?	BRAF_like	other	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	-0.245950493127
ACH-000037	?	BRAF_like	other	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.231159430322
ACH-000037	?	BRAF_like	other	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.392242986564
ACH-000037	?	BRAF_like	other	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	0.238418963743
ACH-000037	?	BRAF_like	other	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.639402497199
ACH-000037	?	BRAF_like	other	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	-0.148005284472
ACH-000037	?	BRAF_like	other	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	-0.726470126786
ACH-000037	?	BRAF_like	other	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	0.310303926671
ACH-000037	?	BRAF_like	other	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	0.0974921766412
ACH-000037	?	BRAF_like	other	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	-0.118930723967
ACH-000037	?	BRAF_like	other	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.10497117253
ACH-000037	?	BRAF_like	other	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.0745012372517
ACH-000037	?	BRAF_like	other	topotecan	BRD-K55696337-003-24-4	2.50001813	topoisomerase inhibitor	Launched	-1.54536683962
ACH-000037	?	BRAF_like	other	gabexate	BRD-K59256312-066-15-7	2.431061328	serine protease inhibitor	Launched	-0.657117139828
ACH-000037	?	BRAF_like	other	resveratrol	BRD-K80738081-001-46-8	2.500037854	cytochrome P450 inhibitor, SIRT activator	Launched	0.258548460742
ACH-000163	SW579	RAS_like	other	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.0798399484386
ACH-000163	SW579	RAS_like	other	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	0.290632338715
ACH-000163	SW579	RAS_like	other	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	0.626250109405
ACH-000163	SW579	RAS_like	other	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	-0.112671943457
ACH-000163	SW579	RAS_like	other	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.330096695999
ACH-000163	SW579	RAS_like	other	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-1.26761829023
ACH-000163	SW579	RAS_like	other	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	0.729278533961
ACH-000163	SW579	RAS_like	other	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	1.03757723441
ACH-000163	SW579	RAS_like	other	simvastatin	BRD-K22134346-001-22-3	2.5	HMGCR inhibitor	Launched	-0.148914943174
ACH-000163	SW579	RAS_like	other	simvastatin	BRD-K22134346-001-24-9	2.42	HMGCR inhibitor	Launched	0.0204329110528
ACH-000163	SW579	RAS_like	other	clonazepam	BRD-K38183498-001-02-0	2.5	GABA benzodiazepine site receptor agonist	Launched	-1.05558542639
ACH-000163	SW579	RAS_like	other	ezetimibe	BRD-K42260897-001-07-6	2.48	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	0.385631541411
ACH-000163	SW579	RAS_like	other	ezetimibe	BRD-K42260897-001-09-2	2.5	cholesterol inhibitor, Niemann-Pick C1-like 1 protein antagonist	Launched	-0.409502774047
ACH-000163	SW579	RAS_like	other	zolpidem	BRD-K44876623-001-03-7	2.5	benzodiazepine receptor agonist	Launched	0.676594858956
ACH-000163	SW579	RAS_like	other	etomidate	BRD-K55055802-001-10-2	2.5	GABA receptor modulator	Launched	-0.388020611675
ACH-000163	SW579	RAS_like	other	indomethacin	BRD-K57222227-001-30-1	2.5	cyclooxygenase inhibitor	Launched	0.634529824624
ACH-000163	SW579	RAS_like	other	atorvastatin	BRD-K69726342-238-02-4	2.5	HMGCR inhibitor	Launched	0.455744284704
ACH-000163	SW579	RAS_like	other	baicalein	BRD-K72327355-001-14-7	2.5	lipoxygenase inhibitor	Preclinical	-0.635543730845
ACH-000163	SW579	RAS_like	other	propofol	BRD-K82255054-001-15-9	2.5	benzodiazepine receptor agonist	Launched	-0.351521084546
ACH-000163	SW579	RAS_like	other	rosuvastatin	BRD-K82941592-238-04-5	2.5	HMGCR inhibitor	Launched	0.0195033017525
ACH-000163	SW579	RAS_like	other	quercetin	BRD-K97399794-001-15-3	2.5	polar auxin transport inhibitor	Launched	0.423535982822
ACH-000163	SW579	RAS_like	other	flumazenil	BRD-K98769987-001-23-7	2.5	benzodiazepine receptor antagonist	Launched	0.0984027514997
ACH-000174	CAL-62	RAS_like	RAS	pomalidomide	BRD-A12994259-001-02-1	2.5	angiogenesis inhibitor, tumor necrosis factor production inhibitor	Launched	-0.656685956323
ACH-000174	CAL-62	RAS_like	RAS	lenalidomide	BRD-A17883755-001-06-1	2.5	anticancer agent	Launched	-0.185797215301
ACH-000174	CAL-62	RAS_like	RAS	thalidomide	BRD-A93255169-001-28-3	2.5	tumor necrosis factor production inhibitor	Launched	0.515905568349
ACH-000174	CAL-62	RAS_like	RAS	luteolin	BRD-K05236810-001-19-0	2.5	glucosidase inhibitor	Phase 2	-0.0520385293213
ACH-000174	CAL-62	RAS_like	RAS	nafamostat	BRD-K06674495-334-03-2	2.5	serine protease inhibitor	Launched	0.034973196553
ACH-000174	CAL-62	RAS_like	RAS	irinotecan	BRD-K08547377-394-03-5	2.5	topoisomerase inhibitor	Launched	-2.14640824568
ACH-000174	CAL-62	RAS_like	RAS	kaempferol	BRD-K12807006-001-18-5	2.5	bone resorption inhibitor, estrogen-related receptor inverse agonist	Preclinical	0.496127778639
ACH-000174	CAL-62	RAS_like	RAS	diazepam	BRD-K16508793-001-05-9	2.5	benzodiazepine receptor agonist	Launched	0.312689963737
