compound	BRAF_like	RAS_like	braf_minus_ras
simvastatin	-1.6635924259659418	-0.56604839878862	-1.098
topotecan	-2.7752780208183334	-1.680726227192	-1.095
irinotecan	-2.6576680834166666	-1.697765726706	-0.96
kaempferol	-0.37056313985225	0.316604195100072	-0.687
atorvastatin	-1.0803285734823334	-0.43520251187048	-0.645
thalidomide	-0.014231242736903326	0.4061634620176	-0.42
ezetimibe	-0.029116554080250004	0.06520914854424	-0.094
pomalidomide	-0.40664327209483336	-0.35356037173112	-0.053
flumazenil	0.015420334085706665	0.0213299324548	-0.006
rosuvastatin	-0.2975621039271667	-0.30114982029038	0.004
quercetin	0.16829874862918334	0.16303929562008	0.005
gabexate	-0.274158274361	-0.30790705312335004	0.034
indomethacin	-0.17815567355676667	-0.24004630880924	0.062
etomidate	-0.15664519468233334	-0.2249846616588	0.068
resveratrol	-0.006624576968866665	-0.09627745100095	0.09
zolpidem	0.18702902312516667	0.0845243093078	0.103
nafamostat	0.31254278728466667	0.1614949751084	0.151
lenalidomide	0.014725616191866667	-0.17242384763500002	0.187
diazepam	0.5076678199116667	0.1609903827036	0.347
luteolin	0.5975739415043333	0.20809053672693997	0.389
propofol	0.15955229591870002	-0.40723387701159997	0.567
baicalein	0.16667098615766665	-0.48937167901278	0.656
clonazepam	0.07960084984508335	-0.8549245442158	0.935
