compound	n_off_targets_total	n_high_risk	top_off_target_drug	top_off_target_protein	top_tanimoto
ACACETIN	4	0	mequinol	CYP1B1	0.359
CANNABIDIOL	3	1	cannabidiol	CYP1B1	1.0
CHEMBL112449	2	0	imatinib	PTPRE	0.278
CHEMBL114890	1	0	tamibarotene	LDLR	0.203
CHEMBL115992	1	0	imatinib	PTPRE	0.242
CHEMBL3132924	5	0	guaifenesin	CYP1B1	0.31
CHEMBL3132932	5	0	methoxamine	CYP1B1	0.318
CHEMBL324616	2	0	acetaminophen	TMPRSS4	0.23
CHEMBL46909	5	0	methoxamine	CYP1B1	0.326
CHRYSIN	10	0	dicumarol	CYP1B1	0.255
CHRYSOERIOL	4	0	oxybenzone	LDLR	0.232
GALANGIN	9	0	dicumarol	CYP1B1	0.277
ISORHAMNETIN	3	0	oxybenzone	LDLR	0.228
KAEMPFERIDE	6	0	mequinol	CYP1B1	0.35
TAMARIXETIN	5	0	oxybenzone	LDLR	0.228
