compound	compound_target	off_target_drug	off_target_protein	tanimoto	risk
CHEMBL3132932	CYP1B1	methoxamine	CYP1B1	0.318	low
CHEMBL3132932	CYP1B1	methoxamine hydrochloride	CYP1B1	0.311	low
CHEMBL3132932	CYP1B1	mequinol	CYP1B1	0.286	low
CHEMBL3132932	CYP1B1	oxybenzone	LDLR	0.283	low
CHEMBL3132932	CYP1B1	guaifenesin	CYP1B1	0.244	low
CHEMBL46909	CYP1B1	methoxamine	CYP1B1	0.326	low
CHEMBL46909	CYP1B1	methoxamine hydrochloride	CYP1B1	0.318	low
CHEMBL46909	CYP1B1	mequinol	CYP1B1	0.294	low
CHEMBL46909	CYP1B1	oxybenzone	LDLR	0.261	low
CHEMBL46909	CYP1B1	cinepazide	CYP1B1	0.22	low
CHEMBL3132924	CYP1B1	guaifenesin	CYP1B1	0.31	low
CHEMBL3132924	CYP1B1	methoxamine	CYP1B1	0.239	low
CHEMBL3132924	CYP1B1	methoxamine hydrochloride	CYP1B1	0.234	low
CHEMBL3132924	CYP1B1	cinepazide	CYP1B1	0.22	low
CHEMBL3132924	CYP1B1	oxybenzone	LDLR	0.208	low
ACACETIN	CYP1B1	mequinol	CYP1B1	0.359	low
ACACETIN	CYP1B1	oxybenzone	LDLR	0.314	low
ACACETIN	CYP1B1	methoxamine	CYP1B1	0.222	low
ACACETIN	CYP1B1	methoxamine hydrochloride	CYP1B1	0.218	low
ISORHAMNETIN	CYP1B1	oxybenzone	LDLR	0.228	low
ISORHAMNETIN	CYP1B1	mequinol	CYP1B1	0.217	low
ISORHAMNETIN	CYP1B1	warfarin	CYP1B1	0.203	low
TAMARIXETIN	CYP1B1	oxybenzone	LDLR	0.228	low
TAMARIXETIN	CYP1B1	mequinol	CYP1B1	0.217	low
TAMARIXETIN	CYP1B1	methoxamine	CYP1B1	0.211	low
TAMARIXETIN	CYP1B1	methoxamine hydrochloride	CYP1B1	0.207	low
TAMARIXETIN	CYP1B1	warfarin	CYP1B1	0.203	low
CHRYSOERIOL	CYP1B1	oxybenzone	LDLR	0.232	low
CHRYSOERIOL	CYP1B1	mequinol	CYP1B1	0.222	low
CHRYSOERIOL	CYP1B1	mesalamine	LDLR	0.22	low
CHRYSOERIOL	CYP1B1	cianidanol	CYP1B1	0.213	low
CHRYSIN	CYP1B1	dicumarol	CYP1B1	0.255	low
CHRYSIN	CYP1B1	phenprocoumon	CYP1B1	0.245	low
CHRYSIN	CYP1B1	cianidanol	CYP1B1	0.241	low
CHRYSIN	CYP1B1	oxybenzone	LDLR	0.24	low
CHRYSIN	CYP1B1	coumarin	CYP1B1	0.238	low
CHRYSIN	CYP1B1	warfarin	CYP1B1	0.232	low
CHRYSIN	CYP1B1	mesalamine	LDLR	0.227	low
CHRYSIN	CYP1B1	fluorescein sodium	CYP1B1	0.226	low
CHRYSIN	CYP1B1	flurbiprofen	LDLR	0.212	low
CHRYSIN	CYP1B1	oxazepam	GABRB2	0.207	low
KAEMPFERIDE	CYP1B1	mequinol	CYP1B1	0.35	low
KAEMPFERIDE	CYP1B1	oxybenzone	LDLR	0.308	low
KAEMPFERIDE	CYP1B1	methoxamine	CYP1B1	0.218	low
KAEMPFERIDE	CYP1B1	methoxamine hydrochloride	CYP1B1	0.214	low
KAEMPFERIDE	CYP1B1	warfarin	CYP1B1	0.21	low
KAEMPFERIDE	CYP1B1	dicumarol	CYP1B1	0.204	low
GALANGIN	CYP1B1	dicumarol	CYP1B1	0.277	low
GALANGIN	CYP1B1	phenprocoumon	CYP1B1	0.264	low
GALANGIN	CYP1B1	warfarin	CYP1B1	0.25	low
GALANGIN	CYP1B1	oxybenzone	LDLR	0.235	low
GALANGIN	CYP1B1	coumarin	CYP1B1	0.233	low
GALANGIN	CYP1B1	aminosalicylic acid	LDLR	0.222	low
GALANGIN	CYP1B1	cianidanol	CYP1B1	0.214	low
GALANGIN	CYP1B1	flurbiprofen	LDLR	0.208	low
GALANGIN	CYP1B1	oxazepam	GABRB2	0.203	low
CHEMBL115992	LDLR	imatinib	PTPRE	0.242	low
CHEMBL114890	LDLR	tamibarotene	LDLR	0.203	low
CHEMBL324616	LDLR	acetaminophen	TMPRSS4	0.23	low
CHEMBL324616	LDLR	acetaminophen	CYP1B1	0.23	low
CHEMBL112449	LDLR	imatinib	PTPRE	0.278	low
CHEMBL112449	LDLR	niacin	LDLR	0.27	low
CANNABIDIOL	GABRB2	cannabidiol	CYP1B1	1.0	high
CANNABIDIOL	GABRB2	dronabinol	CYP1B1	0.571	medium
CANNABIDIOL	GABRB2	methyldopate	LDLR	0.21	low
