pmid	year	bucket	journal	mentions_braf	mentions_adc	mentions_cellline	mentions_ihc	mentions_anaplastic	title
41845488	2026	2024-2026	Diagnostic pathology	0	0	0	1	0	Immunohistochemical expression of Stomatin-Like protein 2 and trophoblast cell surface antigen 2 in papillary thyroid carcinoma in comparison to other thyroid lesions.
41786211	2026	2024-2026	Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc	0	0	0	1	0	Primary Angiosarcomas of the Thyroid: New Insights Into the Genetic Background and Potentially Targetable Therapeutic Markers of an Ultrarare Disease.
41575262	2026	2024-2026	Molecular pharmaceutics	0	0	0	1	0	Trop2-Targeted [
41480246	2025	2024-2026	Qatar medical journal	0	0	0	1	0	Evaluation of the diagnostic utility of galectin-1 and TROP-2 in thyroid tumors: A retrospective analysis.
41426858	2025	2024-2026	Cureus	0	0	0	1	0	Diagnostic Significance of Trophoblast Cell Surface Antigen-2 Expression in Benign and Malignant Thyroid Lesions.
41413112	2025	2024-2026	Scientific reports	0	0	0	0	0	METTL3-mediated m6A modification of TACSTD2 mRNA inhibits papillary thyroid cancer progression by activating the TNF signaling and blocking epithelial-mesenchymal transition.
40717183	2025	2024-2026	Annals of nuclear medicine	0	0	0	0	0	Recent advances in theranostics and oncology PET: emerging radionuclides and targets.
40520228	2025	2024-2026	Frontiers in genetics	0	0	0	0	0	Integrative transcriptomics and single-cell transcriptomics analyses reveal potential biomarkers and mechanisms of action in papillary thyroid carcinoma.
40342104	2025	2024-2026	European journal of nuclear medicine and molecular imaging	0	0	0	0	0	[
39509246	2024	2024-2026	The Journal of clinical investigation	0	0	0	0	0	68Ga-MY6349 PET/CT imaging to assess Trop2 expression in multiple types of cancer.
38911573	2024	2024-2026	Plastic and reconstructive surgery. Global open	0	0	0	0	0	Breast Cancer Immunotherapy: A Clinical Review for the Plastic Surgeon.
38698420	2024	2024-2026	Journal of nanobiotechnology	0	0	0	0	0	Single-sEV profiling identifies the TACSTD2 + sEV subpopulation as a factor of tumor susceptibility in the elderly.
38696857	2024	2024-2026	Pathology, research and practice	1	0	0	0	0	BRAF mutation, selected miRNAs and genes expression in primary papillary thyroid carcinomas and local lymph node metastases.
38073379	2024	2024-2026	Cancer biomarkers : section A of Disease markers	0	0	0	0	0	Diagnostic and prognostic utility of TROP-2, SLP-2, and CXCL12 expression in papillary thyroid carcinoma.
37740463	2023	2020-2023	Clinical and translational medicine	0	1	0	0	0	Uncovering therapeutic opportunities in the clinical development of antibody-drug conjugates.
37505760	2023	2020-2023	Asian Pacific journal of cancer prevention : APJCP	0	0	0	1	0	Immunohistochemical Expression of HBME-1 and TROP-2 in Some Follicular-Derived Thyroid Lesions.
35355197	2023	2020-2023	Irish journal of medical science	0	0	0	0	1	TROP2: a potential marker in diagnosis of thyroid neoplasms.
36452626	2022	2020-2023	Indian journal of otolaryngology and head and neck surgery : official publication of the Association of Otolaryngologists of India	0	0	0	1	0	TROP2 is a Good Indicator for Infiltrative Nature of Carcinoma Rather than Diagnosing Malignancy in Thyroid.
35477165	2022	2020-2023	Pathobiology : journal of immunopathology, molecular and cellular biology	0	1	0	1	0	Trophoblast Cell Surface Antigen 2 Expression in Human Tumors: A Tissue Microarray Study on 18,563 Tumors.
35158847	2022	2020-2023	Cancers	0	1	0	1	1	TROP-2, Nectin-4, GPNMB, and B7-H3 Are Potentially Therapeutic Targets for Anaplastic Thyroid Carcinoma.
35121239	2022	2020-2023	Annals of diagnostic pathology	0	0	0	0	0	TROP-2 and 5hmC expression in follicular-patterned thyroid neoplasm emphasizing tiny well-formed papillae.
34833464	2021	2020-2023	Medicina (Kaunas, Lithuania)	0	0	0	1	0	Immunohistochemistry Helps to Distinguish Noninvasive Follicular Thyroid Neoplasm with Papillary-like Nuclear Features/Noninvasive Encapsulated Follicular Variant of Papillary Thyroid Carcinoma with Other Follicular Thyroid Lesions.
34659576	2021	2020-2023	Journal of Cancer	0	0	0	0	0	TROP2 modulates the progression in papillary thyroid carcinoma.
33289434	2021	2020-2023	International journal of surgical pathology	0	1	0	0	1	TROP-2, 5hmC, and IDH1 Expression in Anaplastic Thyroid Carcinoma.
33264108	2021	2020-2023	Applied immunohistochemistry & molecular morphology : AIMM	0	0	0	1	0	Diagnostic Value of TROP2 Expression in Papillary Thyroid Carcinoma.
32320975	2020	2020-2023	Pathobiology : journal of immunopathology, molecular and cellular biology	0	0	0	0	0	Impact of the Tumor Microenvironment on the Gene Expression Profile in Papillary Thyroid Cancer.
31384753	2019	2015-2019	Clinical pathology (Thousand Oaks, Ventura County, Calif.)	0	0	0	1	0	Diagnostic Value of TROP-2 and CK19 Expression in Papillary Thyroid Carcinoma in Both Surgical and Cytological Specimens.
30971541	2019	2015-2019	Indian journal of pathology & microbiology	0	0	0	0	0	The diagnostic significance of trophoblast cell-surface antigen-2 expression in benign and malignant thyroid lesions.
30800635	2019	2015-2019	European thyroid journal	0	0	0	1	0	Evaluation of Diagnostic Utility of Immunohistochemistry Markers of TROP-2 and HBME-1 in the Diagnosis of Thyroid Carcinoma.
31949805	2018	2015-2019	International journal of clinical and experimental pathology	1	0	0	0	0	Overexpression of trophoblast cell surface antigen 2 is associated with BRAF V600E mutation and aggressive behavior in papillary thyroid cancer.
