rank	tissue	median_tpm	log2_tpm_plus_1	gene_symbol	ensembl_id
1	Esophagus - Mucosa	1419.1	10.471776809057125	TACSTD2	ENSG00000184292.6
2	Skin - Not Sun Exposed (Suprapubic)	708.696	9.471057364797295	TACSTD2	ENSG00000184292.6
3	Skin - Sun Exposed (Lower leg)	683.917	9.419785358952232	TACSTD2	ENSG00000184292.6
4	Minor Salivary Gland	680.751	9.413101101078054	TACSTD2	ENSG00000184292.6
5	Vagina	655.984	9.359714425768704	TACSTD2	ENSG00000184292.6
6	Kidney - Medulla	218.479	7.77793909743869	TACSTD2	ENSG00000184292.6
7	Prostate	154.071	7.276785101370895	TACSTD2	ENSG00000184292.6
8	Breast - Mammary Tissue	131.473	7.049554536353085	TACSTD2	ENSG00000184292.6
9	Lung	118.689	6.903146757472379	TACSTD2	ENSG00000184292.6
10	Kidney - Cortex	59.2196	5.9121612200882305	TACSTD2	ENSG00000184292.6
11	Pancreas	46.4737	5.569056589643769	TACSTD2	ENSG00000184292.6
12	Bladder	38.3948	5.299933305550918	TACSTD2	ENSG00000184292.6
13	Fallopian Tube	18.2242	4.264851657701406	TACSTD2	ENSG00000184292.6
14	Nerve - Tibial	11.6504	3.661111097901239	TACSTD2	ENSG00000184292.6
15	Stomach	9.71524	3.421592258754568	TACSTD2	ENSG00000184292.6
16	Thyroid	8.10307	3.186353174634577	TACSTD2	ENSG00000184292.6
17	Adipose - Subcutaneous	6.28041	2.8640196988183395	TACSTD2	ENSG00000184292.6
18	Artery - Aorta	6.03628	2.814812894204687	TACSTD2	ENSG00000184292.6
19	Artery - Tibial	5.05856	2.5989749343372694	TACSTD2	ENSG00000184292.6
20	Cervix - Ectocervix	5.05338	2.5977409188504956	TACSTD2	ENSG00000184292.6
21	Uterus	4.84222	2.546516686639002	TACSTD2	ENSG00000184292.6
22	Cervix - Endocervix	4.14939	2.36440153984961	TACSTD2	ENSG00000184292.6
23	Artery - Coronary	3.97731	2.3153662446671093	TACSTD2	ENSG00000184292.6
24	Cells - Cultured fibroblasts	2.92849	1.9739748880235712	TACSTD2	ENSG00000184292.6
25	Adipose - Visceral (Omentum)	2.22728	1.6903187520074756	TACSTD2	ENSG00000184292.6
26	Esophagus - Muscularis	2.21152	1.683256280972361	TACSTD2	ENSG00000184292.6
27	Pituitary	2.11829	1.640755104465004	TACSTD2	ENSG00000184292.6
28	Small Intestine - Terminal Ileum	2.0288	1.5987463161542557	TACSTD2	ENSG00000184292.6
29	Esophagus - Gastroesophageal Junction	1.96946	1.5702005989876986	TACSTD2	ENSG00000184292.6
30	Ovary	1.87339	1.5227538205350437	TACSTD2	ENSG00000184292.6
31	Whole Blood	1.43515	1.2840106419548365	TACSTD2	ENSG00000184292.6
32	Liver	1.42747	1.279453466141411	TACSTD2	ENSG00000184292.6
33	Spleen	1.36173	1.2398440409729314	TACSTD2	ENSG00000184292.6
34	Colon - Sigmoid	1.30056	1.2019850832934302	TACSTD2	ENSG00000184292.6
35	Colon - Transverse	1.27255	1.1843120365353315	TACSTD2	ENSG00000184292.6
36	Testis	1.04044	1.0288802881627215	TACSTD2	ENSG00000184292.6
37	Adrenal Gland	0.958212	0.9695369624860551	TACSTD2	ENSG00000184292.6
38	Heart - Atrial Appendage	0.541124	0.6239829468545779	TACSTD2	ENSG00000184292.6
39	Muscle - Skeletal	0.478834	0.5644601181451718	TACSTD2	ENSG00000184292.6
40	Brain - Cerebellum	0.41359	0.4993637391437648	TACSTD2	ENSG00000184292.6
41	Cells - EBV-transformed lymphocytes	0.407871	0.4935151491837871	TACSTD2	ENSG00000184292.6
42	Brain - Spinal cord (cervical c-1)	0.393818	0.47904219130714265	TACSTD2	ENSG00000184292.6
43	Brain - Substantia nigra	0.376018	0.4604993423807705	TACSTD2	ENSG00000184292.6
44	Brain - Hippocampus	0.352911	0.4360669360758103	TACSTD2	ENSG00000184292.6
45	Brain - Cortex	0.326926	0.40808791674439115	TACSTD2	ENSG00000184292.6
46	Brain - Putamen (basal ganglia)	0.319373	0.3998524866337152	TACSTD2	ENSG00000184292.6
47	Brain - Caudate (basal ganglia)	0.318668	0.3990813841163241	TACSTD2	ENSG00000184292.6
48	Brain - Hypothalamus	0.296769	0.37492150793537	TACSTD2	ENSG00000184292.6
49	Brain - Frontal Cortex (BA9)	0.275464	0.35102217941515823	TACSTD2	ENSG00000184292.6
50	Brain - Nucleus accumbens (basal ganglia)	0.273189	0.34844659765511404	TACSTD2	ENSG00000184292.6
51	Brain - Cerebellar Hemisphere	0.249971	0.3218946239741496	TACSTD2	ENSG00000184292.6
52	Heart - Left Ventricle	0.2353	0.3048614514884491	TACSTD2	ENSG00000184292.6
53	Brain - Amygdala	0.224546	0.29224696967599134	TACSTD2	ENSG00000184292.6
54	Brain - Anterior cingulate cortex (BA24)	0.17241	0.22947717857243743	TACSTD2	ENSG00000184292.6
