compound	screens_24Q2	n_BRD_rows	BRD_IDs	BRAF_like_24Q2_BRS52	RAS_like_24Q2_BRS52	braf_minus_ras_24Q2_BRS52	BRAF_like_24Q2_BRS52_n	RAS_like_24Q2_BRS52_n	BRAF_like_24Q2_MUT	RAS_like_24Q2_MUT	braf_minus_ras_24Q2_MUT	BRAF_like_24Q2_MUT_n	RAS_like_24Q2_MUT_n
exatecan-mesylate	REP.PRIMARY	1	BRD:BRD-K92150287-066-01-2	-5.4418	-3.2541	-2.1877	6	5	-4.9536	-4.5841	-0.3694	4	2
exatecan	REP.PRIMARY	1	BRD:BRD-K92150287-066-01-2	-5.4418	-3.2541	-2.1877	6	5	-4.9536	-4.5841	-0.3694	4	2
belotecan	REP.1M	1	BRD:BRD-K00003160-003-01-9	-8.4196	-6.7932	-1.6265	7	5	-5.9690	-5.4838	-0.4852	4	2
sn-38	REP.PRIMARY	1	BRD:BRD-K89561498-001-01-7	-4.8460	-3.4436	-1.4024	6	5	-4.3183	-4.5204	0.2021	4	2
10-hydroxycamptothecin	REP.PRIMARY	1	BRD:BRD-K63784565-001-06-2	-4.9375	-3.8123	-1.1252	6	5	-5.1187	-4.1568	-0.9619	4	2
topotecan	REP.PRIMARY	1	BRD:BRD-K55696337-003-24-4	-2.7753	-1.6807	-1.0946	6	4	-2.7487	-3.4225	0.6738	4	2
irinotecan	REP.PRIMARY	1	BRD:BRD-K08547377-394-03-5	-2.6577	-1.6978	-0.9599	6	5	-2.2863	-2.5998	0.3136	4	2
9-aminocamptothecin	REP.PRIMARY	1	BRD:BRD-K09291936-001-13-3	-5.1010	-4.2392	-0.8618	6	5	-5.4149	-5.0427	-0.3721	4	2
rubitecan	REP.PRIMARY	1	BRD:BRD-K79821389-001-03-5	-2.9427	-2.2150	-0.7277	6	4	-2.9027	-2.8967	-0.0061	4	2
camptothecin	REP.PRIMARY	3	BRD:BRD-K37890730-001-15-1;BRD:BRD-K63784565-001-06-2;BRD:BRD-K09291936-001-13-3	-4.9755	-4.2666	-0.7089	6	5	-5.4389	-4.5466	-0.8923	4	2
