threshold	panel	braf	all	none	panel_dominant
0.05	0.5985	0.592	0.592	0	True
0.06	0.591	0.5876	0.5876	0	True
0.07	0.589	0.5832	0.5832	0	True
0.08	0.5811	0.5787	0.5787	0	True
0.09	0.5795	0.574	0.574	0	True
0.1	0.5768	0.5693	0.5693	0	True
0.11	0.5754	0.5644	0.5644	0	True
0.12	0.5743	0.5595	0.5595	0	True
0.13	0.5726	0.5544	0.5544	0	True
0.14	0.5709	0.5493	0.5493	0	True
0.15	0.5694	0.544	0.544	0	True
0.16	0.5669	0.5385	0.5385	0	True
0.17	0.5655	0.533	0.533	0	True
0.18	0.5654	0.5273	0.5273	0	True
0.19	0.5586	0.5214	0.5214	0	True
0.2	0.5618	0.5154	0.5154	0	True
0.21	0.5612	0.5093	0.5093	0	True
0.22	0.555	0.503	0.503	0	True
0.23	0.549	0.4966	0.4966	0	True
0.24	0.5488	0.4899	0.4899	0	True
0.25	0.5487	0.4831	0.4831	0	True
0.26	0.5431	0.4762	0.4762	0	True
0.27	0.5412	0.469	0.469	0	True
0.28	0.5415	0.4616	0.4616	0	True
0.29	0.5396	0.454	0.454	0	True
0.3	0.5401	0.4462	0.4462	0	True
0.31	0.5408	0.4382	0.4382	0	True
0.32	0.539	0.4299	0.4299	0	True
0.33	0.5371	0.4214	0.4214	0	True
0.34	0.5352	0.4127	0.4127	0	True
0.35	0.5333	0.4036	0.4036	0	True
0.36	0.5313	0.3943	0.3943	0	True
0.37	0.5292	0.3847	0.3847	0	True
0.38	0.527	0.3748	0.3748	0	True
0.39	0.5192	0.3645	0.3645	0	True
0.4	0.5169	0.3539	0.3539	0	True
0.41	0.5145	0.343	0.343	0	True
0.42	0.5008	0.3317	0.3317	0	True
0.43	0.5025	0.3199	0.3199	0	True
0.44	0.4944	0.3078	0.3078	0	True
0.45	0.4964	0.2952	0.2952	0	True
0.46	0.4988	0.2821	0.2821	0	True
0.47	0.4964	0.2686	0.2686	0	True
0.48	0.4991	0.2545	0.2545	0	True
0.49	0.5022	0.2399	0.2399	0	True
0.5	0.5	0.2247	0.2247	0	True
0.51	0.5036	0.2089	0.2089	0	True
0.52	0.5014	0.1924	0.1924	0	True
0.53	0.4992	0.1752	0.1752	0	True
0.54	0.4968	0.1573	0.1573	0	True
0.55	0.4888	0.1386	0.1386	0	True
0.56	0.4806	0.119	0.119	0	True
0.57	0.4723	0.09851	0.09851	0	True
0.58	0.4695	0.07705	0.07705	0	True
0.59	0.4666	0.05454	0.05454	0	True
0.6	0.4635	0.0309	0.0309	0	True
0.61	0.4602	-0.003313	0.00605	0	True
0.62	0.4568	0	-0.02011	0	True
0.63	0.4532	0	-0.04768	0	True
0.64	0.4494	0	-0.07678	0	True
0.65	0.4446	0	-0.1075	0	True
0.66	0.4518	0	-0.1401	0	True
0.67	0.4426	0	-0.1747	0	True
0.68	0.4452	0	-0.2114	0	True
0.69	0.4362	0	-0.2505	0	True
0.7	0.4326	0	-0.2921	0	True
0.71	0.4287	0	-0.3367	0	True
0.72	0.4246	0	-0.3844	0	True
0.73	0.4201	0	-0.4357	0	True
0.74	0.4153	0	-0.4909	0	True
0.75	0.4101	0	-0.5506	0	True
0.76	0.3876	0	-0.6152	0	True
0.77	0.3815	0	-0.6854	0	True
0.78	0.3749	0	-0.762	0	True
0.79	0.3775	0	-0.8459	0	True
0.8	0.3596	0	-0.9382	0	True
0.81	0.3522	0	-1.04	0	True
0.82	0.3583	0	-1.154	0	True
0.83	0.3397	0	-1.28	0	True
0.84	0.3258	0	-1.423	0	True
0.85	0.3483	0	-1.584	0	True
0.86	0.3347	0	-1.769	0	True
0.87	0.3086	0	-1.982	0	True
0.88	0.2809	0	-2.23	0	True
0.89	0.2625	0	-2.524	0	True
0.9	0.2247	0	-2.876	0	True
0.91	0.206	0	-3.307	0	True
0.92	0.1713	0	-3.846	0	True
0.93	0.1356	0	-4.538	0	True
0.94	0.07865	0	-5.461	0	True
0.95	0.01124	0	-6.753	0	True
